Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523343202376,2709199269436952,0.8331822,2.2888567,9.643845
android.sensor.accelerometer,1523343202394,2709199289427577,0.9576807,2.2218192,9.576807
android.sensor.accelerometer,1523343202414,2709199309418202,1.0151415,2.2026656,9.691729
android.sensor.accelerometer,1523343202434,2709199329408827,1.0151415,2.2505496,9.672575
android.sensor.accelerometer,1523343202454,2709199349432265,0.92895025,2.2888567,9.557653
android.sensor.accelerometer,1523343202474,2709199369422890,0.9768343,2.3080103,9.519346
android.sensor.accelerometer,1523343202494,2709199389413515,1.0726024,2.2697031,9.605537
android.sensor.accelerometer,1523343202514,2709199409435390,0.9768343,2.2697031,9.691729
android.sensor.accelerometer,1523343202534,2709199429426015,0.8619126,2.2888567,9.77792
android.sensor.accelerometer,1523343202554,2709199449418202,0.91937345,2.2888567,9.595961
android.sensor.accelerometer,1523343202574,2709199469408827,0.842759,2.2601264,9.768343
android.sensor.accelerometer,1523343202594,2709199489430702,0.7565677,2.27928,9.998186
android.sensor.accelerometer,1523343202614,2709199509421327,0.33518824,2.2601264,10.208876
android.sensor.accelerometer,1523343202634,2709199529411952,-0.5554548,2.4133554,10.7356
android.sensor.accelerometer,1523343202654,2709199549433827,-2.030283,2.2697031,11.453861
android.sensor.accelerometer,1523343202674,2709199569426015,-4.3957543,2.0973208,13.809755
android.sensor.accelerometer,1523343202694,2709199589416640,-6.4260373,1.9632454,15.964537
android.sensor.accelerometer,1523343202714,2709199609438515,-7.9391727,1.982399,16.414646
android.sensor.accelerometer,1523343202734,2709199629429140,-7.4507556,1.9536686,15.543158
android.sensor.accelerometer,1523343202754,2709199649419765,-6.0046577,1.7142484,14.365211
android.sensor.accelerometer,1523343202774,2709199669411952,-4.3766007,1.4269443,13.579912
android.sensor.accelerometer,1523343202794,2709199689433827,-3.3039982,1.0534488,13.024457
android.sensor.accelerometer,1523343202814,2709199709424452,-3.3901896,-0.7086837,13.101071
android.sensor.accelerometer,1523343202834,2709199729415077,-3.5913026,-2.6240451,12.459426
android.sensor.accelerometer,1523343202854,2709199749482265,-2.5570073,-4.654328,9.672575
android.sensor.accelerometer,1523343202874,2709199769429140,0.61291564,-5.535394,5.410896
android.sensor.accelerometer,1523343202894,2709199789419765,4.4436383,-5.7748146,4.0797195
android.sensor.accelerometer,1523343202914,2709199809410390,5.506664,-5.1906295,6.349423
android.sensor.accelerometer,1523343202934,2709199829432265,5.3247046,-5.2768207,6.7133417
android.sensor.accelerometer,1523343202954,2709199849422890,6.4643445,-5.267244,6.339846
