Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523343219817,2709216709436952,0.0,0.0,0.0
android.sensor.gyroscope,1523343219835,2709216729429140,0.0,0.0,0.0
android.sensor.gyroscope,1523343219854,2709216749419765,-0.032724924,-0.0155334305,-0.015812684
android.sensor.gyroscope,1523343219874,2709216769410390,-0.034627333,-0.014451326,-0.012810716
android.sensor.gyroscope,1523343219894,2709216789432265,-0.034627333,-0.014451326,-0.012269665
android.sensor.gyroscope,1523343219914,2709216809422890,-0.034906585,-0.013892821,-0.011990412
android.sensor.gyroscope,1523343219934,2709216829415077,-0.03817035,-0.010349803,-0.002984513
android.sensor.gyroscope,1523343219954,2709216849436952,0.0,0.0,0.0
android.sensor.gyroscope,1523343219974,2709216869427577,-0.032166418,0.010349803,0.020437805
android.sensor.gyroscope,1523343219994,2709216889418202,-0.032166418,0.010629055,0.020437805
android.sensor.gyroscope,1523343220014,2709216909408827,-0.022357667,0.019355701,0.02617994
android.sensor.gyroscope,1523343220034,2709216929432265,-0.021816615,0.033265974,0.03981096
android.sensor.gyroscope,1523343220054,2709216949421327,-0.030543262,0.048537605,0.052621678
android.sensor.gyroscope,1523343220074,2709216969413515,-0.023998277,0.05126032,0.053721234
android.sensor.gyroscope,1523343220094,2709216989435390,-0.020996312,0.058904864,0.061348323
android.sensor.gyroscope,1523343220114,2709217009426015,-0.016632987,0.07225663,0.07307693
android.sensor.gyroscope,1523343220134,2709217029418202,-0.014172073,0.10279989,0.103340946
android.sensor.gyroscope,1523343220154,2709217049408827,-0.013892821,0.16252506,0.16062266
android.sensor.gyroscope,1523343220174,2709217069430702,-0.020437805,0.2737898,0.2604206
android.sensor.gyroscope,1523343220194,2709217089421327,-0.037891097,0.44123667,0.39950585
android.sensor.gyroscope,1523343220214,2709217109413515,-0.10934488,0.72785467,0.60786325
android.sensor.gyroscope,1523343220234,2709217129435390,-0.17751744,1.0008241,0.79112285
android.sensor.gyroscope,1523343220254,2709217149426015,-0.24296728,1.1339055,0.84238315
android.sensor.gyroscope,1523343220274,2709217169416640,-0.29234266,1.172355,0.82056653
android.sensor.gyroscope,1523343220294,2709217189438515,-0.37686893,1.2285372,0.7933045
android.sensor.gyroscope,1523343220314,2709217209429140,-0.4987802,1.3199053,0.75457567
android.sensor.gyroscope,1523343220334,2709217229419765,-0.6013183,1.339802,0.66730917
android.sensor.gyroscope,1523343220354,2709217249411952,-0.68121946,1.3057157,0.55686474
android.sensor.gyroscope,1523343220374,2709217269433827,-0.7384837,1.1887263,0.4284085
android.sensor.gyroscope,1523343220394,2709217289424452,-0.82520914,1.0616488,0.303792
android.sensor.gyroscope,1523343220414,2709217309416640,-0.9471029,0.8857546,0.15243706
