Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523388885558,2754882452262473,4.3478703,5.650316,7.029376
android.sensor.accelerometer,1523388885577,2754882472254660,4.2042184,5.66947,6.5505357
android.sensor.accelerometer,1523388885597,2754882492276535,4.2521024,5.650316,6.8282633
android.sensor.accelerometer,1523388885617,2754882512267160,4.3478703,5.5641246,7.2783732
android.sensor.accelerometer,1523388885637,2754882532257785,4.213795,5.631162,7.07726
android.sensor.accelerometer,1523388885657,2754882552281223,4.050989,5.803545,6.5026517
android.sensor.accelerometer,1523388885677,2754882572271848,4.10845,5.755661,6.3302693
android.sensor.accelerometer,1523388885697,2754882592262473,4.2042184,5.707777,6.4643445
android.sensor.accelerometer,1523388885717,2754882612284348,4.2042184,5.755661,6.655881
android.sensor.accelerometer,1523388885737,2754882632274973,4.156334,5.755661,6.483498
android.sensor.accelerometer,1523388885757,2754882652265598,4.261679,5.6407394,7.0102224
android.sensor.accelerometer,1523388885777,2754882672257785,4.175488,5.755661,7.335834
android.sensor.accelerometer,1523388885797,2754882692279660,4.1180267,5.90889,7.3071036
android.sensor.accelerometer,1523388885817,2754882712270285,4.1946416,5.8801594,6.9719152
android.sensor.accelerometer,1523388885837,2754882732260910,4.5202527,5.631162,6.540959
android.sensor.accelerometer,1523388885857,2754882752282785,4.232949,5.659893,7.067683
android.sensor.accelerometer,1523388885877,2754882772274973,4.1371803,5.746084,6.885724
android.sensor.accelerometer,1523388885897,2754882792265598,4.3957543,6.033388,7.28795
android.sensor.accelerometer,1523388885917,2754882812256223,4.2904096,6.2632318,8.379706
android.sensor.accelerometer,1523388885937,2754882832278098,4.903325,6.6367273,9.107543
android.sensor.accelerometer,1523388885957,2754882852268723,5.899313,7.192182,9.203311
android.sensor.accelerometer,1523388885977,2754882872260910,6.9048777,7.7572136,9.672575
android.sensor.accelerometer,1523388885997,2754882892282785,7.1347213,8.073248,8.695741
android.sensor.accelerometer,1523388886017,2754882912273410,6.588843,8.1402855,7.0581064
android.sensor.accelerometer,1523388886037,2754882932264035,5.6790466,8.121132,6.291962
android.sensor.accelerometer,1523388886057,2754882952254660,5.650316,7.699753,4.903325
android.sensor.accelerometer,1523388886077,2754882972278098,4.453215,7.019799,4.3287168
android.sensor.accelerometer,1523388886097,2754882992268723,3.064578,5.659893,3.9456444
android.sensor.accelerometer,1523388886117,2754883012259348,1.9249382,5.046977,2.0590134
android.sensor.accelerometer,1523388886137,2754883032281223,-0.6607997,4.0318356,-1.1109096
android.sensor.accelerometer,1523388886157,2754883052271848,-2.0015526,3.217807,-4.0222588
android.sensor.accelerometer,1523388886177,2754883072264035,-1.8100165,1.9249382,-3.9456444
android.sensor.accelerometer,1523388886197,2754883092254660,-1.9728222,0.18195933,-2.1164744
android.sensor.accelerometer,1523388886217,2754883112276535,-1.8674773,-0.63206923,-2.1164744
android.sensor.accelerometer,1523388886237,2754883132267160,-1.9249382,-1.043872,-2.72939
android.sensor.accelerometer,1523388886257,2754883152257785,-1.6280571,-1.2066777,-2.9879637
android.sensor.accelerometer,1523388886277,2754883172281223,-0.51714754,-1.685518,-3.0933087
android.sensor.accelerometer,1523388886297,2754883192271848,2.815581,-1.934515,-2.5187001
android.sensor.accelerometer,1523388886317,2754883212262473,7.8529816,-1.388637,0.62249243
android.sensor.accelerometer,1523388886337,2754883232284348,10.0748005,0.4405331,2.2026656
android.sensor.accelerometer,1523388886357,2754883252274973,10.553641,1.283292,1.2737153
android.sensor.accelerometer,1523388886377,2754883272265598,11.233594,1.4269443,0.30645782
android.sensor.accelerometer,1523388886397,2754883292257785,11.999739,1.7238252,-0.45968673
android.sensor.accelerometer,1523388886417,2754883312279660,12.191275,1.5227122,-0.37349546
android.sensor.accelerometer,1523388886437,2754883332270285,12.928689,1.6089035,1.7046716
android.sensor.accelerometer,1523388886457,2754883352260910,14.087482,1.685518,3.4955344
android.sensor.accelerometer,1523388886477,2754883372284348,15.140931,1.7238252,3.2561142
android.sensor.accelerometer,1523388886497,2754883392274973,16.807297,1.2162545,0.63206923
android.sensor.accelerometer,1523388886517,2754883412265598,17.477673,2.5091233,-1.436521
android.sensor.accelerometer,1523388886537,2754883432256223,18.282124,3.8881836,-4.0797195
android.sensor.accelerometer,1523388886557,2754883452278098,19.172768,5.602432,-8.916007
android.sensor.accelerometer,1523388886577,2754883472268723,20.829556,7.0102224,-11.473015
android.sensor.accelerometer,1523388886597,2754883492260910,24.46874,8.1881695,-10.716447
android.sensor.accelerometer,1523388886617,2754883512282785,24.085669,9.279925,-7.7189064
android.sensor.accelerometer,1523388886637,2754883532273410,22.639572,9.864111,-7.0006456
android.sensor.accelerometer,1523388886657,2754883552264035,22.524649,10.840945,-8.810662
android.sensor.accelerometer,1523388886677,2754883572254660,21.088129,12.133814,-11.645397
android.sensor.accelerometer,1523388886697,2754883592278098,21.5957,13.2351465,-12.0093155
android.sensor.accelerometer,1523388886717,2754883612268723,25.388115,14.030022,-9.672575
android.sensor.accelerometer,1523388886737,2754883632259348,26.805483,13.982138,-7.4603324
android.sensor.accelerometer,1523388886757,2754883652282785,24.756046,12.861651,-9.32781
android.sensor.accelerometer,1523388886777,2754883672273410,22.361843,11.291056,-10.879252
android.sensor.accelerometer,1523388886797,2754883692264035,20.072987,10.065224,-10.94629
android.sensor.accelerometer,1523388886817,2754883712254660,19.670761,9.222465,-11.386824
android.sensor.accelerometer,1523388886837,2754883732276535,19.029116,7.4603324,-10.572795
android.sensor.accelerometer,1523388886857,2754883752267160,17.113754,5.6982,-10.668563
android.sensor.accelerometer,1523388886877,2754883772257785,16.452953,3.9073372,-12.181698
android.sensor.accelerometer,1523388886897,2754883792281223,18.119318,1.934515,-13.713987
android.sensor.accelerometer,1523388886917,2754883812271848,21.777658,-2.4420857,-16.836027
android.sensor.accelerometer,1523388886937,2754883832262473,27.734432,-10.726024,-17.832014
android.sensor.accelerometer,1523388886957,2754883852284348,25.608381,-21.068975,-15.093047
android.sensor.accelerometer,1523388886977,2754883872276535,20.523096,-29.8126,-8.322245
android.sensor.accelerometer,1523388886997,2754883892267160,16.998833,-33.80613,-5.0661306
android.sensor.accelerometer,1523388887017,2754883912257785,14.891934,-38.757336,-4.3287168
android.sensor.accelerometer,1523388887038,2754883932279660,10.036493,-43.40209,0.94810385
android.sensor.accelerometer,1523388887058,2754883952270285,3.5529952,-45.62391,10.04607
