Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523388917808,2754914692274973,-0.008726646,-0.026720991,0.027803095
android.sensor.gyroscope,1523388917818,2754914712265598,0.0,0.0,0.0
android.sensor.gyroscope,1523388917837,2754914732256223,0.0,0.0,0.0
android.sensor.gyroscope,1523388917857,2754914752278098,-0.007906342,-0.029443704,0.025080381
android.sensor.gyroscope,1523388917877,2754914772268723,0.0,0.0,0.0
android.sensor.gyroscope,1523388917897,2754914792259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388917917,2754914812282785,0.0,0.0,0.0
android.sensor.gyroscope,1523388917937,2754914832273410,0.0,0.0,0.0
android.sensor.gyroscope,1523388917957,2754914852264035,0.0,0.0,0.0
android.sensor.gyroscope,1523388917977,2754914872254660,0.0,0.0,0.0
android.sensor.gyroscope,1523388917997,2754914892278098,0.0,0.0,0.0
android.sensor.gyroscope,1523388918017,2754914912268723,0.0,0.0,0.0
android.sensor.gyroscope,1523388918037,2754914932259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388918057,2754914952281223,-0.0051661744,-0.037891097,-0.009808751
android.sensor.gyroscope,1523388918077,2754914972271848,0.0,0.0,0.0
android.sensor.gyroscope,1523388918097,2754914992264035,0.0,0.0,0.0
android.sensor.gyroscope,1523388918117,2754915012254660,0.0,0.0,0.0
android.sensor.gyroscope,1523388918137,2754915032276535,0.0,0.0,0.0
android.sensor.gyroscope,1523388918157,2754915052267160,-0.012269665,-0.057805303,-0.05071927
android.sensor.gyroscope,1523388918177,2754915072257785,-0.08752826,-0.08644616,-0.18462093
android.sensor.gyroscope,1523388918197,2754915092279660,-0.1044405,-0.10225884,-0.22197098
android.sensor.gyroscope,1523388918217,2754915112271848,-0.10115928,-0.12107349,-0.24406683
android.sensor.gyroscope,1523388918237,2754915132262473,-0.12815952,-0.14943509,-0.3212453
android.sensor.gyroscope,1523388918257,2754915152284348,-0.12325515,-0.18842575,-0.3605152
android.sensor.gyroscope,1523388918277,2754915172274973,-0.105260804,-0.24925047,-0.39105847
android.sensor.gyroscope,1523388918297,2754915192265598,-0.09489355,-0.33405602,-0.44942227
android.sensor.gyroscope,1523388918317,2754915212257785,-0.08480555,-0.4374144,-0.5230403
android.sensor.gyroscope,1523388918337,2754915232279660,-0.0760789,-0.5563237,-0.5996777
android.sensor.gyroscope,1523388918357,2754915252270285,-0.0659909,-0.712583,-0.7000341
android.sensor.gyroscope,1523388918377,2754915272260910,-0.033265974,-0.7788532,-0.7540346
android.sensor.gyroscope,1523388918397,2754915292282785,0.033527777,-0.74202675,-0.7542964
android.sensor.gyroscope,1523388918417,2754915312274973,0.1229759,-0.69539154,-0.7703883
android.sensor.gyroscope,1523388918437,2754915332265598,0.21380283,-0.6588618,-0.8042128
android.sensor.gyroscope,1523388918457,2754915352256223,0.32724923,-0.5710368,-0.7812966
android.sensor.gyroscope,1523388918477,2754915372278098,0.48104766,-0.3681423,-0.712583
android.sensor.gyroscope,1523388918497,2754915392268723,0.6149493,-0.14589207,-0.7005752
android.sensor.gyroscope,1523388918517,2754915412259348,0.6801199,0.058346357,-0.7548549
android.sensor.gyroscope,1523388918537,2754915432282785,0.7041182,0.27214918,-0.83147484
android.sensor.gyroscope,1523388918557,2754915452273410,0.59885734,0.37660715,-0.9877342
android.sensor.gyroscope,1523388918577,2754915472264035,0.4074122,0.41151372,-1.1568217
android.sensor.gyroscope,1523388918597,2754915492254660,0.16006415,0.3965039,-1.2948074
android.sensor.gyroscope,1523388918617,2754915512278098,-0.11424925,0.16224581,-1.3722651
android.sensor.gyroscope,1523388918637,2754915532268723,-0.45214498,-0.39296088,-1.3441653
android.sensor.gyroscope,1523388918657,2754915552259348,-1.2386253,-1.7715092,-1.1922693
android.sensor.gyroscope,1523388918677,2754915572281223,-3.6635509,-4.8042808,-0.72511446
android.sensor.gyroscope,1523388918697,2754915592273410,-5.467785,-6.184452,0.3782303
android.sensor.gyroscope,1523388918717,2754915612264035,-5.492865,-6.0991054,1.0665532
android.sensor.gyroscope,1523388918737,2754915632254660,-5.2160735,-6.029013,1.4178008
android.sensor.gyroscope,1523388918757,2754915652276535,-4.966003,-6.1228247,1.5500618
android.sensor.gyroscope,1523388918777,2754915672267160,-4.7020216,-6.1138186,1.4777877
android.sensor.gyroscope,1523388918797,2754915692257785,-4.3005958,-5.801841,1.2961688
android.sensor.gyroscope,1523388918817,2754915712281223,-3.8380837,-5.318891,1.0905515
android.sensor.gyroscope,1523388918837,2754915732271848,-3.34529,-4.792552,0.8290314
android.sensor.gyroscope,1523388918857,2754915752262473,-2.8511524,-4.288588,0.5614899
android.sensor.gyroscope,1523388918877,2754915772284348,-2.3643627,-3.8149056,0.26696557
android.sensor.gyroscope,1523388918897,2754915792276535,-1.9572122,-3.423027,0.0095294975
android.sensor.gyroscope,1523388918917,2754915812265598,-1.6236973,-3.0990415,-0.20179497
android.sensor.gyroscope,1523388918937,2754915832257785,-1.2350823,-2.7955112,-0.3855956
android.sensor.gyroscope,1523388918957,2754915852279660,-0.7567573,-2.497444,-0.56967545
android.sensor.gyroscope,1523388918977,2754915872270285,-0.22879522,-2.2702894,-0.7744899
android.sensor.gyroscope,1523388918997,2754915892262473,0.3046123,-2.1440148,-0.9828298
android.sensor.gyroscope,1523388919017,2754915912282785,1.0452777,-2.0521233,-1.2508949
android.sensor.gyroscope,1523388919038,2754915932274973,1.9113973,-1.9981227,-1.5666949
android.sensor.gyroscope,1523388919058,2754915952265598,2.84733,-1.9596732,-1.9078543
android.sensor.gyroscope,1523388919078,2754915972256223,3.654283,-1.896946,-2.203478
android.sensor.gyroscope,1523388919098,2754915992279660,4.210048,-1.8298556,-2.4090955
