Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523388818521,2754815412276535,0.94810385,5.171476,8.408437
android.sensor.accelerometer,1523388818537,2754815432267160,0.8714894,5.21936,8.418014
android.sensor.accelerometer,1523388818557,2754815452257785,0.842759,5.209783,8.350976
android.sensor.accelerometer,1523388818577,2754815472281223,0.9672575,5.209783,8.236053
android.sensor.accelerometer,1523388818597,2754815492271848,0.9672575,5.257667,8.111555
android.sensor.accelerometer,1523388818617,2754815512262473,0.92895025,5.209783,8.073248
android.sensor.accelerometer,1523388818637,2754815532284348,0.9672575,5.142745,8.293514
android.sensor.accelerometer,1523388818657,2754815552274973,1.0151415,5.133168,8.485051
android.sensor.accelerometer,1523388818677,2754815572265598,1.0342951,5.171476,8.24563
android.sensor.accelerometer,1523388818697,2754815592256223,0.9672575,5.209783,8.082825
android.sensor.accelerometer,1523388818717,2754815612279660,0.8523358,5.2002063,8.073248
android.sensor.accelerometer,1523388818737,2754815632270285,0.8619126,5.161899,8.1402855
android.sensor.accelerometer,1523388818757,2754815652260910,0.842759,5.1523223,8.236053
android.sensor.accelerometer,1523388818777,2754815672282785,0.9576807,5.1523223,8.063671
android.sensor.accelerometer,1523388818797,2754815692274973,0.91937345,5.133168,8.274361
android.sensor.accelerometer,1523388818817,2754815712265598,0.81402856,5.171476,8.322245
android.sensor.accelerometer,1523388818837,2754815732256223,1.0151415,5.2480903,8.446744
android.sensor.accelerometer,1523388818857,2754815752278098,1.0342951,5.2959743,8.379706
android.sensor.accelerometer,1523388818877,2754815772268723,0.9672575,5.305551,8.255207
android.sensor.accelerometer,1523388818897,2754815792260910,1.2545617,5.00867,8.054094
android.sensor.accelerometer,1523388818917,2754815812282785,2.183512,4.2521024,7.699753
android.sensor.accelerometer,1523388818937,2754815832273410,2.4612393,2.920926,7.07726
android.sensor.accelerometer,1523388818957,2754815852264035,3.4476504,1.7812861,6.493075
android.sensor.accelerometer,1523388818977,2754815872254660,4.012682,0.24899697,6.789956
android.sensor.accelerometer,1523388818997,2754815892278098,3.8498764,-1.5705963,7.249643
android.sensor.accelerometer,1523388819017,2754815912268723,4.309563,-3.1603463,6.579266
android.sensor.accelerometer,1523388819037,2754815932259348,4.4819455,-4.1659107,4.510676
android.sensor.accelerometer,1523388819058,2754815952281223,5.9280434,-4.5681367,2.6144683
android.sensor.accelerometer,1523388819078,2754815972271848,8.571242,-4.3287168,0.4213795
android.sensor.accelerometer,1523388819098,2754815992262473,10.189722,-4.5777135,-0.90979666
android.sensor.accelerometer,1523388819118,2754816012254660,11.492168,-4.10845,-0.2873042
android.sensor.accelerometer,1523388819138,2754816032276535,14.796166,-4.462792,1.6184803
android.sensor.accelerometer,1523388819158,2754816052267160,14.001291,-5.1906295,0.8810662
android.sensor.accelerometer,1523388819178,2754816072257785,14.872781,-5.0278234,0.7086837
android.sensor.accelerometer,1523388819198,2754816092281223,16.788143,-5.142745,4.855441
android.sensor.accelerometer,1523388819218,2754816112271848,18.138472,-5.66947,6.9048777
android.sensor.accelerometer,1523388819238,2754816132262473,18.511967,-5.4300494,10.965444
android.sensor.accelerometer,1523388819258,2754816152284348,17.650055,-4.9703627,15.294161
android.sensor.accelerometer,1523388819277,2754816172274973,16.49126,-2.5761611,16.16565
android.sensor.accelerometer,1523388819297,2754816192267160,16.500837,0.24899697,13.273455
android.sensor.accelerometer,1523388819317,2754816212257785,16.615759,2.078167,9.251195
android.sensor.accelerometer,1523388819338,2754816232279660,16.280571,2.3080103,10.151415
android.sensor.accelerometer,1523388819358,2754816252270285,17.209522,2.3463178,10.907983
android.sensor.accelerometer,1523388819377,2754816272262473,18.109741,2.7581203,9.232041
