Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523388804884,2754801772271848,0.0070860367,-0.0046251225,-0.038711403
android.sensor.gyroscope,1523388804897,2754801792262473,0.025621433,-0.0019024089,-0.049898963
android.sensor.gyroscope,1523388804917,2754801812284348,0.015271631,-0.00408407,-0.053983033
android.sensor.gyroscope,1523388804937,2754801832276535,0.0,0.0,0.0
android.sensor.gyroscope,1523388804957,2754801852267160,0.010349803,-0.006806784,-0.06735226
android.sensor.gyroscope,1523388804977,2754801872257785,0.006265732,-0.0019024089,-0.055902895
android.sensor.gyroscope,1523388804997,2754801892279660,0.008988446,0.0038048178,-0.03817035
android.sensor.gyroscope,1523388805017,2754801912270285,0.006806784,0.0019024089,-0.055623643
android.sensor.gyroscope,1523388805037,2754801932262473,0.019634955,0.017994344,-0.07335619
android.sensor.gyroscope,1523388805057,2754801952284348,0.014172073,0.012531464,-0.05290093
android.sensor.gyroscope,1523388805077,2754801972274973,0.019076448,0.0155334305,-0.03080506
android.sensor.gyroscope,1523388805097,2754801992265598,0.016894788,0.012531464,-0.033527777
android.sensor.gyroscope,1523388805117,2754802012256223,0.01308997,0.007347836,-0.036529742
android.sensor.gyroscope,1523388805137,2754802032279660,0.013351769,0.007347836,-0.036529742
android.sensor.gyroscope,1523388805157,2754802052268723,0.0,0.0,0.0
android.sensor.gyroscope,1523388805177,2754802072260910,0.007906342,5.410521E-4,-0.055623643
android.sensor.gyroscope,1523388805197,2754802092282785,0.0021816615,-0.011990412,-0.08670796
android.sensor.gyroscope,1523388805217,2754802112273410,-0.0019024089,-0.013631022,-0.09489355
android.sensor.gyroscope,1523388805237,2754802132264035,-0.0013613568,-0.009808751,-0.067631505
android.sensor.gyroscope,1523388805257,2754802152256223,-0.010629055,-0.023719024,-0.08370599
android.sensor.gyroscope,1523388805277,2754802172278098,-0.022619467,-0.04499459,-0.08152433
android.sensor.gyroscope,1523388805297,2754802192268723,-0.06544985,-0.089448124,-0.10416125
android.sensor.gyroscope,1523388805317,2754802212259348,-0.15161675,-0.18434167,-0.1510757
android.sensor.gyroscope,1523388805337,2754802232282785,-0.2765125,-0.35533157,-0.20916025
android.sensor.gyroscope,1523388805357,2754802252273410,-0.44614106,-0.6294006,-0.27843237
android.sensor.gyroscope,1523388805377,2754802272264035,-0.44259804,-0.82875216,-0.124354705
android.sensor.gyroscope,1523388805397,2754802292254660,-0.425424,-0.9882927,0.032166418
android.sensor.gyroscope,1523388805417,2754802312276535,-0.62967986,-1.296448,-0.15598008
android.sensor.gyroscope,1523388805437,2754802332267160,-1.2719086,-1.9021297,-0.9871931
