Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523343101770,2709098663430702,0.0,0.0,0.0
android.sensor.gyroscope,1523343101790,2709098683421327,0.0,0.0,0.0
android.sensor.gyroscope,1523343101810,2709098703413515,0.0,0.0,0.0
android.sensor.gyroscope,1523343101830,2709098723433827,0.0,0.0,0.0
android.sensor.gyroscope,1523343101850,2709098743426015,0.0,0.0,0.0
android.sensor.gyroscope,1523343101870,2709098763416640,0.0,0.0,0.0
android.sensor.gyroscope,1523343101890,2709098783438515,0.0,0.0,0.0
android.sensor.gyroscope,1523343101910,2709098803429140,0.0,0.0,0.0
android.sensor.gyroscope,1523343101930,2709098823421327,0.0,0.0,0.0
android.sensor.gyroscope,1523343101950,2709098843411952,0.0,0.0,0.0
android.sensor.gyroscope,1523343101970,2709098863433827,-0.0019024089,0.04935791,0.026441738
android.sensor.gyroscope,1523343101990,2709098883424452,-0.0016231562,0.03408628,0.020176006
android.sensor.gyroscope,1523343102010,2709098903415077,-0.0021816615,0.033807028,0.020176006
android.sensor.gyroscope,1523343102031,2709098923436952,-0.00572468,0.03244567,0.021816615
android.sensor.gyroscope,1523343102051,2709098943429140,-0.008447394,0.047438048,0.028902652
android.sensor.gyroscope,1523343102071,2709098963419765,0.0,0.0,0.0
android.sensor.gyroscope,1523343102091,2709098983410390,0.0,0.0,0.0
android.sensor.gyroscope,1523343102111,2709099003432265,0.0,0.0,0.0
android.sensor.gyroscope,1523343102131,2709099023422890,-0.005986479,0.05534439,0.0076270886
android.sensor.gyroscope,1523343102151,2709099043413515,-0.011170107,0.17915805,0.0021816615
android.sensor.gyroscope,1523343102171,2709099063436952,-0.015812684,0.3228859,-0.011990412
android.sensor.gyroscope,1523343102191,2709099083427577,-0.037088245,0.57868135,-0.017174039
android.sensor.gyroscope,1523343102211,2709099103418202,-0.09599311,0.8391194,0.027803095
android.sensor.gyroscope,1523343102231,2709099123408827,-0.1603434,0.97874576,0.10197959
android.sensor.gyroscope,1523343102250,2709099143432265,-0.1870644,1.0362892,0.15271631
android.sensor.gyroscope,1523343102270,2709099163421327,-0.19360937,1.0548246,0.19661134
android.sensor.gyroscope,1523343102290,2709099183413515,-0.20151572,1.0141934,0.25115287
android.sensor.gyroscope,1523343102310,2709099203435390,-0.20289452,0.9141162,0.31360075
android.sensor.gyroscope,1523343102330,2709099223426015,-0.16198401,0.604041,0.30979595
android.sensor.gyroscope,1523343102350,2709099243416640,-0.18598229,0.37987092,0.38505453
android.sensor.gyroscope,1523343102370,2709099263408827,-0.22197098,0.2086192,0.4595103
android.sensor.gyroscope,1523343102390,2709099283430702,-0.22907446,0.051539574,0.512132
android.sensor.gyroscope,1523343102410,2709099303421327,-0.23561946,-0.10798352,0.58276546
android.sensor.gyroscope,1523343102430,2709099323411952,-0.2582389,-0.2380629,0.6675884
android.sensor.gyroscope,1523343102451,2709099343435390,-0.28061405,-0.3095167,0.762482
android.sensor.gyroscope,1523343102470,2709099363426015,-0.306794,-0.34005994,0.8699245
android.sensor.gyroscope,1523343102490,2709099383416640,-0.31305972,-0.3463257,0.96237457
android.sensor.gyroscope,1523343102510,2709099403438515,-0.30325097,-0.33841935,1.0523638
android.sensor.gyroscope,1523343102530,2709099423429140,-0.28523916,-0.35014796,1.1442728
android.sensor.gyroscope,1523343102550,2709099443421327,-0.26724482,-0.4265061,1.2230918
android.sensor.gyroscope,1523343102570,2709099463411952,-0.23397884,-0.43713516,1.3144424
android.sensor.gyroscope,1523343102590,2709099483433827,-0.19252726,-0.4131369,1.3760699
android.sensor.gyroscope,1523343102610,2709099503424452,-0.16442747,-0.48923326,1.4423401
android.sensor.gyroscope,1523343102630,2709099523416640,-0.15515977,-0.5489584,1.5247022
android.sensor.gyroscope,1523343102650,2709099543436952,-0.09789552,-0.6032207,1.566433
android.sensor.gyroscope,1523343102670,2709099563429140,-0.00816814,-0.7431263,1.5675151
android.sensor.gyroscope,1523343102690,2709099583419765,0.060528018,-0.9070127,1.5860679
android.sensor.gyroscope,1523343102710,2709099603410390,0.1420698,-1.0024648,1.6007811
android.sensor.gyroscope,1523343102730,2709099623432265,0.21242402,-1.0616488,1.620416
android.sensor.gyroscope,1523343102751,2709099643424452,0.24897122,-1.02292,1.6479573
android.sensor.gyroscope,1523343102770,2709099663415077,0.27488935,-0.89392275,1.6547816
android.sensor.gyroscope,1523343102790,2709099683436952,0.28878218,-0.7807556,1.6474162
android.sensor.gyroscope,1523343102810,2709099703427577,0.32724923,-0.64739496,1.6046033
android.sensor.gyroscope,1523343102830,2709099723418202,0.38777724,-0.5274036,1.5323293
android.sensor.gyroscope,1523343102850,2709099743410390,0.43769366,-0.4346917,1.4202616
android.sensor.gyroscope,1523343102870,2709099763432265,0.48895398,-0.31169835,1.27327
android.sensor.gyroscope,1523343102890,2709099783422890,0.5372298,-0.17915805,1.0578266
android.sensor.gyroscope,1523343102910,2709099803413515,0.6190334,-0.040072758,0.7752927
android.sensor.gyroscope,1523343102930,2709099823435390,0.7363021,0.16634732,0.43987533
android.sensor.gyroscope,1523343102951,2709099843426015,0.90074694,0.5260422,0.036529742
android.sensor.gyroscope,1523343102970,2709099863418202,1.0875496,1.1382688,-0.36950365
android.sensor.gyroscope,1523343102990,2709099883408827,1.0910926,2.0409358,-0.593953
android.sensor.gyroscope,1523343103010,2709099903430702,0.7943866,2.981773,-0.57267743
android.sensor.gyroscope,1523343103030,2709099923421327,0.39159954,3.565917,-0.48186794
android.sensor.gyroscope,1523343103051,2709099943411952,0.08370599,3.558831,-0.42760566
android.sensor.gyroscope,1523343103070,2709099963435390,-0.059166662,3.325655,-0.43004912
android.sensor.gyroscope,1523343103090,2709099983426015,-0.07798131,3.0374138,-0.45458844
android.sensor.gyroscope,1523343103110,2709100003416640,-0.026441738,2.705522,-0.5017822
android.sensor.gyroscope,1523343103130,2709100023407265,-0.005986479,2.2850025,-0.5576851
android.sensor.gyroscope,1523343103150,2709100043429140,-0.046076693,1.8254923,-0.61140627
android.sensor.gyroscope,1523343103170,2709100063419765,-0.076358154,1.4248868,-0.66566855
android.sensor.gyroscope,1523343103190,2709100083411952,-0.09107128,1.0218204,-0.7412064
android.sensor.gyroscope,1523343103210,2709100103433827,-0.07443829,0.6981317,-0.8033925
android.sensor.gyroscope,1523343103230,2709100123424452,-0.014713125,0.38777724,-0.8884773
android.sensor.gyroscope,1523343103250,2709100143416640,0.05508259,0.07143632,-1.0024648
android.sensor.gyroscope,1523343103270,2709100163436952,0.1055226,-0.20833996,-1.1085459
android.sensor.gyroscope,1523343103290,2709100183429140,0.15351915,-0.43577382,-1.2124454
android.sensor.gyroscope,1523343103310,2709100203419765,0.17453292,-0.63758624,-1.3133602
android.sensor.gyroscope,1523343103330,2709100223410390,0.16852899,-0.8568345,-1.4096152
android.sensor.gyroscope,1523343103350,2709100243433827,0.1338842,-0.99838066,-1.4527073
android.sensor.gyroscope,1523343103370,2709100263422890,0.11807153,-1.0894519,-1.4854323
android.sensor.gyroscope,1523343103390,2709100283415077,0.10744247,-1.1448138,-1.5102508
android.sensor.gyroscope,1523343103410,2709100303436952,0.062168628,-1.201537,-1.4769849
android.sensor.gyroscope,1523343103430,2709100323427577,-0.018256145,-1.2888035,-1.4098945
android.sensor.gyroscope,1523343103450,2709100343418202,-0.05454154,-1.3220869,-1.353433
android.sensor.gyroscope,1523343103470,2709100363410390,-0.071174525,-1.3089969,-1.2939872
android.sensor.gyroscope,1523343103490,2709100383432265,-0.08480555,-1.3768902,-1.2244532
android.sensor.gyroscope,1523343103510,2709100403422890,-0.07553785,-1.5238819,-1.1704527
android.sensor.gyroscope,1523343103530,2709100423413515,-0.07361799,-1.5364308,-1.0842857
android.sensor.gyroscope,1523343103550,2709100443435390,-0.09843657,-1.4941589,-0.9550093
android.sensor.gyroscope,1523343103570,2709100463427577,-0.12461651,-1.4022499,-0.82520914
android.sensor.gyroscope,1523343103590,2709100483418202,-0.14943509,-1.3046336,-0.6945712
android.sensor.gyroscope,1523343103610,2709100503408827,-0.17261307,-1.2089024,-0.5617691
android.sensor.gyroscope,1523343103630,2709100523430702,-0.19989257,-1.1159111,-0.45268604
android.sensor.gyroscope,1523343103651,2709100543421327,-0.17833774,-1.0379124,-0.40578905
android.sensor.gyroscope,1523343103670,2709100563413515,-0.15351915,-0.90428996,-0.3463257
android.sensor.gyroscope,1523343103690,2709100583435390,-0.12789772,-0.79194313,-0.26888543
android.sensor.gyroscope,1523343103710,2709100603426015,-0.11180579,-0.66730917,-0.14835298
android.sensor.gyroscope,1523343103730,2709100623416640,-0.10225884,-0.54949945,-0.017174039
android.sensor.gyroscope,1523343103750,2709100643407265,-0.10035643,-0.41968188,0.09953613
android.sensor.gyroscope,1523343103770,2709100663430702,-0.09953613,-0.2737898,0.17533578
android.sensor.gyroscope,1523343103790,2709100683419765,-0.08644616,-0.15325736,0.20643754
