Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523469011230,14699040959891,-0.16280572,5.803545,7.9487495
android.sensor.accelerometer,1523469011250,14699060952079,-0.22026655,5.7748146,7.9966335
android.sensor.accelerometer,1523469011270,14699080973954,-0.15322891,5.803545,7.8529816
android.sensor.accelerometer,1523469011290,14699100964579,-0.047884032,5.8322754,7.776367
android.sensor.accelerometer,1523469011310,14699120955204,-0.19153613,5.7365074,7.872135
android.sensor.accelerometer,1523469011330,14699140977079,-0.20111294,5.746084,7.785944
android.sensor.accelerometer,1523469011350,14699160969266,-0.02873042,5.793968,7.824251
android.sensor.accelerometer,1523469011370,14699180959891,0.019153614,5.7843914,7.8146744
android.sensor.accelerometer,1523469011390,14699200950516,-0.22026655,5.717354,8.015787
android.sensor.accelerometer,1523469011411,14699220972391,-0.39264908,5.6215854,7.8625584
android.sensor.accelerometer,1523469011431,14699240963016,-0.37349546,5.707777,7.603985
android.sensor.accelerometer,1523469011451,14699260953641,-0.08619126,5.765238,7.422025
android.sensor.accelerometer,1523469011471,14699280977079,-0.047884032,5.755661,7.4603324
android.sensor.accelerometer,1523469011491,14699300967704,-0.095768064,5.631162,7.6614456
android.sensor.accelerometer,1523469011511,14699320958329,0.076614454,5.401319,7.642292
android.sensor.accelerometer,1523469011531,14699340980204,0.7565677,4.903325,6.799533
android.sensor.accelerometer,1523469011550,14699360972391,1.2354081,4.2904096,5.995081
android.sensor.accelerometer,1523469011571,14699380963016,1.8770541,3.6296098,5.9759274
android.sensor.accelerometer,1523469011591,14699400953641,3.265691,2.96881,5.3821654
android.sensor.accelerometer,1523469011611,14699420975516,4.9224787,2.9975405,4.817134
android.sensor.accelerometer,1523469011631,14699440967704,6.3302693,3.3327289,5.3247046
android.sensor.accelerometer,1523469011651,14699460958329,7.4028716,4.357447,6.042965
android.sensor.accelerometer,1523469011671,14699480980204,8.2169,5.094861,7.97748
android.sensor.accelerometer,1523469011691,14699500970829,9.193734,6.291962,10.984597
android.sensor.accelerometer,1523469011711,14699520961454,9.854534,8.025364,13.924677
android.sensor.accelerometer,1523469011731,14699540952079,9.615114,9.643845,15.485697
android.sensor.accelerometer,1523469011751,14699560973954,7.517793,11.425131,17.017986
android.sensor.accelerometer,1523469011771,14699580966141,5.1810527,14.030022,18.253393
android.sensor.accelerometer,1523469011791,14699600956766,4.462792,15.8783455,21.231781
android.sensor.accelerometer,1523469011811,14699620978641,3.1028855,16.970102,27.159824
android.sensor.accelerometer,1523469011831,14699640969266,0.9864111,16.069881,33.509247
android.sensor.accelerometer,1523469011851,14699660961454,-0.9672575,14.805743,34.66804
android.sensor.accelerometer,1523469011871,14699680952079,-0.31603462,12.708423,30.808588
android.sensor.accelerometer,1523469011891,14699700973954,-3.1794999,9.9790325,26.700138
android.sensor.accelerometer,1523469011911,14699720964579,-9.730036,6.3781533,26.78633
android.sensor.accelerometer,1523469011931,14699740955204,-14.767436,2.8443117,25.857378
android.sensor.accelerometer,1523469011950,14699760978641,-14.068329,-0.17238252,19.230228
android.sensor.accelerometer,1523469011971,14699780969266,-10.093954,-1.1587936,13.924677
android.sensor.accelerometer,1523469011990,14699800959891,-6.751649,-2.4899697,10.323798
android.sensor.accelerometer,1523469012010,14699820950516,-6.090849,-3.7541082,8.418014
android.sensor.accelerometer,1523469012030,14699840972391,-7.326257,-4.8267107,7.038953
android.sensor.accelerometer,1523469012050,14699860963016,-8.599973,-5.659893,6.349423
android.sensor.accelerometer,1523469012070,14699880955204,-8.159439,-6.2345014,5.707777
android.sensor.accelerometer,1523469012090,14699900977079,-6.7708025,-6.205771,4.453215
android.sensor.accelerometer,1523469012110,14699920967704,-5.1906295,-5.9663506,1.8866309
android.sensor.accelerometer,1523469012130,14699940958329,-3.9743748,-5.6120086,-0.7374141
android.sensor.accelerometer,1523469012150,14699960981766,-2.9879637,-5.1235914,-1.7142484
