Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523469077598,14765400973954,-0.4309563,8.829816,4.232949
android.sensor.accelerometer,1523469077610,14765420964579,-0.40222588,8.858546,4.31914
android.sensor.accelerometer,1523469077630,14765440955204,-0.4405331,8.829816,4.3287168
android.sensor.accelerometer,1523469077650,14765460978641,-0.36391866,8.916007,4.1180267
android.sensor.accelerometer,1523469077670,14765480969266,-0.35434186,8.925584,4.10845
android.sensor.accelerometer,1523469077690,14765500959891,-0.4405331,8.90643,3.9935284
android.sensor.accelerometer,1523469077710,14765520952079,-0.4309563,9.011775,4.050989
android.sensor.accelerometer,1523469077730,14765540973954,-0.24899697,9.088389,4.2042184
android.sensor.accelerometer,1523469077750,14765560964579,-0.29688102,8.954314,4.462792
android.sensor.accelerometer,1523469077770,14765580955204,-0.5363012,8.887277,4.271256
android.sensor.accelerometer,1523469077790,14765600977079,-0.7086837,8.810662,3.964798
android.sensor.accelerometer,1523469077810,14765620967704,-0.7182605,8.896853,3.9360676
android.sensor.accelerometer,1523469077830,14765640959891,-0.59376204,9.107543,4.10845
android.sensor.accelerometer,1523469077850,14765660950516,-0.545878,9.80665,4.185065
android.sensor.accelerometer,1523469077870,14765680972391,-0.45010993,11.109096,4.6255975
android.sensor.accelerometer,1523469077890,14765700963016,-0.37349546,12.650962,4.4340615
android.sensor.accelerometer,1523469077910,14765720953641,-0.7757214,14.259866,4.807557
android.sensor.accelerometer,1523469077930,14765740977079,-1.6280571,15.313314,5.2959743
android.sensor.accelerometer,1523469077950,14765760967704,-1.5897499,15.648502,5.8801594
android.sensor.accelerometer,1523469077970,14765780958329,-1.8962077,15.380352,7.8050976
android.sensor.accelerometer,1523469077990,14765800980204,-2.6431987,14.18325,7.2783732
android.sensor.accelerometer,1523469078010,14765820970829,-4.8267107,12.689269,7.335834
android.sensor.accelerometer,1523469078030,14765840961454,-8.293514,10.563218,9.9790325
android.sensor.accelerometer,1523469078050,14765860953641,-10.716447,7.690176,12.152967
android.sensor.accelerometer,1523469078070,14765880975516,-10.457873,5.4204726,10.927136
android.sensor.accelerometer,1523469078090,14765900966141,-7.469909,3.6391866,6.5984197
android.sensor.accelerometer,1523469078110,14765920958329,-4.606444,2.6910827,2.3080103
android.sensor.accelerometer,1523469078130,14765940980204,-2.834735,0.2681506,-0.06703765
android.sensor.accelerometer,1523469078150,14765960970829,-4.5681367,-0.7469909,-4.817134
