Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523343143655,2709140549427577,-0.041992623,0.0010821042,-0.037350047
android.sensor.gyroscope,1523343143682,2709140569419765,-0.04171337,-0.027803095,-0.025359634
android.sensor.gyroscope,1523343143694,2709140589410390,-0.025621433,-0.048537605,-0.012531464
android.sensor.gyroscope,1523343143714,2709140609432265,-0.016353736,-0.053162728,-0.007347836
android.sensor.gyroscope,1523343143734,2709140629422890,-0.016632987,-0.035709437,5.410521E-4
android.sensor.gyroscope,1523343143754,2709140649415077,-0.022078415,-0.031625368,0.008988446
android.sensor.gyroscope,1523343143774,2709140669436952,0.0,0.0,0.0
android.sensor.gyroscope,1523343143794,2709140689427577,0.0,0.0,0.0
android.sensor.gyroscope,1523343143814,2709140709418202,0.0,0.0,0.0
android.sensor.gyroscope,1523343143834,2709140729408827,-0.023998277,0.020437805,0.023719024
android.sensor.gyroscope,1523343143854,2709140749432265,0.0,0.0,0.0
android.sensor.gyroscope,1523343143874,2709140769421327,0.0,0.0,0.0
android.sensor.gyroscope,1523343143894,2709140789413515,-0.02289872,0.02480113,0.020437805
android.sensor.gyroscope,1523343143914,2709140809435390,-0.027541295,0.015812684,0.023439772
android.sensor.gyroscope,1523343143934,2709140829427577,0.0,0.0,0.0
android.sensor.gyroscope,1523343143954,2709140849416640,-0.029722957,-0.017174039,0.019634955
android.sensor.gyroscope,1523343143974,2709140869408827,-0.042812925,-0.049619712,0.019634955
android.sensor.gyroscope,1523343143994,2709140889430702,-0.05126032,-0.09599311,0.021816615
android.sensor.gyroscope,1523343144014,2709140909421327,-0.07061602,-0.2086192,0.0283616
android.sensor.gyroscope,1523343144034,2709140929411952,-0.09953613,-0.34742525,0.048258353
android.sensor.gyroscope,1523343144054,2709140949435390,-0.16416568,-0.5061455,0.09271189
android.sensor.gyroscope,1523343144074,2709140969426015,-0.28660053,-0.7701265,0.1968906
android.sensor.gyroscope,1523343144094,2709140989416640,-0.36077702,-0.88057095,0.27406904
android.sensor.gyroscope,1523343144114,2709141009438515,-0.43277183,-0.92964965,0.35287067
android.sensor.gyroscope,1523343144134,2709141029429140,-0.49577823,-0.9640151,0.42432445
android.sensor.gyroscope,1523343144154,2709141049419765,-0.5729567,-0.9599311,0.5132315
android.sensor.gyroscope,1523343144174,2709141069411952,-0.65449846,-0.9361946,0.60376173
android.sensor.gyroscope,1523343144194,2709141089433827,-0.7272962,-0.9331927,0.6834011
android.sensor.gyroscope,1523343144214,2709141109424452,-0.8080176,-0.9250245,0.7782947
android.sensor.gyroscope,1523343144234,2709141129415077,-0.7908436,-0.89366096,0.7886619
android.sensor.gyroscope,1523343144254,2709141149436952,-0.7218507,-0.863938,0.7540346
android.sensor.gyroscope,1523343144274,2709141169429140,-0.6482153,-0.8159414,0.7308566
android.sensor.gyroscope,1523343144294,2709141189419765,-0.60540235,-0.57131606,0.7022158
android.sensor.gyroscope,1523343144314,2709141209411952,-0.60894537,-0.10035643,0.62967986
android.sensor.gyroscope,1523343144334,2709141229432265,-0.66730917,0.7551167,0.49932125
android.sensor.gyroscope,1523343144354,2709141249422890,-0.8325744,2.0480218,0.40578905
android.sensor.gyroscope,1523343144374,2709141269415077,-1.2198106,3.2463124,0.43251005
android.sensor.gyroscope,1523343144394,2709141289436952,-1.6430529,3.9354382,0.42814672
android.sensor.gyroscope,1523343144414,2709141309427577,-1.9430401,4.3150473,0.37032396
android.sensor.gyroscope,1523343144434,2709141329418202,-2.131745,4.4159446,0.2718874
android.sensor.gyroscope,1523343144454,2709141349408827,-2.268928,4.30468,0.17425367
android.sensor.gyroscope,1523343144474,2709141369432265,-2.3605578,4.0529685,0.06735226
android.sensor.gyroscope,1523343144494,2709141389422890,-2.4055524,3.7246373,-0.03598869
android.sensor.gyroscope,1523343144514,2709141409413515,-2.4178221,3.3420262,-0.12980014
android.sensor.gyroscope,1523343144534,2709141429435390,-2.3714662,2.8999693,-0.19524999
android.sensor.gyroscope,1523343144554,2709141449427577,-2.288563,2.3340986,-0.24951227
android.sensor.gyroscope,1523343144574,2709141469416640,-2.1816616,1.8050369,-0.2765125
android.sensor.gyroscope,1523343144594,2709141489408827,-2.0526643,1.2926258,-0.2846981
android.sensor.gyroscope,1523343144614,2709141509430702,-1.8459475,0.49113566,-0.28251645
android.sensor.gyroscope,1523343144634,2709141529421327,-1.60024,-0.48569024,-0.26069984
android.sensor.gyroscope,1523343144654,2709141549411952,-1.3938025,-1.333257,-0.20125392
android.sensor.gyroscope,1523343144674,2709141569435390,-1.2367228,-1.7496926,-0.09707521
android.sensor.gyroscope,1523343144694,2709141589426015,-1.0529222,-1.9392179,-0.0032637657
android.sensor.gyroscope,1523343144714,2709141609416640,-0.91738,-2.1712942,0.04553564
android.sensor.gyroscope,1523343144734,2709141629407265,-0.8413011,-2.3766322,0.0662527
android.sensor.gyroscope,1523343144754,2709141649429140,-0.8099375,-2.578724,0.06462954
android.sensor.gyroscope,1523343144774,2709141669419765,-0.8118399,-2.8274333,0.061348323
android.sensor.gyroscope,1523343144794,2709141689411952,-0.8276526,-3.0592306,0.066811204
android.sensor.gyroscope,1523343144814,2709141709433827,-0.8211076,-3.1115904,0.07253588
android.sensor.gyroscope,1523343144835,2709141729424452,-0.7752927,-3.1563058,0.05644395
android.sensor.gyroscope,1523343144854,2709141749415077,-0.6986728,-3.1533039,0.012531464
android.sensor.gyroscope,1523343144874,2709141769438515,-0.5972168,-3.002228,-0.025080381
android.sensor.gyroscope,1523343144894,2709141789429140,-0.45596728,-2.5097136,-0.025621433
android.sensor.gyroscope,1523343144914,2709141809419765,-0.29096383,-1.9201239,-0.0054454273
android.sensor.gyroscope,1523343144934,2709141829410390,-0.13634512,-1.5547044,-0.022619467
android.sensor.gyroscope,1523343144954,2709141849432265,-0.02125811,-1.3749878,-0.07689921
android.sensor.gyroscope,1523343144974,2709141869422890,0.06571165,-1.2451702,-0.15271631
android.sensor.gyroscope,1523343144994,2709141889415077,0.1227141,-1.1374485,-0.24352579
android.sensor.gyroscope,1523343145014,2709141909436952,0.16442747,-1.0030059,-0.32424727
android.sensor.gyroscope,1523343145034,2709141929429140,0.20425588,-0.82302743,-0.38805652
android.sensor.gyroscope,1523343145054,2709141949418202,0.2454282,-0.60704297,-0.43441245
android.sensor.gyroscope,1523343145074,2709141969410390,0.2855184,-0.34170055,-0.42324233
android.sensor.gyroscope,1523343145094,2709141989432265,0.35287067,-5.410521E-4,-0.34114206
android.sensor.gyroscope,1523343145114,2709142009422890,0.46113345,0.5132315,-0.08698721
android.sensor.gyroscope,1523343145134,2709142029413515,0.5972168,1.172355,0.3681423
android.sensor.gyroscope,1523343145154,2709142049435390,0.6599439,1.6591449,0.79056436
android.sensor.gyroscope,1523343145174,2709142069427577,0.66484827,1.942761,1.069276
android.sensor.gyroscope,1523343145194,2709142089418202,0.6809402,2.170474,1.2877214
android.sensor.gyroscope,1523343145214,2709142109408827,0.71040136,2.36164,1.4835298
android.sensor.gyroscope,1523343145234,2709142129430702,0.73466146,2.500987,1.6572425
android.sensor.gyroscope,1523343145254,2709142149421327,0.75375533,2.5863512,1.8265917
android.sensor.gyroscope,1523343145274,2709142169413515,0.8140216,2.5686185,1.9304912
android.sensor.gyroscope,1523343145294,2709142189435390,0.97220075,2.3728275,1.8683051
android.sensor.gyroscope,1523343145314,2709142209426015,1.1156319,2.084569,1.6978737
android.sensor.gyroscope,1523343145334,2709142229416640,1.194451,1.6746957,1.3144424
android.sensor.gyroscope,1523343145354,2709142249407265,1.2340001,1.0291858,0.4996005
android.sensor.gyroscope,1523343145374,2709142269430702,1.2623618,-0.1595231,-1.302993
android.sensor.gyroscope,1523343145394,2709142289421327,0.9312902,-1.8295938,-3.8198102
android.sensor.gyroscope,1523343145414,2709142309411952,0.4813269,-2.6515217,-4.6518435
android.sensor.gyroscope,1523343145434,2709142329433827,0.25497514,-2.7696106,-4.532114
