Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523469131677,14819480959891,-0.08619126,5.094861,8.523358
android.sensor.accelerometer,1523469131690,14819500952079,0.08619126,5.104438,8.37013
android.sensor.accelerometer,1523469131710,14819520973954,0.08619126,5.142745,8.504205
android.sensor.accelerometer,1523469131730,14819540964579,-0.047884032,5.142745,8.7532015
android.sensor.accelerometer,1523469131750,14819560955204,-0.076614454,5.1235914,8.6095495
android.sensor.accelerometer,1523469131770,14819580978641,-0.08619126,5.1810527,8.485051
android.sensor.accelerometer,1523469131790,14819600969266,-0.095768064,5.1810527,8.0445175
android.sensor.accelerometer,1523469131810,14819620959891,-0.25857377,5.1906295,7.967903
android.sensor.accelerometer,1523469131830,14819640950516,-0.2777274,5.085284,8.236053
android.sensor.accelerometer,1523469131850,14819660972391,-0.39264908,5.142745,8.619126
android.sensor.accelerometer,1523469131870,14819680963016,-0.4405331,5.0661306,8.408437
android.sensor.accelerometer,1523469131890,14819700955204,-0.4309563,5.1140146,7.872135
android.sensor.accelerometer,1523469131910,14819720977079,-0.038307227,5.161899,7.8529816
android.sensor.accelerometer,1523469131930,14819740967704,-0.11492168,5.00867,8.101978
android.sensor.accelerometer,1523469131950,14819760958329,-0.30645782,4.6255975,7.747637
android.sensor.accelerometer,1523469131970,14819780980204,-0.5363012,4.2999864,6.3111157
android.sensor.accelerometer,1523469131990,14819800972391,-2.2505496,3.6296098,2.432509
android.sensor.accelerometer,1523469132010,14819820963016,-10.266336,4.1659107,2.030283
android.sensor.accelerometer,1523469132030,14819840953641,-18.013973,3.3327289,9.222465
android.sensor.accelerometer,1523469132050,14819860975516,-24.028208,2.719813,22.304382
android.sensor.accelerometer,1523469132070,14819880967704,-11.195287,-2.0207062,21.126436
android.sensor.accelerometer,1523469132090,14819900956766,25.474306,-3.016694,10.850522
android.sensor.accelerometer,1523469132110,14819920980204,53.735462,5.085284,4.8937483
android.sensor.accelerometer,1523469132130,14819940970829,51.820103,7.5848308,-1.0342951
android.sensor.accelerometer,1523469132150,14819960961454,34.63931,5.813122,-13.656527
android.sensor.accelerometer,1523469132170,14819980952079,14.374787,2.9017725,-12.516887
android.sensor.accelerometer,1523469132190,14820000975516,7.3549876,-1.7429788,-5.5162406
android.sensor.accelerometer,1523469132210,14820020966141,6.9527617,-6.157887,-20.96363
android.sensor.accelerometer,1523469132230,14820040956766,2.6910827,-14.15452,-46.284706
android.sensor.accelerometer,1523469132250,14820060978641,5.841852,-27.2939,-26.374525
android.sensor.accelerometer,1523469132270,14820080970829,-11.042058,-36.79409,26.192566
android.sensor.accelerometer,1523469132290,14820100961454,-35.30969,-28.931534,47.424347
android.sensor.accelerometer,1523469132310,14820120952079,-41.314346,-21.65316,49.15775
android.sensor.accelerometer,1523469132330,14820140973954,-39.341522,-16.845604,40.73016
android.sensor.accelerometer,1523469132350,14820160964579,-16.156073,-19.88145,30.37763
android.sensor.accelerometer,1523469132370,14820180955204,24.583664,-18.569427,18.569427
android.sensor.accelerometer,1523469132390,14820200978641,61.119183,0.076614454,18.330008
