Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523469155515,14843320967704,-0.0054454273,0.021537364,0.032724924
android.sensor.gyroscope,1523469155530,14843340958329,-0.005986479,0.0376293,0.0567232
android.sensor.gyroscope,1523469155550,14843360980204,-0.0051661744,0.03080506,0.046617743
android.sensor.gyroscope,1523469155570,14843380970829,-0.011170107,0.0376293,0.056164697
android.sensor.gyroscope,1523469155590,14843400961454,-0.013892821,0.030543262,0.04499459
android.sensor.gyroscope,1523469155610,14843420953641,-0.027262043,0.041992623,0.059707712
android.sensor.gyroscope,1523469155630,14843440975516,-0.019355701,0.030264009,0.04335398
android.sensor.gyroscope,1523469155650,14843460966141,-0.012810716,0.020996312,0.03080506
android.sensor.gyroscope,1523469155670,14843480956766,-0.019076448,0.019355701,0.0286234
android.sensor.gyroscope,1523469155690,14843500980204,-0.02480113,0.016894788,0.025621433
android.sensor.gyroscope,1523469155710,14843520969266,0.0,0.0,0.0
android.sensor.gyroscope,1523469155730,14843540961454,0.0,0.0,0.0
android.sensor.gyroscope,1523469155750,14843560952079,0.11070623,-0.061627574,-0.3596949
android.sensor.gyroscope,1523469155770,14843580973954,0.31714377,-0.08016297,-0.65203756
android.sensor.gyroscope,1523469155790,14843600964579,0.43168974,-0.0659909,-0.6973114
android.sensor.gyroscope,1523469155811,14843620956766,0.0046251225,-0.14725342,-0.5353099
android.sensor.gyroscope,1523469155831,14843640978641,-0.44205698,0.1611637,1.0499203
android.sensor.gyroscope,1523469155851,14843660969266,0.043895032,0.96047217,3.5790071
android.sensor.gyroscope,1523469155870,14843680959891,0.48623127,0.9950995,4.113235
android.sensor.gyroscope,1523469155891,14843700950516,0.5235988,0.7807556,3.6002827
android.sensor.gyroscope,1523469155911,14843720972391,0.24378759,0.4796863,2.489276
android.sensor.gyroscope,1523469155931,14843740964579,-0.13252285,0.10115928,1.0801842
android.sensor.gyroscope,1523469155951,14843760955204,-0.49087384,-0.39324012,-0.6002187
android.sensor.gyroscope,1523469155971,14843780977079,-0.6498559,-0.8410218,-2.0856686
android.sensor.gyroscope,1523469155990,14843800967704,-0.34932765,-0.21242402,0.05534439
android.sensor.gyroscope,1523469156010,14843820959891,0.5374916,0.6449515,2.9310536
android.sensor.gyroscope,1523469156030,14843840981766,1.0553657,0.77965605,3.7982728
android.sensor.gyroscope,1523469156050,14843860972391,1.1669097,0.62967986,3.545462
android.sensor.gyroscope,1523469156070,14843880963016,1.1350051,0.53014374,3.1770403
android.sensor.gyroscope,1523469156090,14843900953641,1.1718141,0.31824332,2.7038815
android.sensor.gyroscope,1523469156110,14843920977079,1.0719987,0.0752586,1.9803902
android.sensor.gyroscope,1523469156130,14843940967704,0.5042256,-0.20751965,0.6288596
android.sensor.gyroscope,1523469156150,14843960958329,-0.64549255,-1.0231993,-1.8538538
android.sensor.gyroscope,1523469156170,14843980980204,-0.7867595,-0.8301135,-1.4663384
android.sensor.gyroscope,1523469156190,14844000970829,1.0370921,1.0370921,2.7944293
android.sensor.gyroscope,1523469156210,14844020961454,1.8822154,0.9222843,3.72736
android.sensor.gyroscope,1523469156230,14844040953641,2.0232031,0.6561216,3.6005445
android.sensor.gyroscope,1523469156250,14844060975516,1.9452218,0.6149493,3.34721
android.sensor.gyroscope,1523469156270,14844080966141,1.8402228,0.62121505,3.088133
android.sensor.gyroscope,1523469156290,14844100956766,1.8333986,-0.19170697,2.275735
android.sensor.gyroscope,1523469156311,14844120978641,2.0957565,-1.9847535,0.4614127
android.sensor.gyroscope,1523469156330,14844140970829,2.4603558,-3.631367,-2.6618888
android.sensor.gyroscope,1523469156350,14844160961454,0.94574153,-3.8844397,-5.5258694
android.sensor.gyroscope,1523469156370,14844180952079,-1.3286319,-2.6771605,-3.6259215
android.sensor.gyroscope,1523469156390,14844200973954,1.0711958,1.1584623,1.8320372
android.sensor.gyroscope,1523469156410,14844220964579,1.7867808,1.4611547,2.761425
android.sensor.gyroscope,1523469156430,14844240956766,1.771771,1.323169,2.641992
android.sensor.gyroscope,1523469156450,14844260978641,1.6779596,1.2519945,2.4759066
android.sensor.gyroscope,1523469156470,14844280969266,1.3888981,0.72130966,1.7995915
android.sensor.gyroscope,1523469156490,14844300959891,1.0810046,-0.44614106,0.6263987
android.sensor.gyroscope,1523469156510,14844320950516,0.9855525,-1.919583,-0.8792096
android.sensor.gyroscope,1523469156530,14844340973954,0.5505816,-2.8146052,-2.4579122
android.sensor.gyroscope,1523469156550,14844360963016,-0.93701494,-2.7551594,-3.2007594
android.sensor.gyroscope,1523469156570,14844380955204,-1.1199952,0.11126474,-0.6730339
android.sensor.gyroscope,1523469156590,14844400977079,1.4807897,3.024865,2.816525
android.sensor.gyroscope,1523469156610,14844420969266,1.7589602,2.455172,2.99214
android.sensor.gyroscope,1523469156630,14844440958329,1.5696968,1.7336006,2.5020866
android.sensor.gyroscope,1523469156650,14844460981766,1.3286319,1.1996346,1.9577533
android.sensor.gyroscope,1523469156670,14844480972391,1.0668325,0.55876714,1.2678071
android.sensor.gyroscope,1523469156690,14844500963016,0.67057294,-0.2928837,0.1513375
android.sensor.gyroscope,1523469156710,14844520953641,-0.0070860367,-1.1333644,-1.373068
android.sensor.gyroscope,1523469156730,14844540977079,-1.5639721,-1.8407638,-3.2084038
android.sensor.gyroscope,1523469156750,14844560967704,-3.2662091,-2.4317324,-4.184148
android.sensor.gyroscope,1523469156770,14844580958329,1.2001756,4.9365416,3.1304052
android.sensor.gyroscope,1523469156790,14844600980204,1.2680864,3.054588,3.0330505
android.sensor.gyroscope,1523469156810,14844620970829,1.2140859,1.6474162,2.5042682
android.sensor.gyroscope,1523469156830,14844640963016,1.0984578,0.83147484,1.9062136
android.sensor.gyroscope,1523469156850,14844660953641,0.9187413,0.4815887,1.3406223
android.sensor.gyroscope,1523469156870,14844680975516,0.6683913,0.29969049,0.67631507
android.sensor.gyroscope,1523469156890,14844700966141,0.52113783,-0.23451988,-0.10716321
android.sensor.gyroscope,1523469156910,14844720958329,0.52277845,-0.7483099,-0.7248527
android.sensor.gyroscope,1523469156930,14844740980204,-0.5966757,-0.4284085,-2.15056
android.sensor.gyroscope,1523469156950,14844760970829,-1.7425891,1.0210176,-2.4159021
android.sensor.gyroscope,1523469156970,14844780961454,0.7496713,4.7606473,2.8726897
android.sensor.gyroscope,1523469156990,14844800952079,0.63294363,2.5241823,2.3575559
android.sensor.gyroscope,1523469157010,14844820973954,0.7180284,1.0777408,1.9929391
android.sensor.gyroscope,1523469157030,14844840964579,0.7431263,0.354232,1.5320674
android.sensor.gyroscope,1523469157050,14844860956766,0.6847625,0.12761848,1.0867293
android.sensor.gyroscope,1523469157070,14844880978641,0.59149206,0.09271189,0.61522853
android.sensor.gyroscope,1523469157090,14844900969266,0.5012236,-0.009808751,0.0567232
android.sensor.gyroscope,1523469157110,14844920959891,0.4265061,0.027541295,-0.2656042
android.sensor.gyroscope,1523469157130,14844940950516,0.06435029,0.6689498,-0.8961044
android.sensor.gyroscope,1523469157150,14844960973954,-0.15625933,2.4516292,-0.56423
android.sensor.gyroscope,1523469157170,14844980964579,0.26506317,3.6190972,1.4158983
android.sensor.gyroscope,1523469157190,14845000955204,0.2713289,1.9422199,1.4587113
android.sensor.gyroscope,1523469157210,14845020977079,0.4540474,0.33623767,1.339802
android.sensor.gyroscope,1523469157230,14845040969266,0.6062227,-0.35397023,1.1524583
android.sensor.gyroscope,1523469157250,14845060959891,0.6664889,-0.4796863,0.8077558
android.sensor.gyroscope,1523469157270,14845080950516,0.67221355,-0.41587704,0.3779685
android.sensor.gyroscope,1523469157290,14845100972391,0.6632251,-0.40304887,-0.16088445
android.sensor.gyroscope,1523469157310,14845120963016,0.61467004,-0.3855956,-0.78948224
android.sensor.gyroscope,1523469157330,14845140955204,0.24216443,0.0010821042,-1.9863942
android.sensor.gyroscope,1523469157350,14845160977079,-0.48813367,1.1374485,-3.1966753
android.sensor.gyroscope,1523469157370,14845180967704,0.5819451,6.0756483,2.4849124
android.sensor.gyroscope,1523469157390,14845200958329,0.20071286,2.6368086,1.4794283
android.sensor.gyroscope,1523469157410,14845220980204,0.4483227,0.019634955,1.3340774
android.sensor.gyroscope,1523469157430,14845240972391,0.69975483,-0.91273737,1.2397249
android.sensor.gyroscope,1523469157450,14845260963016,0.8017519,-1.0605493,0.9484643
android.sensor.gyroscope,1523469157470,14845280953641,0.8194844,-0.9192824,0.51487213
android.sensor.gyroscope,1523469157490,14845300975516,0.8410218,-0.85819584,-0.1595231
android.sensor.gyroscope,1523469157510,14845320966141,0.83637923,-1.019377,-1.0433753
android.sensor.gyroscope,1523469157530,14845340956766,0.6032207,-1.3867165,-2.5416358
android.sensor.gyroscope,1523469157550,14845360980204,-0.4916767,-3.7194538,-5.55369
android.sensor.gyroscope,1523469157570,14845380970829,0.14861478,4.142155,-0.4540474
android.sensor.gyroscope,1523469157590,14845400961454,0.25143212,2.0722992,1.1840837
android.sensor.gyroscope,1523469157610,14845420952079,0.57595867,0.28715903,1.8437659
android.sensor.gyroscope,1523469157630,14845440975516,0.7853982,-0.41205478,1.9045905
android.sensor.gyroscope,1523469157650,14845460966141,0.8650201,-0.61086524,1.6457757
android.sensor.gyroscope,1523469157670,14845480956766,0.8742878,-0.5857674,1.2620825
android.sensor.gyroscope,1523469157690,14845500978641,0.8786511,-0.6092246,0.6274982
android.sensor.gyroscope,1523469157710,14845520969266,0.91655964,-0.97220075,-0.33297393
android.sensor.gyroscope,1523469157730,14845540961454,0.8042128,-1.2754517,-1.2800769
android.sensor.gyroscope,1523469157750,14845560952079,0.22907446,-0.7668453,-2.4178221
android.sensor.gyroscope,1523469157770,14845580973954,0.029722957,2.1129305,-1.1862653
android.sensor.gyroscope,1523469157790,14845600964579,0.06544985,2.1156533,0.6708522
android.sensor.gyroscope,1523469157810,14845620955204,0.2508911,0.7605796,1.5293448
android.sensor.gyroscope,1523469157830,14845640978641,0.41942006,0.031346112,1.7327803
android.sensor.gyroscope,1523469157850,14845660969266,0.5053252,-0.26670375,1.5481594
android.sensor.gyroscope,1523469157870,14845680959891,0.53258723,-0.34414402,1.1911873
android.sensor.gyroscope,1523469157890,14845700950516,0.56967545,-0.47586402,0.62177354
android.sensor.gyroscope,1523469157910,14845720972391,0.6059434,-0.7742106,-0.07417649
android.sensor.gyroscope,1523469157930,14845740963016,0.5631305,-1.025922,-0.8175646
android.sensor.gyroscope,1523469157950,14845760955204,0.28878218,-0.6468539,-1.5233408
android.sensor.gyroscope,1523469157970,14845780977079,0.06925467,1.0649127,-1.0643716
android.sensor.gyroscope,1523469157990,14845800967704,0.04935791,1.6272403,0.41505674
android.sensor.gyroscope,1523469158010,14845820958329,0.11234684,0.8966629,1.2435471
android.sensor.gyroscope,1523469158030,14845840980204,0.2263343,0.27787387,1.4047108
android.sensor.gyroscope,1523469158050,14845860972391,0.3005108,-0.0032637657,1.1587241
android.sensor.gyroscope,1523469158070,14845880963016,0.33023375,-0.119991384,0.7485717
android.sensor.gyroscope,1523469158090,14845900953641,0.33541736,-0.25579545,0.07744026
android.sensor.gyroscope,1523469158110,14845920975516,0.3147003,-0.69403017,-0.7818377
android.sensor.gyroscope,1523469158130,14845940966141,0.17453292,-1.292905,-1.745591
android.sensor.gyroscope,1523469158150,14845960958329,-0.08698721,-1.1112686,-2.3171864
android.sensor.gyroscope,1523469158170,14845980980204,-0.006544985,1.4398966,-1.0769205
android.sensor.gyroscope,1523469158190,14846000970829,-0.0027227136,2.0022068,0.70139545
android.sensor.gyroscope,1523469158210,14846020961454,0.040893063,1.1557221,1.289362
android.sensor.gyroscope,1523469158230,14846040953641,0.13362241,0.51923543,1.3468881
android.sensor.gyroscope,1523469158250,14846060975516,0.20998056,0.1328021,1.1276398
android.sensor.gyroscope,1523469158270,14846080966141,0.26152015,-0.18216002,0.69595003
android.sensor.gyroscope,1523469158290,14846100956766,0.26124087,-0.50694835,-0.13852678
android.sensor.gyroscope,1523469158310,14846120978641,0.07007497,-1.0076483,-1.5517024
android.sensor.gyroscope,1523469158330,14846140969266,-0.46687558,-1.8268536,-3.0734026
android.sensor.gyroscope,1523469158350,14846160961454,-0.40715042,0.19634955,-2.7652473
android.sensor.gyroscope,1523469158370,14846180952079,0.10498156,3.0226834,-0.032986723
android.sensor.gyroscope,1523469158390,14846200973954,-0.032986723,2.4240878,1.0908308
android.sensor.gyroscope,1523469158410,14846220964579,-0.08480555,1.7076825,1.4655181
android.sensor.gyroscope,1523469158430,14846240956766,-0.07990117,1.1489153,1.5497825
android.sensor.gyroscope,1523469158450,14846260978641,-0.046076693,0.8535707,1.343345
android.sensor.gyroscope,1523469158470,14846280969266,0.006806784,0.90483105,0.8991064
android.sensor.gyroscope,1523469158490,14846300959891,0.102538094,1.5863297,0.29670596
android.sensor.gyroscope,1523469158510,14846320950516,0.22769566,2.5912554,0.24406683
android.sensor.gyroscope,1523469158530,14846340972391,0.1420698,2.7827005,0.5394115
android.sensor.gyroscope,1523469158550,14846360963016,-0.0155334305,2.4636369,0.6615845
android.sensor.gyroscope,1523469158570,14846380955204,-0.36215582,2.7237957,1.4385178
android.sensor.gyroscope,1523469158590,14846400977079,-0.59613466,2.5173583,1.6572425
android.sensor.gyroscope,1523469158610,14846420967704,-0.7409446,1.8148632,1.4824303
android.sensor.gyroscope,1523469158630,14846440958329,-0.7815759,1.1112686,1.1268195
android.sensor.gyroscope,1523469158650,14846460981766,-0.77257,0.8592954,0.877569
android.sensor.gyroscope,1523469158670,14846480972391,-0.6201329,1.4213438,0.8402015
android.sensor.gyroscope,1523469158690,14846500963016,-0.4832293,2.9569542,1.6820611
android.sensor.gyroscope,1523469158710,14846520953641,-0.6476742,3.4753869,2.2383847
android.sensor.gyroscope,1523469158731,14846540975516,-0.8527504,3.1154127,2.1772983
android.sensor.gyroscope,1523469158750,14846560967704,-0.9465619,2.5312684,1.8459475
android.sensor.gyroscope,1523469158770,14846580958329,-1.0005623,1.7766753,1.3169032
android.sensor.gyroscope,1523469158790,14846600980204,-1.0583676,0.9994628,0.7229328
