Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523388873180,2754870072281223,0.7278373,6.655881,7.240066
android.sensor.accelerometer,1523388873197,2754870092271848,0.59376204,6.579266,7.067683
android.sensor.accelerometer,1523388873217,2754870112262473,0.48841715,6.6079965,6.6846113
android.sensor.accelerometer,1523388873237,2754870132284348,0.51714754,6.5984197,6.9527617
android.sensor.accelerometer,1523388873257,2754870152276535,0.41180268,6.6271505,7.0485296
android.sensor.accelerometer,1523388873277,2754870172267160,0.46926352,6.6271505,7.029376
android.sensor.accelerometer,1523388873297,2754870192257785,0.641646,6.646304,7.0485296
android.sensor.accelerometer,1523388873317,2754870212279660,0.5746084,6.6367273,7.240066
android.sensor.accelerometer,1523388873337,2754870232270285,0.5363012,6.6654577,7.345411
android.sensor.accelerometer,1523388873357,2754870252262473,0.4309563,6.7324953,7.4507556
android.sensor.accelerometer,1523388873377,2754870272284348,0.31603462,6.7133417,7.4986396
android.sensor.accelerometer,1523388873397,2754870292274973,0.34476504,6.7229185,7.4124484
android.sensor.accelerometer,1523388873417,2754870312265598,0.37349546,6.7803793,6.981492
android.sensor.accelerometer,1523388873437,2754870332256223,0.40222588,6.799533,6.742072
android.sensor.accelerometer,1523388873457,2754870352279660,0.5363012,6.8282633,6.991069
android.sensor.accelerometer,1523388873477,2754870372270285,0.46926352,6.799533,7.1155677
android.sensor.accelerometer,1523388873497,2754870392260910,0.30645782,6.7803793,7.038953
android.sensor.accelerometer,1523388873517,2754870412282785,0.095768064,6.789956,6.751649
android.sensor.accelerometer,1523388873537,2754870432274973,-0.16280572,6.7133417,6.5505357
android.sensor.accelerometer,1523388873557,2754870452265598,-0.36391866,6.751649,6.2345014
android.sensor.accelerometer,1523388873577,2754870472256223,-0.37349546,6.799533,6.4068837
android.sensor.accelerometer,1523388873597,2754870492278098,-0.2777274,6.8091097,6.349423
android.sensor.accelerometer,1523388873617,2754870512268723,0.17238252,6.83784,5.947197
android.sensor.accelerometer,1523388873637,2754870532259348,0.93852705,6.895301,5.391742
android.sensor.accelerometer,1523388873657,2754870552282785,1.5131354,7.326257,5.6215854
android.sensor.accelerometer,1523388873677,2754870572273410,2.2218192,8.293514,6.5026517
android.sensor.accelerometer,1523388873697,2754870592264035,2.2218192,8.925584,7.489063
android.sensor.accelerometer,1523388873717,2754870612254660,1.8291701,8.916007,8.063671
android.sensor.accelerometer,1523388873737,2754870632276535,0.8714894,8.121132,7.881712
android.sensor.accelerometer,1523388873757,2754870652267160,0.08619126,6.6079965,7.1826053
android.sensor.accelerometer,1523388873777,2754870672259348,1.3790601,5.6407394,4.280833
android.sensor.accelerometer,1523388873797,2754870692281223,2.2984335,4.711789,1.3982137
android.sensor.accelerometer,1523388873817,2754870712271848,2.2601264,3.8594532,-0.50757074
android.sensor.accelerometer,1523388873837,2754870732262473,1.388637,2.7581203,-1.5035586
android.sensor.accelerometer,1523388873857,2754870752254660,0.6799533,1.8483237,-1.6567876
android.sensor.accelerometer,1523388873877,2754870772276535,0.076614454,1.2737153,-0.6607997
android.sensor.accelerometer,1523388873897,2754870792267160,0.10534488,0.8523358,-0.1340753
android.sensor.accelerometer,1523388873917,2754870812257785,1.1013328,0.20111294,-0.90979666
