Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523388843720,2754840612259348,0.038990654,0.050981067,0.023439772
android.sensor.gyroscope,1523388843737,2754840632281223,0.037088245,0.055902895,0.03981096
android.sensor.gyroscope,1523388843757,2754840652273410,0.035168383,0.06544985,0.06080727
android.sensor.gyroscope,1523388843777,2754840672264035,0.03817035,0.08452629,0.09135053
android.sensor.gyroscope,1523388843797,2754840692254660,0.044174284,0.11753047,0.13934709
android.sensor.gyroscope,1523388843817,2754840712276535,0.04117232,0.11616912,0.14725342
android.sensor.gyroscope,1523388843837,2754840732267160,0.043895032,0.1237962,0.14507176
android.sensor.gyroscope,1523388843857,2754840752259348,0.042533673,0.11588986,0.13580407
android.sensor.gyroscope,1523388843877,2754840772281223,0.04907866,0.13170254,0.15379842
android.sensor.gyroscope,1523388843897,2754840792271848,0.06571165,0.15788248,0.18352138
android.sensor.gyroscope,1523388843918,2754840812262473,0.0853466,0.19116591,0.22088887
android.sensor.gyroscope,1523388843938,2754840832285910,0.09953613,0.22006856,0.2527935
android.sensor.gyroscope,1523388843958,2754840852276535,0.09761626,0.2187072,0.25115287
android.sensor.gyroscope,1523388843978,2754840872267160,0.08726646,0.20751965,0.22851595
android.sensor.gyroscope,1523388843997,2754840892257785,0.06843436,0.1611637,0.15816173
android.sensor.gyroscope,1523388844018,2754840912281223,0.051539574,0.12980014,0.10608111
android.sensor.gyroscope,1523388844038,2754840932271848,0.029722957,0.08806931,0.060528018
android.sensor.gyroscope,1523388844058,2754840952262473,0.021537364,0.082623884,0.044174284
android.sensor.gyroscope,1523388844078,2754840972284348,0.0,0.0,0.0
android.sensor.gyroscope,1523388844098,2754840992274973,-0.049619712,-0.0021816615,0.026441738
android.sensor.gyroscope,1523388844118,2754841012265598,-0.1044405,-0.09025098,-0.028082348
android.sensor.gyroscope,1523388844138,2754841032257785,-0.19170697,-0.2061583,-0.06544985
android.sensor.gyroscope,1523388844158,2754841052279660,-0.25905922,-0.29096383,0.006544985
android.sensor.gyroscope,1523388844178,2754841072270285,-0.3196047,-0.36295867,0.2187072
android.sensor.gyroscope,1523388844198,2754841092260910,-0.44341835,-0.48759264,0.5958554
android.sensor.gyroscope,1523388844218,2754841112282785,-1.9340342,-4.8891034,-5.1634345
android.sensor.gyroscope,1523388844238,2754841132273410,-3.4382987,-6.974772,-10.151533
android.sensor.gyroscope,1523388844258,2754841152264035,-4.0786076,-5.814128,-9.367776
android.sensor.gyroscope,1523388844278,2754841172256223,-4.818732,-4.903555,-8.623288
android.sensor.gyroscope,1523388844298,2754841192279660,-5.6210423,-4.1546865,-7.762614
android.sensor.gyroscope,1523388844318,2754841212268723,-6.051929,-3.4096577,-6.5785127
android.sensor.gyroscope,1523388844338,2754841232259348,-6.079191,-2.8222497,-5.5307736
android.sensor.gyroscope,1523388844358,2754841252282785,-5.7044864,-2.3739095,-4.5577526
android.sensor.gyroscope,1523388844378,2754841272273410,-5.392247,-2.1677513,-3.829898
android.sensor.gyroscope,1523388844398,2754841292264035,-5.132891,-2.0690181,-3.317487
android.sensor.gyroscope,1523388844418,2754841312254660,-4.719475,-1.9255868,-2.7502549
android.sensor.gyroscope,1523388844438,2754841332276535,-4.326776,-1.8309551,-2.178101
android.sensor.gyroscope,1523388844458,2754841352268723,-3.8904436,-1.7682279,-1.6111484
android.sensor.gyroscope,1523388844478,2754841372259348,-3.4543731,-1.7311397,-1.1131885
android.sensor.gyroscope,1523388844498,2754841392281223,-2.9904995,-1.7526771,-0.719128
android.sensor.gyroscope,1523388844518,2754841412271848,-2.4306328,-1.8511311,-0.33487633
android.sensor.gyroscope,1523388844538,2754841432262473,-1.8205879,-2.000025,0.048537605
android.sensor.gyroscope,1523388844558,2754841452254660,-1.2189903,-2.1999178,0.39214057
android.sensor.gyroscope,1523388844578,2754841472276535,-0.584406,-2.4775472,0.72157145
android.sensor.gyroscope,1523388844598,2754841492267160,0.16824974,-2.8443282,1.0900105
android.sensor.gyroscope,1523388844618,2754841512257785,1.0381917,-3.2351248,1.5167959
android.sensor.gyroscope,1523388844638,2754841532281223,1.9604934,-3.568378,1.9765854
android.sensor.gyroscope,1523388844658,2754841552271848,2.7516162,-3.7448134,2.3720071
android.sensor.gyroscope,1523388844678,2754841572262473,3.210027,-3.72736,2.5825288
android.sensor.gyroscope,1523388844698,2754841592284348,3.4246502,-3.648,2.645797
android.sensor.gyroscope,1523388844718,2754841612274973,3.4821937,-3.4925609,2.6032634
android.sensor.gyroscope,1523388844738,2754841632265598,3.4726467,-3.2743948,2.5514445
android.sensor.gyroscope,1523388844758,2754841652257785,3.3755715,-3.0095935,2.5007253
android.sensor.gyroscope,1523388844778,2754841672279660,3.1988568,-2.7469738,2.4478242
android.sensor.gyroscope,1523388844798,2754841692270285,2.9752278,-2.5563488,2.3709075
android.sensor.gyroscope,1523388844818,2754841712260910,2.7308817,-2.4565508,2.2509162
android.sensor.gyroscope,1523388844838,2754841732282785,2.4903579,-2.3635423,2.1666517
android.sensor.gyroscope,1523388844858,2754841752274973,2.2730122,-2.1933727,2.1380284
android.sensor.gyroscope,1523388844878,2754841772265598,2.00575,-2.0414767,2.1156533
android.sensor.gyroscope,1523388844898,2754841792256223,1.725415,-1.9673002,2.0439377
android.sensor.gyroscope,1523388844918,2754841812278098,1.5007039,-1.9449426,1.9285889
android.sensor.gyroscope,1523388844938,2754841832268723,1.3365382,-1.9152195,1.8254923
android.sensor.gyroscope,1523388844958,2754841852260910,1.2097226,-1.8364005,1.7366025
android.sensor.gyroscope,1523388844978,2754841872282785,1.085909,-1.7275968,1.6558812
android.sensor.gyroscope,1523388844998,2754841892273410,0.9506459,-1.6531409,1.5675151
android.sensor.gyroscope,1523388845018,2754841912264035,0.8748463,-1.580064,1.4636157
android.sensor.gyroscope,1523388845038,2754841932256223,0.7567573,-1.4254278,1.3409015
android.sensor.gyroscope,1523388845058,2754841952278098,0.617131,-1.214627,1.2394456
android.sensor.gyroscope,1523388845078,2754841972268723,0.4695983,-0.9871931,1.144552
android.sensor.gyroscope,1523388845098,2754841992259348,0.23424064,-0.7439466,1.0035644
android.sensor.gyroscope,1523388845118,2754842012281223,-0.023439772,-0.5527632,0.8620181
android.sensor.gyroscope,1523388845138,2754842032273410,-0.34932765,-0.28660053,0.6874852
android.sensor.gyroscope,1523388845158,2754842052264035,-0.74803066,0.17751744,0.46713737
android.sensor.gyroscope,1523388845178,2754842072254660,-1.4947,1.2629027,0.034906585
android.sensor.gyroscope,1523388845198,2754842092276535,-2.9414208,3.466381,-0.8254709
android.sensor.gyroscope,1523388845218,2754842112267160,-4.5866556,6.0835547,-1.8287734
android.sensor.gyroscope,1523388845238,2754842132257785,-5.203263,7.1981044,-2.2181914
android.sensor.gyroscope,1523388845258,2754842152281223,-5.211431,7.349459,-2.259922
android.sensor.gyroscope,1523388845278,2754842172271848,-4.9373617,7.020587,-2.1475577
android.sensor.gyroscope,1523388845298,2754842192262473,-4.577388,6.549889,-1.9951208
android.sensor.gyroscope,1523388845317,2754842212284348,-4.22532,6.0137415,-1.8104998
android.sensor.gyroscope,1523388845338,2754842232274973,-3.917985,5.4489703,-1.596697
android.sensor.gyroscope,1523388845358,2754842252267160,-3.615275,4.901914,-1.4131582
android.sensor.gyroscope,1523388845378,2754842272257785,-3.2373066,4.3807764,-1.2811763
android.sensor.gyroscope,1523388845398,2754842292279660,-2.8525138,3.947987,-1.1614468
android.sensor.gyroscope,1523388845418,2754842312270285,-2.5220008,3.5116549,-1.0447366
android.sensor.gyroscope,1523388845438,2754842332260910,-2.279016,3.0420392,-0.9468411
android.sensor.gyroscope,1523388845458,2754842352284348,-2.1088464,2.5413566,-0.82657045
android.sensor.gyroscope,1523388845478,2754842372274973,-1.9373155,2.1025631,-0.7240324
android.sensor.gyroscope,1523388845498,2754842392265598,-1.8748502,1.6531409,-0.49467868
android.sensor.gyroscope,1523388845518,2754842412256223,-1.883315,1.1088251,-0.24897122
android.sensor.gyroscope,1523388845538,2754842432278098,-1.8462267,-0.015271631,-0.1412495
android.sensor.gyroscope,1523388845558,2754842452270285,-1.4229844,-2.8334198,-0.7294778
android.sensor.gyroscope,1523388845578,2754842472260910,-0.92474526,-5.6736813,-3.4442852
android.sensor.gyroscope,1523388845598,2754842492282785,-2.9692414,-4.93518,-8.194321
android.sensor.gyroscope,1523388845618,2754842512273410,-5.4664235,-3.4802911,-9.764297
android.sensor.gyroscope,1523388845638,2754842532264035,-6.2910914,-3.3561983,-9.04571
android.sensor.gyroscope,1523388845658,2754842552256223,-5.91911,-3.1492198,-8.125049
android.sensor.gyroscope,1523388845678,2754842572278098,-5.29025,-2.8287947,-7.2924743
android.sensor.gyroscope,1523388845698,2754842592268723,-4.871912,-2.5241823,-6.556975
