Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523388977758,2754974652282785,0.0,0.0,0.0
android.sensor.gyroscope,1523388977777,2754974672273410,0.0,0.0,0.0
android.sensor.gyroscope,1523388977797,2754974692264035,0.0,0.0,0.0
android.sensor.gyroscope,1523388977817,2754974712256223,-0.026441738,-0.013892821,0.025900686
android.sensor.gyroscope,1523388977837,2754974732278098,0.0,0.0,0.0
android.sensor.gyroscope,1523388977857,2754974752268723,0.0,0.0,0.0
android.sensor.gyroscope,1523388977877,2754974772259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388977897,2754974792281223,0.0,0.0,0.0
android.sensor.gyroscope,1523388977917,2754974812273410,0.0,0.0,0.0
android.sensor.gyroscope,1523388977937,2754974832264035,0.0,0.0,0.0
android.sensor.gyroscope,1523388977957,2754974852254660,0.0,0.0,0.0
android.sensor.gyroscope,1523388977977,2754974872276535,0.0,0.0,0.0
android.sensor.gyroscope,1523388977997,2754974892267160,0.0,0.0,0.0
android.sensor.gyroscope,1523388978017,2754974912257785,0.0,0.0,0.0
android.sensor.gyroscope,1523388978037,2754974932281223,-0.012810716,-0.002984513,0.05454154
android.sensor.gyroscope,1523388978057,2754974952271848,-0.008988446,-0.0016231562,0.05534439
android.sensor.gyroscope,1523388978077,2754974972262473,-0.0070860367,-8.0285146E-4,0.055623643
android.sensor.gyroscope,1523388978097,2754974992284348,-0.008726646,-8.0285146E-4,0.06789331
android.sensor.gyroscope,1523388978117,2754975012274973,-0.0070860367,0.0,0.06817256
android.sensor.gyroscope,1523388978137,2754975032267160,-0.007347836,0.0,0.06789331
android.sensor.gyroscope,1523388978157,2754975052257785,-0.0046251225,0.0,0.03926991
android.sensor.gyroscope,1523388978177,2754975072279660,-0.008726646,-2.6179937E-4,0.06789331
android.sensor.gyroscope,1523388978197,2754975092270285,-0.0054454273,2.6179937E-4,0.03926991
android.sensor.gyroscope,1523388978217,2754975112260910,-0.00572468,2.6179937E-4,0.03926991
android.sensor.gyroscope,1523388978237,2754975132284348,0.0,0.0,0.0
android.sensor.gyroscope,1523388978257,2754975152274973,-0.016353736,5.410521E-4,0.06653195
android.sensor.gyroscope,1523388978277,2754975172265598,-0.013631022,5.410521E-4,0.05454154
android.sensor.gyroscope,1523388978297,2754975192256223,-0.010349803,5.410521E-4,0.05508259
android.sensor.gyroscope,1523388978317,2754975212279660,-0.010629055,8.0285146E-4,0.05508259
android.sensor.gyroscope,1523388978337,2754975232270285,-0.01144936,5.410521E-4,0.05508259
android.sensor.gyroscope,1523388978357,2754975252260910,-0.008447394,5.410521E-4,0.038711403
android.sensor.gyroscope,1523388978377,2754975272282785,-0.008988446,5.410521E-4,0.038449604
android.sensor.gyroscope,1523388978397,2754975292273410,-0.009267698,8.0285146E-4,0.038449604
android.sensor.gyroscope,1523388978417,2754975312265598,-0.0095294975,8.0285146E-4,0.038449604
android.sensor.gyroscope,1523388978437,2754975332256223,-0.010088003,8.0285146E-4,0.03817035
android.sensor.gyroscope,1523388978457,2754975352278098,0.0,0.0,0.0
android.sensor.gyroscope,1523388978477,2754975372268723,0.0,0.0,0.0
android.sensor.gyroscope,1523388978497,2754975392259348,-0.002984513,-0.0010821042,-0.056164697
android.sensor.gyroscope,1523388978517,2754975412282785,-0.0035430184,-0.0013613568,-0.056164697
android.sensor.gyroscope,1523388978537,2754975432273410,-0.0035430184,-0.0013613568,-0.06843436
