Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523343211574,2709208469422890,0.6512229,2.7485435,9.557653
android.sensor.accelerometer,1523343211594,2709208489413515,0.48841715,2.7389667,9.672575
android.sensor.accelerometer,1523343211614,2709208509435390,0.49799395,2.72939,9.528923
android.sensor.accelerometer,1523343211634,2709208529427577,0.6895301,2.7389667,9.337387
android.sensor.accelerometer,1523343211654,2709208549416640,0.7469909,2.7581203,9.385271
android.sensor.accelerometer,1523343211674,2709208569408827,0.63206923,2.6719291,9.548077
android.sensor.accelerometer,1523343211694,2709208589430702,0.5267244,2.6431987,9.643845
android.sensor.accelerometer,1523343211714,2709208609421327,0.641646,2.6527755,9.56723
android.sensor.accelerometer,1523343211734,2709208629411952,0.7278373,2.7006595,9.394848
android.sensor.accelerometer,1523343211754,2709208649435390,0.58418524,2.7581203,9.404425
android.sensor.accelerometer,1523343211774,2709208669426015,0.5267244,2.7485435,9.490616
android.sensor.accelerometer,1523343211794,2709208689416640,0.60333884,2.7389667,9.691729
android.sensor.accelerometer,1523343211814,2709208709438515,0.7086837,2.7389667,9.557653
android.sensor.accelerometer,1523343211834,2709208729429140,0.7565677,2.8060043,9.548077
android.sensor.accelerometer,1523343211854,2709208749419765,0.6703765,2.930503,9.461885
android.sensor.accelerometer,1523343211874,2709208769411952,0.58418524,3.2273839,9.308656
android.sensor.accelerometer,1523343211894,2709208789433827,0.2777274,3.6583402,9.279925
android.sensor.accelerometer,1523343211914,2709208809424452,-0.7374141,4.060566,9.519346
android.sensor.accelerometer,1523343211934,2709208829415077,-2.4708161,4.280833,10.237606
android.sensor.accelerometer,1523343211954,2709208849438515,-4.2521024,4.2999864,11.425131
android.sensor.accelerometer,1523343211974,2709208869429140,-5.8801594,3.6487634,12.152967
android.sensor.accelerometer,1523343211994,2709208889419765,-7.929596,2.4612393,12.727576
android.sensor.accelerometer,1523343212014,2709208909410390,-10.70687,0.82360536,12.957419
android.sensor.accelerometer,1523343212034,2709208929433827,-13.934254,-1.13964,13.541605
android.sensor.accelerometer,1523343212054,2709208949422890,-16.864758,-4.050989,14.5567465
android.sensor.accelerometer,1523343212074,2709208969415077,-17.51598,-6.0716953,13.982138
android.sensor.accelerometer,1523343212094,2709208989436952,-16.567875,-8.781932,14.106636
android.sensor.accelerometer,1523343212114,2709209009427577,-12.210428,-12.200851,14.144943
android.sensor.accelerometer,1523343212134,2709209029418202,-3.3039982,-15.428236,13.034034
android.sensor.accelerometer,1523343212154,2709209049410390,5.93762,-16.395493,12.564771
android.sensor.accelerometer,1523343212174,2709209069432265,12.785037,-16.395493,11.377247
android.sensor.accelerometer,1523343212194,2709209089422890,15.50485,-15.131354,9.595961
android.sensor.accelerometer,1523343212214,2709209109413515,18.253393,-14.068329,6.4739213
android.sensor.accelerometer,1523343212234,2709209129435390,19.661184,-12.698846,3.9743748
android.sensor.accelerometer,1523343212254,2709209149427577,20.896593,-11.549629,3.016694
android.sensor.accelerometer,1523343212274,2709209169418202,22.151154,-10.67814,1.6089035
android.sensor.accelerometer,1523343212294,2709209189408827,22.132,-10.036493,1.388637
android.sensor.accelerometer,1523343212314,2709209209430702,21.83512,-9.270349,1.8291701
android.sensor.accelerometer,1523343212334,2709209229421327,19.029116,-6.6079965,-6.349423
android.sensor.accelerometer,1523343212354,2709209249413515,15.533581,-5.2863975,-9.136273
android.sensor.accelerometer,1523343212374,2709209269435390,13.934254,-5.592855,-5.707777
android.sensor.accelerometer,1523343212394,2709209289426015,13.790602,-7.5082164,-3.064578
android.sensor.accelerometer,1523343212414,2709209309416640,14.566323,-10.228029,-3.3901896
android.sensor.accelerometer,1523343212434,2709209329408827,16.347609,-12.497733,-4.3861775
android.sensor.accelerometer,1523343212454,2709209349429140,19.919758,-13.359646,-5.985504
android.sensor.accelerometer,1523343212474,2709209369419765,23.21418,-14.250289,-6.042965
android.sensor.accelerometer,1523343212494,2709209389411952,25.359385,-14.5567465,-5.315128
android.sensor.accelerometer,1523343212514,2709209409433827,26.84379,-15.275007,-6.3589997
android.sensor.accelerometer,1523343212534,2709209429424452,27.456705,-18.272547,-4.0701427
android.sensor.accelerometer,1523343212554,2709209449416640,27.973852,-21.576546,2.633622
android.sensor.accelerometer,1523343212574,2709209469438515,29.84133,-24.363396,8.437167
android.sensor.accelerometer,1523343212594,2709209489429140,33.930626,-26.776752,10.28549
android.sensor.accelerometer,1523343212614,2709209509419765,34.93619,-39.542637,22.505495
android.sensor.accelerometer,1523343212634,2709209529410390,24.995466,-44.32146,37.023933
android.sensor.accelerometer,1523343212654,2709209549432265,20.705057,-42.16668,32.972946
android.sensor.accelerometer,1523343212674,2709209569424452,14.173674,-41.352654,32.647335
android.sensor.accelerometer,1523343212694,2709209589415077,2.0398598,-43.133938,32.02484
android.sensor.accelerometer,1523343212714,2709209609436952,-14.748282,-41.170692,30.425516
android.sensor.accelerometer,1523343212734,2709209629427577,-19.354727,-30.98097,36.870705
android.sensor.accelerometer,1523343212754,2709209649418202,-17.381905,-18.425776,43.57447
android.sensor.accelerometer,1523343212774,2709209669410390,-10.831368,-10.745177,32.283417
android.sensor.accelerometer,1523343212794,2709209689432265,-5.209783,-6.3589997,17.362751
android.sensor.accelerometer,1523343212814,2709209709422890,-2.1547816,-4.0222588,10.601525
android.sensor.accelerometer,1523343212834,2709209729413515,-2.183512,-0.24899697,11.693281
android.sensor.accelerometer,1523343212854,2709209749480702,-0.49799395,0.8714894,11.003751
android.sensor.accelerometer,1523343212874,2709209769427577,0.5746084,2.1930888,9.030929
android.sensor.accelerometer,1523343212894,2709209789418202,0.45968673,3.1507695,5.841852
android.sensor.accelerometer,1523343212914,2709209809408827,-0.16280572,3.9073372,4.453215
android.sensor.accelerometer,1523343212934,2709209829430702,-0.24899697,3.916914,5.1235914
android.sensor.accelerometer,1523343212954,2709209849421327,-0.095768064,3.964798,7.0006456
android.sensor.accelerometer,1523343212974,2709209869413515,0.62249243,3.763685,9.662998
android.sensor.accelerometer,1523343212994,2709209889435390,1.7142484,3.1028855,11.415554
android.sensor.accelerometer,1523343213014,2709209909426015,2.078167,3.2369606,11.616667
android.sensor.accelerometer,1523343213034,2709209929416640,2.6048915,3.1986535,9.825804
android.sensor.accelerometer,1523343213054,2709209949408827,3.2369606,3.2752678,8.580819
android.sensor.accelerometer,1523343213074,2709209969430702,3.7062242,3.5817258,8.456321
android.sensor.accelerometer,1523343213094,2709209989421327,4.156334,3.6966474,9.385271
android.sensor.accelerometer,1523343213114,2709210009411952,4.8937483,2.6527755,9.394848
android.sensor.accelerometer,1523343213134,2709210029433827,4.8362875,2.6719291,9.021352
android.sensor.accelerometer,1523343213154,2709210049424452,3.86903,3.016694,7.067683
android.sensor.accelerometer,1523343213174,2709210069416640,2.4133554,3.2369606,7.7667904
android.sensor.accelerometer,1523343213194,2709210089438515,1.3790601,3.4093432,8.858546
android.sensor.accelerometer,1523343213214,2709210109429140,1.4077905,3.9839516,8.829816
android.sensor.accelerometer,1523343213234,2709210129419765,2.2697031,4.596867,7.7667904
android.sensor.accelerometer,1523343213254,2709210149410390,3.3327289,5.2480903,7.776367
android.sensor.accelerometer,1523343213274,2709210169433827,4.4436383,5.209783,9.126697
android.sensor.accelerometer,1523343213294,2709210189424452,4.8267107,5.0182467,9.260772
android.sensor.accelerometer,1523343213314,2709210209415077,4.663905,5.2480903,9.730036
android.sensor.accelerometer,1523343213334,2709210229436952,4.4915223,5.3821654,9.595961
android.sensor.accelerometer,1523343213354,2709210249427577,4.7022123,5.161899,9.165004
android.sensor.accelerometer,1523343213374,2709210269418202,4.405331,5.094861,9.107543
android.sensor.accelerometer,1523343213394,2709210289410390,3.9743748,5.094861,9.509769
android.sensor.accelerometer,1523343213414,2709210309432265,3.6583402,4.9320555,9.461885
android.sensor.accelerometer,1523343213434,2709210329422890,3.3423057,4.999093,9.586384
android.sensor.accelerometer,1523343213454,2709210349413515,3.6104562,5.046977,9.452309
android.sensor.accelerometer,1523343213474,2709210369436952,3.9456444,4.8841715,8.944737
android.sensor.accelerometer,1523343213494,2709210389427577,4.1946416,5.0278234,8.149862
android.sensor.accelerometer,1523343213514,2709210409418202,4.012682,5.2002063,7.4507556
android.sensor.accelerometer,1523343213534,2709210429408827,3.3997664,5.2480903,7.699753
android.sensor.accelerometer,1523343213554,2709210449430702,2.9017725,4.8362875,7.97748
android.sensor.accelerometer,1523343213574,2709210469421327,2.2218192,4.6351743,8.42759
android.sensor.accelerometer,1523343213594,2709210489413515,2.2218192,4.596867,8.743625
android.sensor.accelerometer,1523343213614,2709210509435390,2.767697,4.2042184,8.829816
android.sensor.accelerometer,1523343213634,2709210529426015,2.4708161,4.6926355,9.605537
