Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523343211574,2709208469422890,-0.013892821,-0.032986723,-0.016894788
android.sensor.gyroscope,1523343211594,2709208489413515,-0.018256145,-0.044436082,-0.029164452
android.sensor.gyroscope,1523343211614,2709208509435390,-0.017174039,-0.04225442,-0.032724924
android.sensor.gyroscope,1523343211634,2709208529427577,-0.016894788,-0.041992623,-0.033265974
android.sensor.gyroscope,1523343211654,2709208549416640,-0.009808751,-0.030264009,-0.023177972
android.sensor.gyroscope,1523343211674,2709208569408827,-0.014172073,-0.04363323,-0.032724924
android.sensor.gyroscope,1523343211694,2709208589430702,0.0,0.0,0.0
android.sensor.gyroscope,1523343211714,2709208609421327,0.0,0.0,0.0
android.sensor.gyroscope,1523343211734,2709208629411952,0.0,0.0,0.0
android.sensor.gyroscope,1523343211754,2709208649435390,0.0,0.0,0.0
android.sensor.gyroscope,1523343211774,2709208669426015,-0.006544985,-0.022619467,0.031625368
android.sensor.gyroscope,1523343211794,2709208689416640,-0.0010821042,-0.0019024089,0.039531708
android.sensor.gyroscope,1523343211814,2709208709438515,-8.0285146E-4,5.410521E-4,0.056164697
android.sensor.gyroscope,1523343211835,2709208729429140,0.0,0.0,0.0
android.sensor.gyroscope,1523343211854,2709208749419765,-0.0016231562,-0.002984513,0.03926991
android.sensor.gyroscope,1523343211874,2709208769411952,0.0,0.0,0.0
android.sensor.gyroscope,1523343211894,2709208789433827,-8.0285146E-4,-0.0010821042,0.039531708
android.sensor.gyroscope,1523343211914,2709208809424452,0.0095294975,0.002443461,0.03817035
android.sensor.gyroscope,1523343211934,2709208829415077,0.024260076,0.0155334305,0.048258353
android.sensor.gyroscope,1523343211954,2709208849438515,0.05508259,0.02480113,0.074717544
android.sensor.gyroscope,1523343211974,2709208869429140,0.103340946,0.2508911,0.3447025
android.sensor.gyroscope,1523343211994,2709208889419765,0.10498156,0.57868135,0.68448323
android.sensor.gyroscope,1523343212014,2709208909410390,0.039531708,0.83201593,0.87320566
android.sensor.gyroscope,1523343212034,2709208929433827,-0.07579965,1.052102,0.9683785
android.sensor.gyroscope,1523343212054,2709208949422890,-0.25715682,1.2980887,1.005746
android.sensor.gyroscope,1523343212074,2709208969415077,-0.44586182,1.4927976,0.9615542
android.sensor.gyroscope,1523343212094,2709208989436952,-0.6490356,1.630504,0.8565727
android.sensor.gyroscope,1523343212114,2709209009427577,-0.8571137,1.6815026,0.6883055
android.sensor.gyroscope,1523343212134,2709209029418202,-1.0654536,1.599699,0.45432666
android.sensor.gyroscope,1523343212154,2709209049410390,-1.2419065,1.3679018,0.18842575
android.sensor.gyroscope,1523343212174,2709209069432265,-1.3978865,1.0313674,-0.08126253
android.sensor.gyroscope,1523343212194,2709209089422890,-1.5353312,0.6801199,-0.293704
android.sensor.gyroscope,1523343212214,2709209109413515,-1.6662309,0.34224162,-0.45540875
android.sensor.gyroscope,1523343212234,2709209129435390,-1.791947,0.012269665,-0.5557652
android.sensor.gyroscope,1523343212254,2709209149427577,-1.9168602,-0.31251866,-0.6086836
android.sensor.gyroscope,1523343212274,2709209169418202,-2.0202186,-0.64739496,-0.63294363
android.sensor.gyroscope,1523343212294,2709209189408827,-2.1183934,-0.9727418,-0.6220353
android.sensor.gyroscope,1523343212314,2709209209430702,-2.180021,-1.2566371,-0.6446723
android.sensor.gyroscope,1523343212334,2709209229421327,-2.2342832,-1.5086102,-0.6591236
android.sensor.gyroscope,1523343212354,2709209249413515,-2.3218288,-1.7085028,-0.6490356
android.sensor.gyroscope,1523343212374,2709209269435390,-2.3924625,-1.8584964,-0.6324026
android.sensor.gyroscope,1523343212394,2709209289426015,-2.4426405,-1.9700404,-0.62095326
android.sensor.gyroscope,1523343212414,2709209309416640,-2.503448,-2.0673947,-0.62613684
android.sensor.gyroscope,1523343212434,2709209329408827,-2.5939956,-2.1783803,-0.64549255
android.sensor.gyroscope,1523343212454,2709209349429140,-2.6853461,-2.3070984,-0.70629984
android.sensor.gyroscope,1523343212474,2709209369419765,-2.7529776,-2.4260077,-0.8301135
android.sensor.gyroscope,1523343212494,2709209389411952,-2.7687902,-2.5078113,-0.9749235
android.sensor.gyroscope,1523343212514,2709209409433827,-2.7453332,-2.5410771,-1.1429114
android.sensor.gyroscope,1523343212534,2709209429424452,-2.7199736,-2.5195398,-1.317165
android.sensor.gyroscope,1523343212554,2709209449416640,-2.6259003,-2.4298124,-1.411535
android.sensor.gyroscope,1523343212574,2709209469438515,-2.430912,-2.2929263,-1.4464417
android.sensor.gyroscope,1523343212594,2709209489429140,-2.2241952,-2.1320243,-1.4540687
android.sensor.gyroscope,1523343212614,2709209509419765,-2.0243027,-1.9517667,-1.4232461
