Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523388909297,2754906192282785,0.80445176,3.6966474,8.829816
android.sensor.accelerometer,1523388909317,2754906212274973,0.7182605,3.6966474,9.030929
android.sensor.accelerometer,1523388909337,2754906232265598,0.6703765,3.6008794,9.32781
android.sensor.accelerometer,1523388909357,2754906252256223,0.61291564,3.5625722,9.375694
android.sensor.accelerometer,1523388909377,2754906272278098,0.5554548,3.6774938,8.954314
android.sensor.accelerometer,1523388909397,2754906292268723,0.6703765,3.6487634,9.212888
android.sensor.accelerometer,1523388909417,2754906312260910,0.6991069,3.6008794,9.375694
android.sensor.accelerometer,1523388909437,2754906332282785,0.82360536,3.5913026,9.500193
android.sensor.accelerometer,1523388909457,2754906352273410,0.6799533,3.620033,9.193734
android.sensor.accelerometer,1523388909477,2754906372264035,0.6607997,3.6870706,9.078813
android.sensor.accelerometer,1523388909497,2754906392256223,0.5746084,3.6583402,9.011775
android.sensor.accelerometer,1523388909517,2754906412278098,0.6607997,3.667917,9.232041
android.sensor.accelerometer,1523388909537,2754906432268723,0.7182605,3.6296098,9.404425
android.sensor.accelerometer,1523388909557,2754906452259348,0.63206923,3.6296098,9.136273
android.sensor.accelerometer,1523388909577,2754906472281223,0.7469909,3.667917,9.107543
android.sensor.accelerometer,1523388909597,2754906492271848,0.79487497,3.715801,9.3661175
android.sensor.accelerometer,1523388909617,2754906512262473,0.7661445,3.7732618,9.892841
android.sensor.accelerometer,1523388909637,2754906532254660,0.9672575,3.9456444,10.70687
android.sensor.accelerometer,1523388909657,2754906552276535,0.92895025,4.31914,12.11466
android.sensor.accelerometer,1523388909677,2754906572267160,2.0685902,5.046977,13.656527
android.sensor.accelerometer,1523388909697,2754906592259348,2.7868507,5.391742,15.006856
android.sensor.accelerometer,1523388909717,2754906612279660,4.050989,5.9184666,14.642938
android.sensor.accelerometer,1523388909737,2754906632271848,4.271256,5.90889,14.4130945
android.sensor.accelerometer,1523388909757,2754906652262473,4.1371803,5.142745,15.820885
android.sensor.accelerometer,1523388909777,2754906672284348,4.501099,4.6926355,16.270994
android.sensor.accelerometer,1523388909797,2754906692274973,3.964798,4.55856,13.627796
android.sensor.accelerometer,1523388909817,2754906712265598,3.4859576,4.5394063,7.6710224
android.sensor.accelerometer,1523388909837,2754906732257785,4.5202527,4.9799395,2.528277
android.sensor.accelerometer,1523388909857,2754906752279660,5.755661,4.2042184,0.50757074
android.sensor.accelerometer,1523388909877,2754906772270285,3.667917,2.4899697,0.58418524
android.sensor.accelerometer,1523388909897,2754906792260910,-0.20111294,1.0151415,0.9959879
android.sensor.accelerometer,1523388909917,2754906812284348,-3.4955344,0.36391866,-1.934515
android.sensor.accelerometer,1523388909937,2754906832274973,-3.821146,0.33518824,-5.8801594
android.sensor.accelerometer,1523388909957,2754906852265598,-3.8498764,0.8810662,-9.14585
android.sensor.accelerometer,1523388909977,2754906872256223,-5.841852,0.5363012,-11.712435
android.sensor.accelerometer,1523388909997,2754906892278098,-9.260772,-0.18195933,-9.021352
android.sensor.accelerometer,1523388910017,2754906912268723,-10.505757,-0.78529817,-6.301539
android.sensor.accelerometer,1523388910037,2754906932260910,-10.199299,-1.5227122,-4.3766007
android.sensor.accelerometer,1523388910057,2754906952282785,-7.603985,-2.920926,-3.572149
android.sensor.accelerometer,1523388910077,2754906972273410,-4.185065,-4.596867,-2.777274
android.sensor.accelerometer,1523388910097,2754906992264035,-2.0590134,-6.8665705,-1.934515
android.sensor.accelerometer,1523388910117,2754907012256223,0.5267244,-9.088389,-0.5650316
android.sensor.accelerometer,1523388910137,2754907032278098,4.8745947,-10.601525,-0.2777274
android.sensor.accelerometer,1523388910157,2754907052268723,10.237606,-11.137826,-1.0630256
android.sensor.accelerometer,1523388910177,2754907072259348,15.112201,-12.133814,-1.13964
android.sensor.accelerometer,1523388910197,2754907092281223,22.285229,-13.493721,1.6759412
android.sensor.accelerometer,1523388910217,2754907112273410,28.931534,-13.618219,2.0494366
android.sensor.accelerometer,1523388910237,2754907132264035,33.930626,-11.951855,-3.7062242
