Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523388811740,2754808632256223,3.6774938,5.315128,7.374141
android.sensor.accelerometer,1523388811757,2754808652278098,3.7062242,5.3438582,7.2592196
android.sensor.accelerometer,1523388811777,2754808672268723,3.6774938,5.3342814,7.345411
android.sensor.accelerometer,1523388811797,2754808692259348,3.6966474,5.305551,7.489063
android.sensor.accelerometer,1523388811817,2754808712282785,3.7062242,5.3247046,7.374141
android.sensor.accelerometer,1523388811837,2754808732273410,3.7253778,5.305551,7.335834
android.sensor.accelerometer,1523388811857,2754808752264035,3.7253778,5.305551,7.383718
android.sensor.accelerometer,1523388811877,2754808772254660,3.7253778,5.2959743,7.479486
android.sensor.accelerometer,1523388811897,2754808792276535,3.86903,5.2863975,7.422025
android.sensor.accelerometer,1523388811917,2754808812267160,3.7924154,5.3342814,7.345411
android.sensor.accelerometer,1523388811937,2754808832259348,3.6391866,5.2768207,7.383718
android.sensor.accelerometer,1523388811957,2754808852281223,3.6487634,5.257667,7.517793
android.sensor.accelerometer,1523388811977,2754808872271848,3.8402996,5.257667,7.3645644
android.sensor.accelerometer,1523388811997,2754808892262473,3.715801,5.3342814,7.086837
android.sensor.accelerometer,1523388812017,2754808912254660,3.7541082,5.2480903,7.249643
android.sensor.accelerometer,1523388812037,2754808932276535,3.5817258,5.257667,7.144298
android.sensor.accelerometer,1523388812057,2754808952267160,3.4859576,5.00867,7.038953
android.sensor.accelerometer,1523388812077,2754808972257785,3.667917,4.5872903,6.129156
android.sensor.accelerometer,1523388812097,2754808992279660,4.367024,3.7924154,4.960786
android.sensor.accelerometer,1523388812117,2754809012271848,4.7979803,2.6623523,4.4436383
android.sensor.accelerometer,1523388812137,2754809032262473,5.7843914,1.1300632,4.271256
android.sensor.accelerometer,1523388812157,2754809052284348,6.6175733,-0.80445176,3.8115692
android.sensor.accelerometer,1523388812177,2754809072274973,7.565677,-2.078167,3.0550013
android.sensor.accelerometer,1523388812197,2754809092265598,8.542512,-2.2601264,1.6089035
android.sensor.accelerometer,1523388812217,2754809112257785,9.375694,-2.1068976,-0.076614454
android.sensor.accelerometer,1523388812237,2754809132279660,9.433155,-1.7046716,-1.7046716
android.sensor.accelerometer,1523388812257,2754809152270285,9.634268,-1.1683705,-0.61291564
android.sensor.accelerometer,1523388812277,2754809172260910,10.754754,0.91937345,1.5514427
android.sensor.accelerometer,1523388812297,2754809192282785,12.401965,1.8770541,0.94810385
android.sensor.accelerometer,1523388812317,2754809212274973,13.8959465,3.5625722,-1.532289
android.sensor.accelerometer,1523388812337,2754809232265598,15.227123,4.5777135,-1.9249382
android.sensor.accelerometer,1523388812357,2754809252256223,15.50485,5.1523223,3.5434184
android.sensor.accelerometer,1523388812377,2754809272278098,15.849615,4.7788267,8.561666
android.sensor.accelerometer,1523388812397,2754809292268723,15.428236,5.3247046,11.971008
android.sensor.accelerometer,1523388812417,2754809312259348,14.997279,6.157887,9.80665
android.sensor.accelerometer,1523388812437,2754809332282785,14.250289,6.8665705,8.034941
android.sensor.accelerometer,1523388812457,2754809352273410,14.30775,6.5218053,6.8569937
android.sensor.accelerometer,1523388812477,2754809372264035,12.325351,7.0102224,4.673482
android.sensor.accelerometer,1523388812497,2754809392254660,13.206416,6.2632318,0.6895301
android.sensor.accelerometer,1523388812517,2754809412278098,13.924677,4.8745947,-2.1547816
android.sensor.accelerometer,1523388812537,2754809432268723,12.861651,1.0055647,-2.4133554
android.sensor.accelerometer,1523388812557,2754809452259348,11.568783,-4.185065,5.9567738
android.sensor.accelerometer,1523388812577,2754809472281223,10.43872,-5.3342814,11.405977
android.sensor.accelerometer,1523388812597,2754809492271848,11.597513,-5.985504,6.4164605
android.sensor.accelerometer,1523388812617,2754809512262473,13.809755,-8.169016,1.484405
android.sensor.accelerometer,1523388812637,2754809532254660,13.88637,-11.358093,2.078167
android.sensor.accelerometer,1523388812657,2754809552276535,14.346057,-15.98369,6.540959
android.sensor.accelerometer,1523388812677,2754809572267160,17.286137,-22.304382,16.22311
android.sensor.accelerometer,1523388812697,2754809592257785,17.72667,-26.364948,20.465635
android.sensor.accelerometer,1523388812717,2754809612281223,13.742718,-31.37362,23.568521
android.sensor.accelerometer,1523388812737,2754809632271848,8.130709,-34.802116,31.421503
android.sensor.accelerometer,1523388812757,2754809652262473,5.8705826,-38.47961,41.14196
android.sensor.accelerometer,1523388812777,2754809672284348,11.645397,-45.23126,41.668686
android.sensor.accelerometer,1523388812797,2754809692274973,23.262064,-53.170433,29.822176
android.sensor.accelerometer,1523388812817,2754809712265598,33.729515,-59.701813,20.408175
android.sensor.accelerometer,1523388812837,2754809732257785,37.569813,-66.616264,15.47612
android.sensor.accelerometer,1523388812857,2754809752279660,35.941757,-76.4708,11.386824
android.sensor.accelerometer,1523388812877,2754809772270285,50.517654,-78.596855,-6.588843
android.sensor.accelerometer,1523388812897,2754809792260910,65.18932,-78.63516,-9.720459
android.sensor.accelerometer,1523388812917,2754809812282785,63.647457,-78.65431,10.132261
android.sensor.accelerometer,1523388812937,2754809832274973,61.396908,-78.663895,1.2162545
android.sensor.accelerometer,1523388812957,2754809852265598,67.114265,-78.663895,-50.460194
android.sensor.accelerometer,1523388812977,2754809872256223,38.134846,-22.965183,-77.7541
android.sensor.accelerometer,1523388812997,2754809892278098,4.357447,-30.645782,-39.61925
android.sensor.accelerometer,1523388813017,2754809912268723,-25.953146,-24.708162,4.8458643
android.sensor.accelerometer,1523388813037,2754809932260910,-15.68681,-18.904617,2.585738
android.sensor.accelerometer,1523388813057,2754809952282785,-4.807557,-12.411542,-4.8267107
android.sensor.accelerometer,1523388813077,2754809972273410,2.719813,-8.255207,1.0055647
android.sensor.accelerometer,1523388813097,2754809992264035,5.707777,-4.817134,1.436521
android.sensor.accelerometer,1523388813117,2754810012254660,7.383718,-2.1643584,-4.9895163
android.sensor.accelerometer,1523388813137,2754810032278098,7.0102224,0.32561144,-8.255207
android.sensor.accelerometer,1523388813157,2754810052268723,5.631162,2.135628,-7.651869
android.sensor.accelerometer,1523388813177,2754810072259348,6.2632318,3.323152,-5.506664
android.sensor.accelerometer,1523388813197,2754810092281223,5.631162,4.8937483,-5.391742
android.sensor.accelerometer,1523388813217,2754810112273410,3.5625722,5.602432,-2.0015526
android.sensor.accelerometer,1523388813237,2754810132264035,2.3463178,6.6079965,0.22984336
android.sensor.accelerometer,1523388813257,2754810152254660,3.4763808,7.5465236,1.3215994
android.sensor.accelerometer,1523388813277,2754810172276535,4.606444,7.7093296,1.7812861
android.sensor.accelerometer,1523388813297,2754810192267160,4.213795,6.5122285,1.388637
android.sensor.accelerometer,1523388813317,2754810212257785,4.7022123,6.3206925,1.9249382
android.sensor.accelerometer,1523388813337,2754810232281223,5.0661306,6.7229185,3.4380736
android.sensor.accelerometer,1523388813357,2754810252271848,4.501099,6.9623384,4.4915223
android.sensor.accelerometer,1523388813377,2754810272262473,3.7253778,6.8186865,3.763685
