Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523388825446,2754822332264035,-0.0109083075,-0.025359634,-0.048799407
android.sensor.gyroscope,1523388825457,2754822352256223,-0.016074482,-0.032724924,-0.057805303
android.sensor.gyroscope,1523388825477,2754822372278098,0.0,0.0,0.0
android.sensor.gyroscope,1523388825497,2754822392268723,-0.01144936,-0.029443704,-0.06080727
android.sensor.gyroscope,1523388825517,2754822412259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388825537,2754822432281223,0.0,0.0,0.0
android.sensor.gyroscope,1523388825557,2754822452273410,0.0,0.0,0.0
android.sensor.gyroscope,1523388825577,2754822472264035,0.03926991,0.0038048178,0.0027227136
android.sensor.gyroscope,1523388825597,2754822492254660,0.0,0.0,0.0
android.sensor.gyroscope,1523388825617,2754822512276535,0.0,0.0,0.0
android.sensor.gyroscope,1523388825637,2754822532267160,0.0,0.0,0.0
android.sensor.gyroscope,1523388825657,2754822552259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388825677,2754822572281223,0.0,0.0,0.0
android.sensor.gyroscope,1523388825697,2754822592271848,0.0,0.0,0.0
android.sensor.gyroscope,1523388825717,2754822612262473,0.0,0.0,0.0
android.sensor.gyroscope,1523388825737,2754822632284348,0.0,0.0,0.0
android.sensor.gyroscope,1523388825757,2754822652274973,-0.014451326,-0.06517059,0.0155334305
android.sensor.gyroscope,1523388825777,2754822672267160,-0.09407324,-0.15271631,-0.0076270886
android.sensor.gyroscope,1523388825797,2754822692257785,-0.24052383,-0.3010693,5.410521E-4
android.sensor.gyroscope,1523388825817,2754822712279660,-0.6708522,-0.6713933,-0.27242845
android.sensor.gyroscope,1523388825837,2754822732270285,-1.1423703,-1.0733775,-0.7005752
android.sensor.gyroscope,1523388825857,2754822752262473,-1.7960485,-1.6823229,-1.3943435
android.sensor.gyroscope,1523388825877,2754822772284348,-3.6853673,-3.2839417,-3.9488075
android.sensor.gyroscope,1523388825897,2754822792274973,-6.931139,-5.2929726,-8.563022
android.sensor.gyroscope,1523388825917,2754822812265598,-7.4247355,-4.9755497,-8.660638
android.sensor.gyroscope,1523388825937,2754822832257785,-7.3590064,-4.419767,-7.8847866
android.sensor.gyroscope,1523388825957,2754822852279660,-7.0636616,-3.9122603,-6.9278574
android.sensor.gyroscope,1523388825977,2754822872270285,-6.793956,-3.5536475,-6.1072736
android.sensor.gyroscope,1523388825997,2754822892260910,-6.505715,-3.288846,-5.3469734
android.sensor.gyroscope,1523388826017,2754822912282785,-6.3595433,-3.1598487,-4.7347465
android.sensor.gyroscope,1523388826037,2754822932273410,-6.1691804,-3.0750432,-4.1612315
android.sensor.gyroscope,1523388826057,2754822952265598,-5.673123,-2.8814163,-3.5989213
android.sensor.gyroscope,1523388826077,2754822972256223,-5.046986,-2.6272616,-3.1238601
android.sensor.gyroscope,1523388826097,2754822992278098,-4.4647617,-2.4287302,-2.737165
android.sensor.gyroscope,1523388826117,2754823012268723,-4.0128784,-2.3212879,-2.4232676
android.sensor.gyroscope,1523388826137,2754823032259348,-3.7295418,-2.2948287,-2.19065
android.sensor.gyroscope,1523388826157,2754823052281223,-3.4579337,-2.279557,-1.9501262
android.sensor.gyroscope,1523388826177,2754823072273410,-3.001687,-2.2348242,-1.6059647
android.sensor.gyroscope,1523388826197,2754823092264035,-2.342005,-2.1794798,-1.1791793
android.sensor.gyroscope,1523388826217,2754823112254660,-1.2522737,-2.1072059,-0.6045821
android.sensor.gyroscope,1523388826237,2754823132276535,0.09407324,-2.011492,0.052080624
android.sensor.gyroscope,1523388826257,2754823152267160,1.2528148,-1.8841352,0.611127
android.sensor.gyroscope,1523388826277,2754823172259348,1.9591321,-1.7496926,0.95692915
android.sensor.gyroscope,1523388826297,2754823192281223,2.2288377,-1.6351466,1.1317239
android.sensor.gyroscope,1523388826317,2754823212271848,2.2893658,-1.4998837,1.2585394
android.sensor.gyroscope,1523388826337,2754823232262473,2.2659261,-1.3076181,1.3965251
android.sensor.gyroscope,1523388826357,2754823252285910,2.0900319,-1.1180928,1.5072489
android.sensor.gyroscope,1523388826377,2754823272276535,1.8274121,-0.9002059,1.6316036
android.sensor.gyroscope,1523388826397,2754823292267160,1.6212363,-0.57922244,1.8263125
android.sensor.gyroscope,1523388826417,2754823312257785,1.5353312,-0.12515756,2.0965767
