Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523343125779,2709122669407265,0.0,0.0,0.0
android.sensor.gyroscope,1523343125799,2709122689430702,0.0,0.0,0.0
android.sensor.gyroscope,1523343125814,2709122709421327,0.0,0.0,0.0
android.sensor.gyroscope,1523343125834,2709122729411952,-0.033807028,-0.040352013,-0.019634955
android.sensor.gyroscope,1523343125854,2709122749433827,-0.033807028,-0.040352013,-0.019355701
android.sensor.gyroscope,1523343125874,2709122769426015,0.0,0.0,0.0
android.sensor.gyroscope,1523343125894,2709122789416640,0.0,0.0,0.0
android.sensor.gyroscope,1523343125914,2709122809438515,0.0,0.0,0.0
android.sensor.gyroscope,1523343125934,2709122829429140,-0.023439772,-0.023998277,-0.020717058
android.sensor.gyroscope,1523343125954,2709122849419765,0.0,0.0,0.0
android.sensor.gyroscope,1523343125974,2709122869411952,-0.026441738,-0.022619467,-0.01881465
android.sensor.gyroscope,1523343125994,2709122889433827,-0.029443704,-0.020996312,-0.015812684
android.sensor.gyroscope,1523343126014,2709122909424452,-0.041992623,-0.029984757,-0.022357667
android.sensor.gyroscope,1523343126035,2709122929415077,-0.029443704,-0.02125811,-0.0155334305
android.sensor.gyroscope,1523343126055,2709122949436952,-0.029722957,-0.02125811,-0.0155334305
android.sensor.gyroscope,1523343126075,2709122969427577,0.0,0.0,0.0
android.sensor.gyroscope,1523343126095,2709122989419765,0.0,0.0,0.0
android.sensor.gyroscope,1523343126115,2709123009410390,0.0,0.0,0.0
android.sensor.gyroscope,1523343126135,2709123029432265,-0.06270968,0.0054454273,-0.02698279
android.sensor.gyroscope,1523343126155,2709123049422890,0.0,0.0,0.0
android.sensor.gyroscope,1523343126175,2709123069415077,-0.061086524,0.17915805,-0.05071927
android.sensor.gyroscope,1523343126195,2709123089436952,-0.061086524,0.39924407,-0.06925467
android.sensor.gyroscope,1523343126215,2709123109427577,-0.072797686,0.68776447,-0.07199483
android.sensor.gyroscope,1523343126235,2709123129418202,-0.10197959,0.89638364,-0.022357667
android.sensor.gyroscope,1523343126254,2709123149408827,-0.13062043,1.0504613,0.054262288
android.sensor.gyroscope,1523343126274,2709123169432265,-0.16144295,1.1489153,0.14889404
