Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523469032670,14720480961454,-0.4309563,5.583278,8.082825
android.sensor.accelerometer,1523469032690,14720500952079,-0.4405331,5.583278,8.456321
android.sensor.accelerometer,1523469032710,14720520973954,-0.48841715,5.602432,8.39886
android.sensor.accelerometer,1523469032730,14720540964579,-0.45968673,5.6886234,7.843405
android.sensor.accelerometer,1523469032750,14720560955204,-0.5363012,5.592855,7.9870567
android.sensor.accelerometer,1523469032770,14720580978641,-0.5363012,5.592855,8.082825
android.sensor.accelerometer,1523469032790,14720600969266,-0.38307226,5.6120086,8.236053
android.sensor.accelerometer,1523469032810,14720620959891,-0.32561144,5.66947,8.0924015
android.sensor.accelerometer,1523469032830,14720640950516,-0.45968673,5.6790466,7.8529816
android.sensor.accelerometer,1523469032850,14720660972391,-0.62249243,5.6215854,7.824251
android.sensor.accelerometer,1523469032870,14720680964579,-0.545878,5.5641246,7.9583263
android.sensor.accelerometer,1523469032890,14720700955204,-0.33518824,5.6215854,8.034941
android.sensor.accelerometer,1523469032910,14720720977079,-0.2681506,5.659893,8.054094
android.sensor.accelerometer,1523469032930,14720740967704,-0.49799395,5.6120086,8.1402855
android.sensor.accelerometer,1523469032950,14720760958329,-0.7565677,5.497087,7.8625584
android.sensor.accelerometer,1523469032970,14720780981766,-0.6607997,5.4300494,7.575254
android.sensor.accelerometer,1523469032990,14720800972391,-0.39264908,5.3438582,7.536947
android.sensor.accelerometer,1523469033010,14720820963016,-0.12449849,5.046977,7.1730285
android.sensor.accelerometer,1523469033030,14720840953641,0.05746084,4.405331,6.3781533
android.sensor.accelerometer,1523469033050,14720860975516,0.6895301,2.633622,5.133168
android.sensor.accelerometer,1523469033070,14720880967704,2.0973208,2.030283,4.5298295
android.sensor.accelerometer,1523469033090,14720900958329,4.0797195,2.1930888,3.5817258
android.sensor.accelerometer,1523469033110,14720920980204,5.45878,2.27928,3.6487634
android.sensor.accelerometer,1523469033130,14720940970829,6.2345014,2.4612393,4.3766007
android.sensor.accelerometer,1523469033150,14720960961454,5.707777,3.122039,7.3549876
android.sensor.accelerometer,1523469033170,14720980953641,4.6926355,4.7500963,11.923124
android.sensor.accelerometer,1523469033190,14721000975516,6.0716953,5.947197,13.493721
android.sensor.accelerometer,1523469033210,14721020966141,8.90643,7.326257,13.819332
android.sensor.accelerometer,1523469033230,14721040956766,8.207323,10.275913,14.192827
android.sensor.accelerometer,1523469033250,14721060978641,5.6215854,12.650962,14.614207
android.sensor.accelerometer,1523469033270,14721080970829,2.087744,14.202404,17.017986
android.sensor.accelerometer,1523469033290,14721100961454,-2.0590134,14.221559,21.777658
android.sensor.accelerometer,1523469033310,14721120952079,-4.9224787,14.834474,24.899698
android.sensor.accelerometer,1523469033330,14721140973954,-8.475474,15.064317,27.26517
android.sensor.accelerometer,1523469033350,14721160964579,-14.365211,14.240712,29.879637
android.sensor.accelerometer,1523469033370,14721180956766,-17.72667,13.302185,28.845343
android.sensor.accelerometer,1523469033390,14721200978641,-14.671668,11.951855,22.878992
android.sensor.accelerometer,1523469033410,14721220969266,-16.261417,9.710882,24.162283
android.sensor.accelerometer,1523469033430,14721240959891,-18.425776,5.8226986,23.625982
android.sensor.accelerometer,1523469033450,14721260950516,-16.883911,3.4763808,19.967642
android.sensor.accelerometer,1523469033470,14721280973954,-12.373235,1.733402,16.338032
android.sensor.accelerometer,1523469033490,14721300964579,-10.773908,0.51714754,14.470555
android.sensor.accelerometer,1523469033510,14721320955204,-10.084377,-0.40222588,11.3964
android.sensor.accelerometer,1523469033530,14721340977079,-9.279925,-0.82360536,7.2304893
android.sensor.accelerometer,1523469033550,14721360969266,-8.0445175,-1.541866,4.309563
android.sensor.accelerometer,1523469033570,14721380959891,-7.824251,-2.815581,4.280833
android.sensor.accelerometer,1523469033590,14721400981766,-7.4603324,-3.8594532,5.209783
android.sensor.accelerometer,1523469033610,14721420972391,-6.789956,-5.2289367,6.885724
android.sensor.accelerometer,1523469033630,14721440963016,-6.8282633,-7.086837,7.1347213
android.sensor.accelerometer,1523469033650,14721460953641,-7.920019,-8.283937,4.7500963
android.sensor.accelerometer,1523469033670,14721480977079,-8.39886,-9.011775,2.9017725
android.sensor.accelerometer,1523469033690,14721500967704,-6.0716953,-9.289502,2.27928
android.sensor.accelerometer,1523469033710,14721520958329,-3.371036,-9.433155,0.6799533
android.sensor.accelerometer,1523469033730,14721540980204,0.90979666,-8.944737,-2.0685902
android.sensor.accelerometer,1523469033750,14721560970829,2.1164744,-8.101978,-2.719813
android.sensor.accelerometer,1523469033770,14721580961454,2.882619,-7.1634517,-1.1683705
android.sensor.accelerometer,1523469033790,14721600953641,2.882619,-6.4164605,1.8579005
android.sensor.accelerometer,1523469033810,14721620975516,1.9728222,-5.21936,3.8115692
android.sensor.accelerometer,1523469033830,14721640966141,1.8004397,-4.1180267,4.510676
android.sensor.accelerometer,1523469033850,14721660956766,1.7142484,-2.2122424,5.439626
android.sensor.accelerometer,1523469033870,14721680980204,3.514688,-0.35434186,7.1251445
android.sensor.accelerometer,1523469033890,14721700970829,8.178593,1.4460979,8.236053
android.sensor.accelerometer,1523469033910,14721720961454,14.087482,3.4093432,7.374141
android.sensor.accelerometer,1523469033930,14721740952079,18.08101,4.003105,4.9416323
android.sensor.accelerometer,1523469033950,14721760973954,15.907076,3.4955344,3.4859576
