Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523469018713,14706520977079,0.0,0.0,0.0
android.sensor.gyroscope,1523469018730,14706540967704,-0.008447394,0.033807028,0.01881465
android.sensor.gyroscope,1523469018750,14706560958329,-0.0049043754,0.03190462,0.02289872
android.sensor.gyroscope,1523469018770,14706580980204,-0.0076270886,0.052621678,0.04335398
android.sensor.gyroscope,1523469018790,14706600972391,-0.005986479,0.043074727,0.03544764
android.sensor.gyroscope,1523469018810,14706620963016,-0.0076270886,0.052621678,0.043074727
android.sensor.gyroscope,1523469018830,14706640953641,-0.0049043754,0.036529742,0.014713125
android.sensor.gyroscope,1523469018850,14706660975516,0.0,0.0,0.0
android.sensor.gyroscope,1523469018870,14706680966141,0.0,0.0,0.0
android.sensor.gyroscope,1523469018890,14706700956766,-0.0032637657,0.033527777,-0.04499459
android.sensor.gyroscope,1523469018910,14706720978641,0.0,0.0,0.0
android.sensor.gyroscope,1523469018930,14706740970829,0.0,0.0,0.0
android.sensor.gyroscope,1523469018950,14706760961454,0.0,0.0,0.0
android.sensor.gyroscope,1523469018970,14706780952079,0.0,0.0,0.0
android.sensor.gyroscope,1523469018990,14706800973954,0.0,0.0,0.0
android.sensor.gyroscope,1523469019010,14706820964579,0.0,0.0,0.0
android.sensor.gyroscope,1523469019031,14706840956766,-0.010349803,0.056985,0.036529742
android.sensor.gyroscope,1523469019051,14706860978641,-0.0070860367,0.023998277,0.050178215
android.sensor.gyroscope,1523469019071,14706880969266,-0.006544985,0.04171337,0.1229759
android.sensor.gyroscope,1523469019091,14706900959891,-0.0155334305,0.05808456,0.21788691
android.sensor.gyroscope,1523469019111,14706920952079,-0.03244567,0.08726646,0.3796091
android.sensor.gyroscope,1523469019131,14706940973954,-0.038711403,0.19142771,0.82030475
android.sensor.gyroscope,1523469019151,14706960964579,-0.032166418,0.2822372,1.1461751
android.sensor.gyroscope,1523469019171,14706980955204,-0.022357667,0.33733723,1.2738111
android.sensor.gyroscope,1523469019191,14707000977079,-0.02125811,0.45895177,1.603242
android.sensor.gyroscope,1523469019211,14707020967704,-0.008447394,0.7082197,2.3245516
android.sensor.gyroscope,1523469019231,14707040959891,0.08752826,0.99892175,3.1988568
android.sensor.gyroscope,1523469019251,14707060950516,0.22060962,1.1159111,3.6144547
android.sensor.gyroscope,1523469019271,14707080972391,0.3359759,1.0981786,3.6687346
android.sensor.gyroscope,1523469019290,14707100963016,0.38315213,1.0090097,3.4505682
android.sensor.gyroscope,1523469019310,14707120953641,0.3256086,0.8961044,3.0431385
android.sensor.gyroscope,1523469019330,14707140977079,0.17725565,0.7952069,2.5539055
android.sensor.gyroscope,1523469019350,14707160967704,0.030264009,0.70685834,2.0962975
android.sensor.gyroscope,1523469019370,14707180958329,-0.13034119,0.5893104,1.5132529
android.sensor.gyroscope,1523469019390,14707200980204,-0.27707103,0.43359214,0.83147484
android.sensor.gyroscope,1523469019410,14707220972391,-0.3733259,0.27324873,0.21134192
android.sensor.gyroscope,1523469019430,14707240963016,-0.43769366,0.11424925,-0.32424727
android.sensor.gyroscope,1523469019450,14707260953641,-0.53258723,-0.13634512,-1.0572855
android.sensor.gyroscope,1523469019470,14707280975516,-0.61194736,-0.46523497,-1.923126
android.sensor.gyroscope,1523469019490,14707300966141,-0.6490356,-0.7903025,-2.7232547
android.sensor.gyroscope,1523469019510,14707320956766,-0.64385194,-1.0897312,-3.3660245
