Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523469085218,14773020958329,-0.029164452,0.017174039,0.020437805
android.sensor.gyroscope,1523469085230,14773040980204,-0.027262043,0.018535396,0.022078415
android.sensor.gyroscope,1523469085250,14773060970829,0.0,0.0,0.0
android.sensor.gyroscope,1523469085270,14773080961454,0.0,0.0,0.0
android.sensor.gyroscope,1523469085290,14773100953641,0.0,0.0,0.0
android.sensor.gyroscope,1523469085310,14773120975516,0.0,0.0,0.0
android.sensor.gyroscope,1523469085330,14773140966141,-0.0013613568,-0.037088245,-0.013892821
android.sensor.gyroscope,1523469085350,14773160956766,0.0054454273,-0.036529742,-0.014172073
android.sensor.gyroscope,1523469085370,14773180978641,0.0,0.0,0.0
android.sensor.gyroscope,1523469085390,14773200970829,0.0,0.0,0.0
android.sensor.gyroscope,1523469085410,14773220961454,0.0,0.0,0.0
android.sensor.gyroscope,1523469085430,14773240952079,0.0,0.0,0.0
android.sensor.gyroscope,1523469085450,14773260973954,0.0,0.0,0.0
android.sensor.gyroscope,1523469085470,14773280964579,0.00572468,-0.036808994,-0.013351769
android.sensor.gyroscope,1523469085490,14773300956766,-0.0027227136,-0.036808994,-0.014172073
android.sensor.gyroscope,1523469085510,14773320978641,-0.011990412,-0.05126032,-0.019355701
android.sensor.gyroscope,1523469085530,14773340969266,0.0,0.0,0.0
android.sensor.gyroscope,1523469085550,14773360959891,0.0,0.0,0.0
android.sensor.gyroscope,1523469085570,14773380950516,-0.023439772,-0.031625368,-0.004363323
android.sensor.gyroscope,1523469085590,14773400973954,0.0,0.0,0.0
android.sensor.gyroscope,1523469085610,14773420963016,0.0,0.0,0.0
android.sensor.gyroscope,1523469085630,14773440955204,-0.035168383,-0.017174039,0.0051661744
android.sensor.gyroscope,1523469085651,14773460977079,0.0,0.0,0.0
android.sensor.gyroscope,1523469085670,14773480967704,0.0,0.0,0.0
android.sensor.gyroscope,1523469085690,14773500958329,0.046355944,-0.20751965,-0.31305972
android.sensor.gyroscope,1523469085710,14773520981766,0.09271189,-0.42268384,-0.60267967
android.sensor.gyroscope,1523469085730,14773540972391,0.08316494,-0.60349995,-0.8096582
android.sensor.gyroscope,1523469085750,14773560963016,0.074717544,-0.7065791,-0.9312902
android.sensor.gyroscope,1523469085770,14773580953641,0.07826056,-0.74639004,-0.9950995
android.sensor.gyroscope,1523469085790,14773600977079,0.09817477,-0.78401935,-1.0840065
android.sensor.gyroscope,1523469085810,14773620967704,0.10307915,-0.83557636,-1.1734546
android.sensor.gyroscope,1523469085830,14773640958329,0.09189159,-0.9525658,-1.3103583
android.sensor.gyroscope,1523469085850,14773660980204,0.08152433,-1.0864675,-1.4712428
android.sensor.gyroscope,1523469085870,14773680970829,0.06517059,-1.1560013,-1.5386125
android.sensor.gyroscope,1523469085890,14773700961454,0.04553564,-1.157642,-1.501786
android.sensor.gyroscope,1523469085910,14773720953641,0.010088003,-1.1505384,-1.4227052
android.sensor.gyroscope,1523469085930,14773740975516,-0.039531708,-1.1666304,-1.2819967
