Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523343174542,2709171429432265,-0.025080381,0.029722957,0.0070860367
android.sensor.gyroscope,1523343174556,2709171449421327,-0.025080381,0.029722957,0.007347836
android.sensor.gyroscope,1523343174574,2709171469413515,0.0,0.0,0.0
android.sensor.gyroscope,1523343174594,2709171489435390,-0.03244567,0.043895032,0.01308997
android.sensor.gyroscope,1523343174614,2709171509426015,-0.023998277,0.030264009,0.007906342
android.sensor.gyroscope,1523343174634,2709171529416640,0.0,0.0,0.0
android.sensor.gyroscope,1523343174654,2709171549407265,0.0,0.0,0.0
android.sensor.gyroscope,1523343174674,2709171569429140,0.0,0.0,0.0
android.sensor.gyroscope,1523343174694,2709171589421327,0.0,0.0,0.0
android.sensor.gyroscope,1523343174714,2709171609411952,0.0,0.0,0.0
android.sensor.gyroscope,1523343174734,2709171629433827,0.0,0.0,0.0
android.sensor.gyroscope,1523343174754,2709171649424452,0.0,0.0,0.0
android.sensor.gyroscope,1523343174774,2709171669415077,0.0,0.0,0.0
android.sensor.gyroscope,1523343174794,2709171689438515,0.0,0.0,0.0
android.sensor.gyroscope,1523343174814,2709171709429140,-0.025080381,0.030264009,-0.0051661744
android.sensor.gyroscope,1523343174834,2709171729419765,0.0,0.0,0.0
android.sensor.gyroscope,1523343174854,2709171749410390,0.0,0.0,0.0
android.sensor.gyroscope,1523343174874,2709171769433827,0.0,0.0,0.0
android.sensor.gyroscope,1523343174895,2709171789424452,-0.0283616,0.048537605,2.6179937E-4
android.sensor.gyroscope,1523343174915,2709171809415077,-0.019896753,0.03408628,0.0
android.sensor.gyroscope,1523343174934,2709171829436952,0.0,0.0,0.0
android.sensor.gyroscope,1523343174954,2709171849427577,-0.05235988,-0.040893063,-0.016074482
android.sensor.gyroscope,1523343174974,2709171869419765,-0.06843436,-0.39187878,-0.06517059
android.sensor.gyroscope,1523343174994,2709171889410390,-0.17779669,-0.8009316,-0.06407104
android.sensor.gyroscope,1523343175014,2709171909432265,-0.283616,-0.94001687,-0.012531464
android.sensor.gyroscope,1523343175034,2709171929422890,-0.38341394,-1.0297443,0.049898963
android.sensor.gyroscope,1523343175054,2709171949413515,-0.46113345,-1.1090869,0.10061823
android.sensor.gyroscope,1523343175074,2709171969436952,-0.5309466,-1.1726344,0.15351915
android.sensor.gyroscope,1523343175094,2709171989427577,-0.5890486,-1.1941717,0.20998056
android.sensor.gyroscope,1523343175114,2709172009418202,-0.6239552,-1.1126474,0.25169393
android.sensor.gyroscope,1523343175134,2709172029408827,-0.62858033,-0.97710514,0.27707103
android.sensor.gyroscope,1523343175154,2709172049430702,-0.61741024,-0.8211076,0.2874208
android.sensor.gyroscope,1523343175174,2709172069421327,-0.61467004,-0.6536782,0.2956064
android.sensor.gyroscope,1523343175194,2709172089413515,-0.41423646,-0.49385837,0.17997836
android.sensor.gyroscope,1523343175214,2709172109435390,-0.25579545,-0.014172073,0.14316936
android.sensor.gyroscope,1523343175234,2709172129426015,-0.23205897,0.86065674,0.26860616
android.sensor.gyroscope,1523343175254,2709172149416640,-0.29152235,1.9002272,0.4706804
android.sensor.gyroscope,1523343175274,2709172169408827,-0.43333036,2.8746097,0.69949305
android.sensor.gyroscope,1523343175294,2709172189430702,-0.6825808,3.5631943,0.88057095
android.sensor.gyroscope,1523343175314,2709172209421327,-0.9781872,3.9474287,0.9618335
android.sensor.gyroscope,1523343175334,2709172229411952,-1.2149062,4.0417986,0.94191927
android.sensor.gyroscope,1523343175354,2709172249433827,-1.3515306,3.9037955,0.8614771
android.sensor.gyroscope,1523343175374,2709172269424452,-1.4044316,3.6008236,0.75129443
android.sensor.gyroscope,1523343175394,2709172289416640,-1.3114403,3.2435722,0.67521554
android.sensor.gyroscope,1523343175414,2709172309438515,-1.2239121,2.8157048,0.60894537
android.sensor.gyroscope,1523343175434,2709172329429140,-1.1764567,2.0575686,0.49795988
android.sensor.gyroscope,1523343175454,2709172349419765,-1.1055439,1.5129735,0.45458844
android.sensor.gyroscope,1523343175474,2709172369410390,-1.0771823,0.9994628,0.40769145
