Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523469124174,14811980953641,0.0,0.0,0.0
android.sensor.gyroscope,1523469124190,14812000977079,0.0,0.0,0.0
android.sensor.gyroscope,1523469124210,14812020967704,-0.013351769,-0.02480113,-0.027803095
android.sensor.gyroscope,1523469124230,14812040958329,-0.016074482,-0.025080381,-0.025900686
android.sensor.gyroscope,1523469124250,14812060980204,-0.02289872,-0.03598869,-0.036529742
android.sensor.gyroscope,1523469124270,14812080970829,-0.020176006,-0.025621433,-0.022357667
android.sensor.gyroscope,1523469124290,14812100963016,-0.03544764,-0.017453292,0.0021816615
android.sensor.gyroscope,1523469124310,14812120953641,0.0,0.0,0.0
android.sensor.gyroscope,1523469124330,14812140975516,-0.014992379,0.014992379,0.033527777
android.sensor.gyroscope,1523469124350,14812160966141,0.0,0.0,0.0
android.sensor.gyroscope,1523469124370,14812180956766,0.0,0.0,0.0
android.sensor.gyroscope,1523469124390,14812200980204,-0.0155334305,0.023719024,0.048537605
android.sensor.gyroscope,1523469124410,14812220970829,0.0,0.0,0.0
android.sensor.gyroscope,1523469124430,14812240961454,0.0,0.0,0.0
android.sensor.gyroscope,1523469124450,14812260952079,0.0,0.0,0.0
android.sensor.gyroscope,1523469124470,14812280973954,-0.049898963,0.006806784,0.09897762
android.sensor.gyroscope,1523469124490,14812300964579,-0.057805303,0.27296948,1.3051747
android.sensor.gyroscope,1523469124510,14812320956766,0.14971434,0.6179513,2.4292715
android.sensor.gyroscope,1523469124530,14812340978641,0.2086192,0.52958524,2.1077468
android.sensor.gyroscope,1523469124550,14812360969266,0.07744026,0.027541295,0.26724482
android.sensor.gyroscope,1523469124570,14812380959891,-0.002443461,-0.39950585,-1.6389688
android.sensor.gyroscope,1523469124590,14812400952079,0.1521578,-0.47177994,-2.929151
android.sensor.gyroscope,1523469124610,14812420973954,0.24378759,-0.47342056,-3.205402
android.sensor.gyroscope,1523469124630,14812440964579,-0.097354464,-0.8325744,-2.1991148
android.sensor.gyroscope,1523469124650,14812460955204,-0.3294309,-0.57377696,0.43114868
android.sensor.gyroscope,1523469124670,14812480977079,0.07880162,0.58958966,3.447828
android.sensor.gyroscope,1523469124690,14812500967704,0.73521996,1.3831735,5.09308
android.sensor.gyroscope,1523469124710,14812520959891,0.99974203,1.3899802,4.9919033
android.sensor.gyroscope,1523469124730,14812540950516,0.87456703,1.1238174,4.202142
android.sensor.gyroscope,1523469124750,14812560972391,0.016894788,-0.14971434,1.3395402
android.sensor.gyroscope,1523469124771,14812580963016,-0.8099375,-2.5658958,-4.4715858
android.sensor.gyroscope,1523469124790,14812600953641,-0.47260025,-2.358376,-6.164817
android.sensor.gyroscope,1523469124810,14812620977079,-0.6299417,-2.6081676,-5.5228677
android.sensor.gyroscope,1523469124831,14812640967704,-0.91219634,-3.0562286,-3.526368
android.sensor.gyroscope,1523469124850,14812660958329,2.1846461,3.9324362,8.048691
android.sensor.gyroscope,1523469124870,14812680980204,2.7895248,3.6403728,7.7563477
android.sensor.gyroscope,1523469124890,14812700970829,2.9217858,3.0870512,6.9693093
android.sensor.gyroscope,1523469124910,14812720963016,2.9681418,2.520622,6.151186
android.sensor.gyroscope,1523469124930,14812740953641,2.8868792,2.0962975,5.4001536
android.sensor.gyroscope,1523469124950,14812760975516,2.3815541,1.8530335,4.4200463
android.sensor.gyroscope,1523469124970,14812780966141,-1.626961,-4.8130074,-6.1460023
android.sensor.gyroscope,1523469124990,14812800956766,1.0038261,-2.8552365,-8.959525
android.sensor.gyroscope,1523469125011,14812820978641,-0.69348913,-4.1696963,-7.4686303
android.sensor.gyroscope,1523469125030,14812840970829,3.241949,6.441347,8.369116
android.sensor.gyroscope,1523469125050,14812860961454,3.4080172,3.7150903,6.7197795
android.sensor.gyroscope,1523469125070,14812880952079,3.2359452,3.0829496,6.018925
android.sensor.gyroscope,1523469125090,14812900975516,2.908155,2.6133513,5.275799
android.sensor.gyroscope,1523469125110,14812920964579,2.5255437,1.9504055,4.37095
android.sensor.gyroscope,1523469125130,14812940956766,2.0447578,1.3569934,3.39765
android.sensor.gyroscope,1523469125150,14812960978641,1.0605493,0.45923102,1.7774956
android.sensor.gyroscope,1523469125170,14812980969266,-2.6987154,-4.9024553,-4.289408
android.sensor.gyroscope,1523469125190,14813000959891,-2.7458916,-6.777602,-8.220762
android.sensor.gyroscope,1523469125210,14813020950516,-3.8217125,-7.390649,-8.175768
android.sensor.gyroscope,1523469125230,14813040973954,5.5765886,10.639405,9.446316
android.sensor.gyroscope,1523469125250,14813060964579,2.658887,4.14596,5.175442
android.sensor.gyroscope,1523469125270,14813080955204,2.240287,2.3542745,4.019703
android.sensor.gyroscope,1523469125290,14813100977079,1.7791363,1.8775903,3.2670295
android.sensor.gyroscope,1523469125310,14813120969266,1.2808971,1.566433,2.6051657
android.sensor.gyroscope,1523469125330,14813140959891,0.5601285,0.94055796,1.6386896
android.sensor.gyroscope,1523469125350,14813160950516,-0.41177553,-0.15570082,0.2656042
android.sensor.gyroscope,1523469125370,14813180972391,-2.5877123,-2.6738968,-2.6313457
android.sensor.gyroscope,1523469125390,14813200963016,-3.8301773,-5.7208576,-6.047566
android.sensor.gyroscope,1523469125410,14813220953641,-3.7210944,-5.549327,-6.0437436
android.sensor.gyroscope,1523469125430,14813240977079,-3.1879487,-3.3663037,-3.222576
android.sensor.gyroscope,1523469125450,14813260967704,0.34170055,1.9673002,2.1331065
android.sensor.gyroscope,1523469125470,14813280958329,1.2304571,2.4224472,2.9736047
android.sensor.gyroscope,1523469125491,14813300980204,1.1671889,2.3193681,2.8219705
android.sensor.gyroscope,1523469125510,14813320972391,0.81674427,2.0033064,2.2602015
android.sensor.gyroscope,1523469125530,14813340963016,0.004363323,1.0444574,0.9100147
android.sensor.gyroscope,1523469125550,14813360953641,-1.606244,-1.7488723,-2.3700874
android.sensor.gyroscope,1523469125570,14813380975516,-1.3193468,-4.311766,-6.668781
android.sensor.gyroscope,1523469125590,14813400966141,-0.17915805,-3.8645256,-8.077314
android.sensor.gyroscope,1523469125610,14813420958329,-0.8524712,-3.8986292,-6.823958
android.sensor.gyroscope,1523469125630,14813440980204,-2.5926168,-3.971427,-3.3412058
android.sensor.gyroscope,1523469125650,14813460970829,2.160386,5.936842,6.5163436
android.sensor.gyroscope,1523469125670,14813480961454,2.6727972,5.4140635,6.682691
android.sensor.gyroscope,1523469125690,14813500952079,2.655885,5.471607,6.655429
android.sensor.gyroscope,1523469125710,14813520973954,3.0995827,6.303623,7.518006
android.sensor.gyroscope,1523469125730,14813540966141,3.8833575,7.4091845,10.296622
android.sensor.gyroscope,1523469125750,14813560956766,3.0586896,6.6336126,11.440354
android.sensor.gyroscope,1523469125770,14813580978641,2.2610042,5.6747637,11.032383
android.sensor.gyroscope,1523469125790,14813600969266,1.8383204,4.8629236,10.073534
android.sensor.gyroscope,1523469125810,14813620961454,2.011492,4.2727757,8.732371
android.sensor.gyroscope,1523469125830,14813640952079,2.4862738,3.551745,6.5989676
android.sensor.gyroscope,1523469125850,14813660973954,1.6378694,2.0003045,2.955331
android.sensor.gyroscope,1523469125870,14813680964579,-0.034627333,0.09679596,0.31278044
android.sensor.gyroscope,1523469125890,14813700955204,-0.462233,-0.5953143,-0.028082348
android.sensor.gyroscope,1523469125910,14813720977079,-0.08016297,-0.3086964,0.73902476
android.sensor.gyroscope,1523469125930,14813740969266,1.3992479,1.141009,3.8192692
android.sensor.gyroscope,1523469125950,14813760959891,-0.038449604,2.7677083,8.173865
android.sensor.gyroscope,1523469125970,14813780950516,-0.67331314,2.5277255,7.76017
android.sensor.gyroscope,1523469125990,14813800972391,0.75103265,1.2028984,5.6316714
android.sensor.gyroscope,1523469126010,14813820963016,1.6258789,0.07361799,3.1080475
android.sensor.gyroscope,1523469126030,14813840955204,1.5056083,-0.6258576,1.1240968
android.sensor.gyroscope,1523469126050,14813860977079,1.1423703,-0.9501049,0.05126032
android.sensor.gyroscope,1523469126070,14813880967704,1.3659819,-0.92800903,-0.007347836
android.sensor.gyroscope,1523469126090,14813900958329,2.8252518,-0.6310412,1.6261407
android.sensor.gyroscope,1523469126110,14813920981766,2.8252518,-0.6310412,1.6261407
android.sensor.gyroscope,1523469126130,14813940972391,4.0876136,-0.1895253,3.6929946
android.sensor.gyroscope,1523469126150,14813960963016,4.0458827,-0.055623643,4.1806045
android.sensor.gyroscope,1523469126170,14813980953641,3.6261833,-0.46195376,3.6081889
android.sensor.gyroscope,1523469126190,14814000975516,1.41808,-1.6411506,0.57431805
android.sensor.gyroscope,1523469126210,14814020967704,-5.589958,-2.1426535,-4.603027
android.sensor.gyroscope,1523469126230,14814040958329,-6.5179844,-2.5290868,-4.347772
android.sensor.gyroscope,1523469126250,14814060980204,-6.276361,-2.682065,-3.6711779
android.sensor.gyroscope,1523469126270,14814080970829,-5.460699,-2.1451144,-3.3444872
android.sensor.gyroscope,1523469126290,14814100961454,-4.3466725,-1.5876911,-2.8350604
android.sensor.gyroscope,1523469126310,14814120953641,-2.707442,-1.3103583,-1.7930466
android.sensor.gyroscope,1523469126330,14814140975516,-0.5754002,-1.0610904,-0.42950806
android.sensor.gyroscope,1523469126350,14814160966141,1.4292501,-0.81620324,0.9482025
android.sensor.gyroscope,1523469126370,14814180956766,2.48027,-0.51187015,1.8805922
android.sensor.gyroscope,1523469126390,14814200978641,2.6621683,-0.24052383,2.180562
android.sensor.gyroscope,1523469126410,14814220970829,0.37468728,0.006265732,0.49195597
android.sensor.gyroscope,1523469126430,14814240961454,-1.9973024,0.33623767,-1.0870085
android.sensor.gyroscope,1523469126450,14814260952079,-3.8020775,0.98801345,-2.4996257
android.sensor.gyroscope,1523469126470,14814280973954,-7.014583,1.5710582,-4.58121
android.sensor.gyroscope,1523469126490,14814300964579,-7.532457,1.8413223,-4.9932647
android.sensor.gyroscope,1523469126510,14814320956766,5.5397797,2.626162,-8.67783
android.sensor.gyroscope,1523469126530,14814340978641,-7.6919804,-1.7766753,8.024954
android.sensor.gyroscope,1523469126550,14814360969266,7.9423304,-1.2558167,6.732049
android.sensor.gyroscope,1523469126570,14814380959891,6.852861,-0.97302103,6.605792
android.sensor.gyroscope,1523469126590,14814400950516,6.0570955,-0.7248527,6.394991
android.sensor.gyroscope,1523469126610,14814420972391,4.773196,-0.64002967,4.5498466
android.sensor.gyroscope,1523469126630,14814440964579,-4.518762,1.3940817,-3.442662
android.sensor.gyroscope,1523469126650,14814460955204,-5.602769,1.0444574,-4.066617
android.sensor.gyroscope,1523469126670,14814480977079,-4.550946,1.5754215,-3.7491767
android.sensor.gyroscope,1523469126690,14814500967704,5.7928524,-1.0163751,4.6461186
android.sensor.gyroscope,1523469126710,14814520959891,4.953733,-0.7793942,4.241691
android.sensor.gyroscope,1523469126730,14814540981766,2.3815541,-0.35859534,2.1478372
android.sensor.gyroscope,1523469126750,14814560972391,1.8031346,-0.3771482,2.8249724
android.sensor.gyroscope,1523469126770,14814580963016,2.4690824,-0.05862561,4.0584316
android.sensor.gyroscope,1523469126790,14814600953641,3.1004028,0.13634512,4.1405144
android.sensor.gyroscope,1523469126810,14814620977079,3.0270467,-0.05235988,3.2356658
android.sensor.gyroscope,1523469126830,14814640967704,2.372548,-0.35533157,1.9348545
android.sensor.gyroscope,1523469126850,14814660958329,1.890401,-0.50096184,1.1246378
android.sensor.gyroscope,1523469126870,14814680980204,2.2588227,-0.48350856,1.1759156
android.sensor.gyroscope,1523469126890,14814700970829,3.0327713,-0.18107791,1.9315733
android.sensor.gyroscope,1523469126910,14814720961454,3.3515732,0.19360937,2.364101
android.sensor.gyroscope,1523469126931,14814740953641,3.259664,0.08698721,1.9863942
