Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523388850500,2754847392279660,-0.2873042,7.0102224,6.789956
android.sensor.accelerometer,1523388850517,2754847412271848,-0.038307227,7.019799,6.579266
android.sensor.accelerometer,1523388850537,2754847432262473,0.05746084,6.9719152,6.703765
android.sensor.accelerometer,1523388850557,2754847452284348,-0.047884032,6.9048777,7.0102224
android.sensor.accelerometer,1523388850577,2754847472274973,-0.18195933,6.981492,6.895301
android.sensor.accelerometer,1523388850597,2754847492265598,-0.18195933,7.1155677,6.799533
android.sensor.accelerometer,1523388850617,2754847512257785,-0.22984336,7.2113357,6.8282633
android.sensor.accelerometer,1523388850637,2754847532279660,-0.16280572,7.3549876,6.5026517
android.sensor.accelerometer,1523388850657,2754847552270285,-0.06703765,7.4603324,6.1195793
android.sensor.accelerometer,1523388850677,2754847572260910,-0.21068975,7.422025,6.4739213
android.sensor.accelerometer,1523388850697,2754847592282785,-0.4309563,7.374141,6.751649
android.sensor.accelerometer,1523388850717,2754847612274973,-0.36391866,7.3166804,6.703765
android.sensor.accelerometer,1523388850737,2754847632265598,-0.2681506,7.2687964,6.483498
android.sensor.accelerometer,1523388850757,2754847652256223,-0.19153613,7.192182,6.4068837
android.sensor.accelerometer,1523388850777,2754847672278098,-0.2873042,7.2113357,6.5122285
android.sensor.accelerometer,1523388850797,2754847692268723,-0.49799395,7.2592196,6.5505357
android.sensor.accelerometer,1523388850817,2754847712259348,-0.7565677,7.345411,6.703765
android.sensor.accelerometer,1523388850837,2754847732282785,-0.79487497,7.3549876,6.588843
android.sensor.accelerometer,1523388850857,2754847752273410,-0.89064306,7.4507556,6.215348
android.sensor.accelerometer,1523388850877,2754847772264035,-0.8810662,7.469909,5.9184666
android.sensor.accelerometer,1523388850897,2754847792254660,-0.9576807,7.4124484,5.995081
android.sensor.accelerometer,1523388850917,2754847812276535,-0.93852705,7.1347213,6.0046577
android.sensor.accelerometer,1523388850938,2754847832268723,-0.58418524,6.895301,5.93762
android.sensor.accelerometer,1523388850958,2754847852259348,-0.095768064,6.655881,5.659893
android.sensor.accelerometer,1523388850978,2754847872281223,0.35434186,6.301539,5.171476
android.sensor.accelerometer,1523388850997,2754847892271848,1.043872,5.650316,4.2425256
android.sensor.accelerometer,1523388851017,2754847912264035,1.6759412,5.3247046,2.5570073
android.sensor.accelerometer,1523388851038,2754847932254660,2.135628,4.8937483,1.0151415
android.sensor.accelerometer,1523388851058,2754847952276535,2.1739352,4.4723687,-0.038307227
android.sensor.accelerometer,1523388851078,2754847972267160,1.8866309,3.9552212,-0.24899697
android.sensor.accelerometer,1523388851097,2754847992257785,1.2258313,3.41892,-0.05746084
android.sensor.accelerometer,1523388851117,2754848012281223,0.60333884,3.0358477,0.89064306
android.sensor.accelerometer,1523388851137,2754848032271848,0.61291564,2.6431987,0.8619126
android.sensor.accelerometer,1523388851157,2754848052262473,1.5610195,2.1068976,0.0
android.sensor.accelerometer,1523388851177,2754848072284348,2.4133554,1.541866,-0.8714894
android.sensor.accelerometer,1523388851197,2754848092274973,2.5091233,0.6991069,-0.60333884
android.sensor.accelerometer,1523388851217,2754848112267160,2.3463178,-0.37349546,0.38307226
android.sensor.accelerometer,1523388851237,2754848132257785,2.5953147,-1.340753,0.9768343
android.sensor.accelerometer,1523388851257,2754848152279660,3.1124623,-2.4708161,1.1683705
android.sensor.accelerometer,1523388851278,2754848172270285,3.8115692,-3.9552212,2.528277
android.sensor.accelerometer,1523388851298,2754848192260910,4.606444,-7.067683,5.1810527
android.sensor.accelerometer,1523388851317,2754848212284348,5.209783,-8.992621,7.3166804
android.sensor.accelerometer,1523388851337,2754848232274973,6.751649,-10.6398325,9.385271
android.sensor.accelerometer,1523388851357,2754848252265598,9.911995,-13.158532,9.356541
android.sensor.accelerometer,1523388851377,2754848272256223,13.206416,-16.156073,9.433155
android.sensor.accelerometer,1523388851397,2754848292278098,16.213533,-19.546263,11.9614315
android.sensor.accelerometer,1523388851417,2754848312268723,17.84159,-21.614853,15.303738
android.sensor.accelerometer,1523388851437,2754848332260910,18.962078,-23.147142,14.518439
android.sensor.accelerometer,1523388851457,2754848352282785,19.737799,-24.631548,12.966996
android.sensor.accelerometer,1523388851477,2754848372273410,20.858286,-26.84379,11.980585
android.sensor.accelerometer,1523388851497,2754848392264035,21.911734,-29.18053,12.670115
android.sensor.accelerometer,1523388851517,2754848412256223,22.256498,-30.224401,14.049175
android.sensor.accelerometer,1523388851537,2754848432278098,20.54225,-28.902803,14.872781
android.sensor.accelerometer,1523388851557,2754848452268723,18.617311,-27.629087,14.5088625
android.sensor.accelerometer,1523388851577,2754848472259348,17.324444,-25.905262,13.704411
android.sensor.accelerometer,1523388851597,2754848492281223,17.03714,-24.009054,12.411542
android.sensor.accelerometer,1523388851617,2754848512273410,16.529568,-20.714634,9.002198
android.sensor.accelerometer,1523388851637,2754848532264035,16.098612,-18.799273,6.3206925
android.sensor.accelerometer,1523388851657,2754848552254660,16.060305,-17.803284,5.4300494
android.sensor.accelerometer,1523388851677,2754848572276535,14.259866,-16.060305,6.2728086
android.sensor.accelerometer,1523388851697,2754848592267160,11.932701,-14.144943,8.293514
android.sensor.accelerometer,1523388851717,2754848612257785,10.534488,-11.9614315,10.716447
android.sensor.accelerometer,1523388851737,2754848632281223,9.136273,-9.80665,13.053187
android.sensor.accelerometer,1523388851757,2754848652271848,8.331821,-8.130709,14.049175
android.sensor.accelerometer,1523388851777,2754848672262473,7.680599,-6.7612257,12.794614
android.sensor.accelerometer,1523388851797,2754848692284348,6.7229185,-6.090849,11.348516
android.sensor.accelerometer,1523388851817,2754848712276535,5.8226986,-5.1235914,10.362105
android.sensor.accelerometer,1523388851837,2754848732267160,4.759673,-4.2904096,9.969456
android.sensor.accelerometer,1523388851857,2754848752257785,4.3766007,-4.146757,10.371682
android.sensor.accelerometer,1523388851877,2754848772279660,4.7309427,-4.9416323,9.481039
android.sensor.accelerometer,1523388851897,2754848792270285,4.7788267,-6.1004257,9.519346
android.sensor.accelerometer,1523388851917,2754848812262473,5.104438,-7.441179,11.061212
android.sensor.accelerometer,1523388851937,2754848832284348,9.203311,-14.470555,17.372328
android.sensor.accelerometer,1523388851957,2754848852274973,9.56723,-18.550274,19.64203
android.sensor.accelerometer,1523388851977,2754848872265598,11.013328,-20.60929,13.570335
android.sensor.accelerometer,1523388851997,2754848892256223,12.354081,-24.574087,11.3964
android.sensor.accelerometer,1523388852017,2754848912278098,15.093047,-30.37763,13.158532
android.sensor.accelerometer,1523388852037,2754848932270285,21.375433,-37.320816,11.942278
android.sensor.accelerometer,1523388852057,2754848952260910,30.281862,-41.71657,11.003751
android.sensor.accelerometer,1523388852077,2754848972282785,36.305676,-48.04684,10.649409
android.sensor.accelerometer,1523388852097,2754848992273410,40.222588,-54.233456,15.284584
android.sensor.accelerometer,1523388852117,2754849012264035,44.848186,-61.808712,15.485697
android.sensor.accelerometer,1523388852137,2754849032256223,49.301403,-67.16215,17.199945
android.sensor.accelerometer,1523388852157,2754849052278098,56.847923,-72.36235,15.773001
android.sensor.accelerometer,1523388852177,2754849072268723,60.21896,-74.16279,15.418659
android.sensor.accelerometer,1523388852197,2754849092259348,61.320293,-73.82761,17.314867
android.sensor.accelerometer,1523388852217,2754849112281223,59.68266,-70.30334,16.912642
android.sensor.accelerometer,1523388852237,2754849132273410,55.478443,-64.499794,23.357832
android.sensor.accelerometer,1523388852257,2754849152264035,41.285614,-60.870186,23.223757
android.sensor.accelerometer,1523388852277,2754849172254660,33.38475,-55.315636,14.872781
android.sensor.accelerometer,1523388852297,2754849192278098,24.756046,-48.171337,1.4556746
android.sensor.accelerometer,1523388852317,2754849212267160,13.67568,-40.39497,-6.6750345
android.sensor.accelerometer,1523388852337,2754849232259348,5.2289367,-28.356924,-6.4547677
android.sensor.accelerometer,1523388852357,2754849252281223,2.7868507,-22.026655,-4.1659107
android.sensor.accelerometer,1523388852377,2754849272271848,2.7868507,-19.546263,-0.90021986
android.sensor.accelerometer,1523388852397,2754849292262473,2.7389667,-15.725117,-3.064578
android.sensor.accelerometer,1523388852417,2754849312284348,2.1260512,-12.698846,-4.663905
android.sensor.accelerometer,1523388852437,2754849332276535,-1.733402,-9.270349,-5.449203
android.sensor.accelerometer,1523388852457,2754849352267160,-4.175488,-6.2728086,-7.029376
android.sensor.accelerometer,1523388852477,2754849372257785,-4.76925,-4.654328,-7.690176
android.sensor.accelerometer,1523388852497,2754849392279660,-3.7445314,-3.0454245,-8.66701
android.sensor.accelerometer,1523388852517,2754849412270285,-2.4995465,-1.5610195,-9.423578
android.sensor.accelerometer,1523388852537,2754849432262473,-3.6487634,0.90021986,-9.088389
android.sensor.accelerometer,1523388852557,2754849452284348,-5.1523223,2.2888567,-9.557653
android.sensor.accelerometer,1523388852577,2754849472274973,-5.3725886,3.9456444,-4.7022123
android.sensor.accelerometer,1523388852597,2754849492265598,-4.5298295,4.55856,-2.4612393
android.sensor.accelerometer,1523388852617,2754849512256223,-3.3518825,5.4204726,-2.3080103
android.sensor.accelerometer,1523388852637,2754849532279660,-0.9864111,6.0238113,-1.7142484
android.sensor.accelerometer,1523388852657,2754849552270285,-0.48841715,6.646304,-2.2218192
android.sensor.accelerometer,1523388852677,2754849572260910,-1.0247183,7.335834,-2.480393
android.sensor.accelerometer,1523388852697,2754849592282785,-1.4939818,7.2783732,-2.8060043
android.sensor.accelerometer,1523388852717,2754849612273410,-1.7429788,7.201759,-1.8962077
android.sensor.accelerometer,1523388852737,2754849632264035,-2.566584,7.603985,-2.336741
android.sensor.accelerometer,1523388852757,2754849652256223,-2.1452048,8.034941,-3.466804
android.sensor.accelerometer,1523388852777,2754849672278098,-0.45010993,8.101978,-4.232949
android.sensor.accelerometer,1523388852797,2754849692268723,0.4213795,8.437167,-3.964798
android.sensor.accelerometer,1523388852817,2754849712259348,0.6895301,9.002198,-3.2369606
android.sensor.accelerometer,1523388852837,2754849732282785,0.15322891,9.260772,-3.2465374
android.sensor.accelerometer,1523388852857,2754849752273410,-0.61291564,9.222465,-3.6487634
android.sensor.accelerometer,1523388852877,2754849772264035,-1.0534488,9.404425,-3.1028855
android.sensor.accelerometer,1523388852897,2754849792254660,-0.038307227,9.586384,-3.5817258
android.sensor.accelerometer,1523388852917,2754849812276535,0.33518824,9.471462,-3.8307228
android.sensor.accelerometer,1523388852937,2754849832267160,-0.7757214,9.433155,-3.763685
android.sensor.accelerometer,1523388852957,2754849852259348,-2.0494366,9.414001,-3.8977604
android.sensor.accelerometer,1523388852977,2754849872281223,-2.2122424,9.232041,-3.8019924
android.sensor.accelerometer,1523388852997,2754849892271848,-1.7525556,8.896853,-3.7253778
android.sensor.accelerometer,1523388853017,2754849912262473,-1.6567876,9.088389,-3.8881836
android.sensor.accelerometer,1523388853037,2754849932254660,-1.4460979,8.810662,-4.8362875
android.sensor.accelerometer,1523388853057,2754849952276535,-2.4037786,9.586384,-5.1906295
android.sensor.accelerometer,1523388853077,2754849972267160,-0.038307227,9.136273,-2.2409728
android.sensor.accelerometer,1523388853097,2754849992257785,0.34476504,9.595961,-0.05746084
android.sensor.accelerometer,1523388853117,2754850012281223,0.25857377,9.844957,-0.17238252
android.sensor.accelerometer,1523388853137,2754850032271848,-0.4213795,9.749189,-2.2601264
android.sensor.accelerometer,1523388853157,2754850052262473,-0.58418524,9.337387,-3.3039982
