Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523388949144,2754946032256223,0.0,0.0,0.0
android.sensor.gyroscope,1523388949157,2754946052278098,0.0,0.0,0.0
android.sensor.gyroscope,1523388949177,2754946072268723,0.0,0.0,0.0
android.sensor.gyroscope,1523388949197,2754946092259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388949217,2754946112282785,0.0,0.0,0.0
android.sensor.gyroscope,1523388949237,2754946132273410,0.0,0.0,0.0
android.sensor.gyroscope,1523388949257,2754946152264035,-0.010349803,-0.0076270886,-0.037350047
android.sensor.gyroscope,1523388949277,2754946172254660,0.0,0.0,0.0
android.sensor.gyroscope,1523388949297,2754946192276535,0.0,0.0,0.0
android.sensor.gyroscope,1523388949317,2754946212267160,0.0,0.0,0.0
android.sensor.gyroscope,1523388949337,2754946232259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388949357,2754946252281223,-0.002984513,-0.002443461,-0.055902895
android.sensor.gyroscope,1523388949377,2754946272271848,-0.002443461,-0.0021816615,-0.039531708
android.sensor.gyroscope,1523388949397,2754946292262473,-0.0027227136,-0.0021816615,-0.03926991
android.sensor.gyroscope,1523388949417,2754946312284348,0.0,0.0,0.0
android.sensor.gyroscope,1523388949437,2754946332276535,-0.002984513,-0.0021816615,-0.056164697
android.sensor.gyroscope,1523388949457,2754946352267160,-0.002443461,-0.0016231562,-0.039531708
android.sensor.gyroscope,1523388949477,2754946372257785,-0.0032637657,-0.0019024089,-0.056164697
android.sensor.gyroscope,1523388949497,2754946392279660,-0.0019024089,-0.0016231562,-0.039531708
android.sensor.gyroscope,1523388949517,2754946412271848,0.0,0.0,0.0
android.sensor.gyroscope,1523388949537,2754946432262473,-0.0027227136,-0.0021816615,-0.056164697
android.sensor.gyroscope,1523388949557,2754946452284348,-0.002984513,-0.013631022,-0.037088245
android.sensor.gyroscope,1523388949577,2754946472274973,-0.0035430184,-0.013892821,-0.036808994
android.sensor.gyroscope,1523388949597,2754946492265598,-0.008988446,-0.031625368,-0.022078415
android.sensor.gyroscope,1523388949617,2754946512257785,-0.006806784,-0.020996312,-0.032724924
android.sensor.gyroscope,1523388949637,2754946532279660,0.0,0.0,0.0
android.sensor.gyroscope,1523388949657,2754946552270285,-0.00572468,-0.014451326,-0.03626794
android.sensor.gyroscope,1523388949677,2754946572260910,-0.0032637657,-0.009267698,-0.03817035
android.sensor.gyroscope,1523388949697,2754946592282785,0.0,0.0,0.0
android.sensor.gyroscope,1523388949717,2754946612273410,0.0,0.0,0.0
android.sensor.gyroscope,1523388949737,2754946632265598,-0.0046251225,-0.01144936,-0.0376293
android.sensor.gyroscope,1523388949757,2754946652256223,-0.00572468,-0.011711159,-0.037350047
android.sensor.gyroscope,1523388949777,2754946672278098,-0.0070860367,-0.012269665,-0.036808994
android.sensor.gyroscope,1523388949797,2754946692268723,-0.008447394,-0.0155334305,-0.03544764
android.sensor.gyroscope,1523388949817,2754946712259348,-0.016074482,-0.016074482,-0.032166418
android.sensor.gyroscope,1523388949837,2754946732282785,0.0,0.0,0.0
android.sensor.gyroscope,1523388949857,2754946752273410,8.0285146E-4,-5.410521E-4,0.039531708
android.sensor.gyroscope,1523388949877,2754946772264035,5.410521E-4,0.0010821042,0.039531708
android.sensor.gyroscope,1523388949897,2754946792254660,0.0,2.6179937E-4,0.039531708
android.sensor.gyroscope,1523388949917,2754946812276535,-5.410521E-4,-2.6179937E-4,0.039531708
android.sensor.gyroscope,1523388949937,2754946832267160,-5.410521E-4,2.6179937E-4,0.039531708
android.sensor.gyroscope,1523388949957,2754946852259348,0.0,0.0019024089,0.039531708
android.sensor.gyroscope,1523388949977,2754946872281223,0.0,0.002984513,0.039531708
android.sensor.gyroscope,1523388949997,2754946892271848,-0.00408407,0.00408407,0.055902895
android.sensor.gyroscope,1523388950018,2754946912262473,0.0,0.017174039,-0.03544764
android.sensor.gyroscope,1523388950037,2754946932254660,-0.0013613568,0.018256145,-0.035168383
android.sensor.gyroscope,1523388950057,2754946952276535,-0.0035430184,0.019355701,-0.052621678
android.sensor.gyroscope,1523388950077,2754946972267160,-0.0035430184,0.012810716,-0.037088245
android.sensor.gyroscope,1523388950097,2754946992257785,-0.011170107,0.026720991,-0.026720991
android.sensor.gyroscope,1523388950118,2754947012279660,-0.020437805,0.02698279,-0.020437805
android.sensor.gyroscope,1523388950137,2754947032271848,0.0,0.0,0.0
android.sensor.gyroscope,1523388950157,2754947052262473,0.0,0.0,0.0
android.sensor.gyroscope,1523388950177,2754947072284348,0.0,0.0,0.0
android.sensor.gyroscope,1523388950197,2754947092274973,0.0,0.0,0.0
android.sensor.gyroscope,1523388950218,2754947112267160,-2.6179937E-4,-0.0019024089,0.039531708
android.sensor.gyroscope,1523388950238,2754947132257785,-2.6179937E-4,-0.002443461,0.06843436
android.sensor.gyroscope,1523388950258,2754947152279660,0.0,-0.0019024089,0.056164697
android.sensor.gyroscope,1523388950278,2754947172270285,0.0,-8.0285146E-4,0.039531708
android.sensor.gyroscope,1523388950298,2754947192260910,2.6179937E-4,-8.0285146E-4,0.056164697
android.sensor.gyroscope,1523388950318,2754947212282785,0.0,-2.6179937E-4,0.039531708
android.sensor.gyroscope,1523388950338,2754947232274973,-5.410521E-4,2.6179937E-4,0.056164697
android.sensor.gyroscope,1523388950358,2754947252265598,-8.0285146E-4,2.6179937E-4,0.056164697
android.sensor.gyroscope,1523388950378,2754947272256223,-5.410521E-4,2.6179937E-4,0.039531708
android.sensor.gyroscope,1523388950398,2754947292278098,-8.0285146E-4,2.6179937E-4,0.039531708
android.sensor.gyroscope,1523388950418,2754947312268723,-8.0285146E-4,5.410521E-4,0.039531708
android.sensor.gyroscope,1523388950438,2754947332259348,-5.410521E-4,0.0010821042,0.039531708
android.sensor.gyroscope,1523388950458,2754947352282785,-0.0021816615,0.006544985,0.038990654
android.sensor.gyroscope,1523388950478,2754947372273410,-0.019076448,0.019076448,0.028902652
android.sensor.gyroscope,1523388950498,2754947392264035,0.0032637657,-0.0027227136,-0.055902895
android.sensor.gyroscope,1523388950518,2754947412254660,8.0285146E-4,-0.0010821042,-0.039531708
android.sensor.gyroscope,1523388950538,2754947432278098,5.410521E-4,8.0285146E-4,-0.056164697
android.sensor.gyroscope,1523388950558,2754947452268723,-5.410521E-4,5.410521E-4,-0.056164697
android.sensor.gyroscope,1523388950578,2754947472259348,-0.0013613568,2.6179937E-4,-0.056164697
android.sensor.gyroscope,1523388950598,2754947492281223,-0.0013613568,2.6179937E-4,-0.039531708
android.sensor.gyroscope,1523388950618,2754947512271848,-0.0016231562,8.0285146E-4,-0.056164697
android.sensor.gyroscope,1523388950638,2754947532262473,-0.002443461,8.0285146E-4,-0.056164697
android.sensor.gyroscope,1523388950658,2754947552254660,-0.002443461,5.410521E-4,-0.039531708
android.sensor.gyroscope,1523388950678,2754947572276535,-0.0035430184,5.410521E-4,-0.056164697
android.sensor.gyroscope,1523388950698,2754947592267160,-0.004363323,5.410521E-4,-0.06843436
android.sensor.gyroscope,1523388950718,2754947612257785,-0.0032637657,-2.6179937E-4,-0.039531708
android.sensor.gyroscope,1523388950738,2754947632281223,-0.0035430184,-2.6179937E-4,-0.03926991
android.sensor.gyroscope,1523388950758,2754947652271848,-0.0038048178,2.6179937E-4,-0.03926991
android.sensor.gyroscope,1523388950778,2754947672262473,-0.0049043754,0.0,-0.03926991
android.sensor.gyroscope,1523388950798,2754947692284348,-0.002984513,-2.6179937E-4,-0.039531708
android.sensor.gyroscope,1523388950818,2754947712274973,-0.0032637657,-2.6179937E-4,-0.03926991
android.sensor.gyroscope,1523388950838,2754947732265598,-0.0035430184,-2.6179937E-4,-0.03926991
android.sensor.gyroscope,1523388950858,2754947752257785,-0.00408407,-5.410521E-4,-0.03926991
android.sensor.gyroscope,1523388950878,2754947772279660,-0.004363323,-2.6179937E-4,-0.03926991
android.sensor.gyroscope,1523388950898,2754947792270285,-0.006265732,-5.410521E-4,-0.038990654
android.sensor.gyroscope,1523388950918,2754947812260910,-0.010088003,-0.0016231562,-0.03817035
android.sensor.gyroscope,1523388950938,2754947832284348,-0.027262043,-0.008988446,-0.027262043
android.sensor.gyroscope,1523388950958,2754947852274973,-0.002984513,-0.0010821042,0.039531708
android.sensor.gyroscope,1523388950978,2754947872265598,0.0,0.0,0.0
android.sensor.gyroscope,1523388950998,2754947892256223,-0.0013613568,0.0,0.039531708
android.sensor.gyroscope,1523388951018,2754947912278098,-5.410521E-4,-2.6179937E-4,0.039531708
android.sensor.gyroscope,1523388951038,2754947932268723,-2.6179937E-4,-5.410521E-4,0.039531708
android.sensor.gyroscope,1523388951058,2754947952260910,-2.6179937E-4,-2.6179937E-4,0.056164697
android.sensor.gyroscope,1523388951078,2754947972282785,-2.6179937E-4,2.6179937E-4,0.056164697
android.sensor.gyroscope,1523388951097,2754947992273410,-5.410521E-4,5.410521E-4,0.056164697
android.sensor.gyroscope,1523388951118,2754948012264035,-5.410521E-4,8.0285146E-4,0.056164697
android.sensor.gyroscope,1523388951138,2754948032256223,-2.6179937E-4,5.410521E-4,0.039531708
android.sensor.gyroscope,1523388951158,2754948052278098,-2.6179937E-4,8.0285146E-4,0.039531708
