Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523343195562,2709192449433827,-0.06703765,3.064578,9.346964
android.sensor.accelerometer,1523343195574,2709192469424452,-0.37349546,3.074155,9.490616
android.sensor.accelerometer,1523343195594,2709192489416640,-0.92895025,3.1507695,9.519346
android.sensor.accelerometer,1523343195614,2709192509438515,-1.3694834,3.0358477,9.672575
android.sensor.accelerometer,1523343195634,2709192529429140,-1.8004397,2.633622,9.9790325
android.sensor.accelerometer,1523343195654,2709192549419765,-2.5091233,2.4133554,10.94629
android.sensor.accelerometer,1523343195674,2709192569410390,-2.9592333,2.1452048,10.97502
android.sensor.accelerometer,1523343195694,2709192589432265,-3.0262709,2.1547816,10.486604
android.sensor.accelerometer,1523343195714,2709192609424452,-2.9975405,2.1739352,9.950302
android.sensor.accelerometer,1523343195734,2709192629415077,-3.016694,2.327164,9.701305
android.sensor.accelerometer,1523343195754,2709192649436952,-2.4612393,2.3942018,9.232041
android.sensor.accelerometer,1523343195774,2709192669427577,-1.8770541,2.5187001,9.557653
android.sensor.accelerometer,1523343195794,2709192689418202,-1.5227122,2.480393,10.352529
android.sensor.accelerometer,1523343195814,2709192709410390,-2.4037786,2.6144683,10.888829
android.sensor.accelerometer,1523343195834,2709192729432265,-3.2465374,2.7006595,10.6877165
android.sensor.accelerometer,1523343195854,2709192749422890,-3.5817258,2.4229321,10.036493
android.sensor.accelerometer,1523343195874,2709192769413515,-5.9184666,1.9632454,11.865664
android.sensor.accelerometer,1523343195894,2709192789436952,-9.078813,0.9672575,14.18325
android.sensor.accelerometer,1523343195914,2709192809427577,-8.341399,0.11492168,14.058752
android.sensor.accelerometer,1523343195934,2709192829418202,-6.9527617,-0.6991069,13.723564
android.sensor.accelerometer,1523343195954,2709192849408827,-4.6160207,-1.283292,12.248735
android.sensor.accelerometer,1523343195974,2709192869430702,-2.135628,-1.9919758,11.463438
android.sensor.accelerometer,1523343195994,2709192889421327,0.36391866,-2.719813,10.7356
android.sensor.accelerometer,1523343196014,2709192909413515,2.2218192,-2.9113493,9.758766
android.sensor.accelerometer,1523343196034,2709192929435390,4.654328,-2.9879637,9.040505
android.sensor.accelerometer,1523343196054,2709192949426015,6.895301,-2.528277,8.8777
android.sensor.accelerometer,1523343196074,2709192969416640,8.781932,-3.0454245,7.8529816
android.sensor.accelerometer,1523343196094,2709192989408827,10.036493,-3.763685,5.48751
android.sensor.accelerometer,1523343196114,2709193009430702,12.832921,-4.367024,2.920926
android.sensor.accelerometer,1523343196134,2709193029421327,15.8304615,-3.6583402,3.6583402
android.sensor.accelerometer,1523343196154,2709193049411952,16.376339,-2.825158,1.4173675
