Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523343189300,2709186189427577,-0.03598869,0.09489355,0.059986968
android.sensor.gyroscope,1523343189314,2709186209419765,-0.036808994,0.09871582,0.06407104
android.sensor.gyroscope,1523343189334,2709186229410390,-0.030543262,0.08234464,0.056164697
android.sensor.gyroscope,1523343189354,2709186249432265,-0.029722957,0.07579965,0.05071927
android.sensor.gyroscope,1523343189374,2709186269422890,-0.025080381,0.06653195,0.050981067
android.sensor.gyroscope,1523343189394,2709186289413515,-0.021537364,0.06571165,0.053441983
android.sensor.gyroscope,1523343189414,2709186309435390,-0.022619467,0.07171558,0.059707712
android.sensor.gyroscope,1523343189434,2709186329427577,-0.016353736,0.052080624,0.04117232
android.sensor.gyroscope,1523343189454,2709186349418202,-0.02125811,0.046076693,0.023998277
android.sensor.gyroscope,1523343189474,2709186369408827,-0.016632987,0.03408628,0.01144936
android.sensor.gyroscope,1523343189494,2709186389430702,-0.021537364,0.046076693,0.023998277
android.sensor.gyroscope,1523343189514,2709186409421327,-0.014992379,0.03244567,0.016894788
android.sensor.gyroscope,1523343189534,2709186429413515,-0.014992379,0.03244567,0.016894788
android.sensor.gyroscope,1523343189554,2709186449435390,0.0,0.0,0.0
android.sensor.gyroscope,1523343189574,2709186469427577,-0.014713125,0.047438048,0.02617994
android.sensor.gyroscope,1523343189594,2709186489416640,-0.020996312,0.11234684,0.07253588
android.sensor.gyroscope,1523343189614,2709186509408827,-0.023177972,0.19388862,0.14861478
android.sensor.gyroscope,1523343189634,2709186529430702,-0.031625368,0.31442106,0.25225243
android.sensor.gyroscope,1523343189654,2709186549421327,-0.046617743,0.47095963,0.37604862
android.sensor.gyroscope,1523343189674,2709186569411952,-0.08098327,0.68148124,0.50913
android.sensor.gyroscope,1523343189694,2709186589433827,-0.13798574,0.89366096,0.5966757
android.sensor.gyroscope,1523343189714,2709186609424452,-0.18133971,0.99345887,0.6094864
android.sensor.gyroscope,1523343189734,2709186629416640,-0.21242402,1.0272833,0.58822834
android.sensor.gyroscope,1523343189754,2709186649438515,-0.26424286,1.0654536,0.5489584
android.sensor.gyroscope,1523343189774,2709186669429140,-0.35479054,1.062731,0.4374144
android.sensor.gyroscope,1523343189794,2709186689419765,-0.4155978,0.9912772,0.32096604
android.sensor.gyroscope,1523343189814,2709186709410390,-0.43251005,0.89638364,0.25933847
android.sensor.gyroscope,1523343189835,2709186729433827,-0.4641354,0.7971093,0.1985312
android.sensor.gyroscope,1523343189854,2709186749424452,-0.5661324,0.6225764,0.031346112
android.sensor.gyroscope,1523343189874,2709186769415077,-0.66240484,0.4055098,-0.1502554
android.sensor.gyroscope,1523343189894,2709186789438515,-0.7218507,0.23315853,-0.25715682
android.sensor.gyroscope,1523343189914,2709186809427577,-0.7873006,0.058346357,-0.34414402
android.sensor.gyroscope,1523343189934,2709186829418202,-0.84292424,-0.15515977,-0.4265061
android.sensor.gyroscope,1523343189954,2709186849410390,-0.89392275,-0.3790506,-0.49604002
android.sensor.gyroscope,1523343189974,2709186869432265,-0.94328064,-0.61877155,-0.55550337
android.sensor.gyroscope,1523343189994,2709186889422890,-0.98146844,-0.8677428,-0.60786325
android.sensor.gyroscope,1523343190014,2709186909413515,-1.0308263,-1.0946356,-0.644393
android.sensor.gyroscope,1523343190035,2709186929436952,-1.0864675,-1.3215284,-0.6757566
android.sensor.gyroscope,1523343190055,2709186949427577,-1.1630874,-1.5863297,-0.75783944
android.sensor.gyroscope,1523343190075,2709186969418202,-1.296448,-1.8786724,-0.917921
android.sensor.gyroscope,1523343190095,2709186989408827,-1.5045261,-2.1737378,-1.1371868
android.sensor.gyroscope,1523343190115,2709187009432265,-1.755138,-2.4254491,-1.3425248
android.sensor.gyroscope,1523343190135,2709187029421327,-2.050762,-2.6542618,-1.5495207
android.sensor.gyroscope,1523343190155,2709187049413515,-2.3673646,-2.8555157,-1.745591
android.sensor.gyroscope,1523343190175,2709187069435390,-2.6689749,-3.0014079,-1.8819536
android.sensor.gyroscope,1523343190195,2709187089426015,-2.9206862,-3.0720413,-1.92721
android.sensor.gyroscope,1523343190215,2709187109416640,-3.0715003,-3.0654962,-1.8756704
android.sensor.gyroscope,1523343190235,2709187129408827,-3.0848694,-2.9804115,-1.732501
