Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523388917808,2754914692274973,1.1971009,3.667917,9.461885
android.sensor.accelerometer,1523388917818,2754914712265598,1.1971009,3.6774938,9.5385
android.sensor.accelerometer,1523388917837,2754914732256223,1.2737153,3.7732618,9.088389
android.sensor.accelerometer,1523388917857,2754914752278098,1.2737153,3.8307228,8.724471
android.sensor.accelerometer,1523388917877,2754914772268723,1.1779473,3.7541082,9.222465
android.sensor.accelerometer,1523388917897,2754914792259348,1.1204864,3.7349546,9.461885
android.sensor.accelerometer,1523388917917,2754914812282785,1.1779473,3.7732618,9.050082
android.sensor.accelerometer,1523388917937,2754914832273410,1.3024458,3.821146,9.021352
android.sensor.accelerometer,1523388917957,2754914852264035,1.3120226,3.7732618,9.193734
android.sensor.accelerometer,1523388917977,2754914872254660,1.2354081,3.7445314,9.184157
android.sensor.accelerometer,1523388917997,2754914892278098,1.2545617,3.715801,8.992621
android.sensor.accelerometer,1523388918017,2754914912268723,1.3215994,3.7445314,8.916007
android.sensor.accelerometer,1523388918037,2754914932259348,1.2354081,3.7445314,9.021352
android.sensor.accelerometer,1523388918057,2754914952281223,1.2545617,3.7828386,9.203311
android.sensor.accelerometer,1523388918077,2754914972271848,1.2737153,3.7541082,9.222465
android.sensor.accelerometer,1523388918097,2754914992264035,1.2641385,3.8115692,10.180145
android.sensor.accelerometer,1523388918117,2754915012254660,1.3599066,3.9839516,11.18571
android.sensor.accelerometer,1523388918137,2754915032276535,1.4652514,4.3957543,13.196839
android.sensor.accelerometer,1523388918157,2754915052267160,1.3503298,4.7405195,15.734694
android.sensor.accelerometer,1523388918177,2754915072257785,2.2697031,5.554548,16.452953
android.sensor.accelerometer,1523388918197,2754915092279660,2.834735,6.2823853,15.907076
android.sensor.accelerometer,1523388918217,2754915112271848,3.9264908,6.588843,13.781025
android.sensor.accelerometer,1523388918237,2754915132262473,3.6008794,6.4739213,13.88637
android.sensor.accelerometer,1523388918257,2754915152284348,5.171476,5.7269306,12.373235
android.sensor.accelerometer,1523388918277,2754915172274973,6.0716953,5.1140146,11.425131
android.sensor.accelerometer,1523388918297,2754915192265598,5.851429,4.232949,8.523358
android.sensor.accelerometer,1523388918317,2754915212257785,5.707777,3.5242648,4.146757
android.sensor.accelerometer,1523388918337,2754915232279660,4.596867,2.585738,1.8100165
android.sensor.accelerometer,1523388918357,2754915252270285,1.8579005,1.5610195,-1.8004397
android.sensor.accelerometer,1523388918377,2754915272260910,-1.043872,1.0534488,-5.3247046
android.sensor.accelerometer,1523388918397,2754915292282785,-4.223372,0.92895025,-9.040505
android.sensor.accelerometer,1523388918417,2754915312274973,-4.31914,1.1204864,-8.1402855
android.sensor.accelerometer,1523388918437,2754915332265598,-3.6774938,1.1204864,-7.3166804
android.sensor.accelerometer,1523388918457,2754915352256223,-5.1906295,0.63206923,-7.565677
android.sensor.accelerometer,1523388918477,2754915372278098,-8.0445175,0.7661445,-7.0964136
android.sensor.accelerometer,1523388918497,2754915392268723,-7.6231384,-0.076614454,-5.554548
android.sensor.accelerometer,1523388918517,2754915412259348,-7.192182,-1.1683705,-3.9264908
android.sensor.accelerometer,1523388918537,2754915432282785,-5.947197,-2.777274,-1.3215994
android.sensor.accelerometer,1523388918557,2754915452273410,-3.6870706,-4.0222588,2.078167
android.sensor.accelerometer,1523388918577,2754915472264035,-1.934515,-5.3342814,2.384625
android.sensor.accelerometer,1523388918597,2754915492254660,1.3120226,-6.6175733,1.5131354
android.sensor.accelerometer,1523388918617,2754915512278098,6.1866174,-7.1826053,0.02873042
android.sensor.accelerometer,1523388918637,2754915532268723,9.490616,-7.5944076,-2.135628
android.sensor.accelerometer,1523388918657,2754915552259348,14.5759,-7.5944076,-2.633622
android.sensor.accelerometer,1523388918677,2754915572281223,18.55985,-7.383718,-1.4748282
android.sensor.accelerometer,1523388918697,2754915592273410,20.226215,-6.895301,1.8962077
android.sensor.accelerometer,1523388918717,2754915612264035,21.155167,-7.565677,1.4748282
android.sensor.accelerometer,1523388918737,2754915632254660,22.017078,-7.517793,-8.1881695
android.sensor.accelerometer,1523388918757,2754915652276535,24.085669,-6.6750345,-18.713081
android.sensor.accelerometer,1523388918777,2754915672267160,26.87252,-5.9759274,-23.108835
android.sensor.accelerometer,1523388918797,2754915692257785,27.2939,-5.267244,-19.421764
android.sensor.accelerometer,1523388918817,2754915712281223,27.35136,-4.3861775,-14.824897
android.sensor.accelerometer,1523388918837,2754915732271848,26.431986,-2.825158,-14.365211
android.sensor.accelerometer,1523388918857,2754915752262473,27.897238,-1.3215994,-16.270994
android.sensor.accelerometer,1523388918877,2754915772284348,29.621063,0.50757074,-20.245369
android.sensor.accelerometer,1523388918897,2754915792276535,30.703243,2.2409728,-23.501484
android.sensor.accelerometer,1523388918917,2754915812265598,29.525295,3.323152,-22.783224
android.sensor.accelerometer,1523388918937,2754915832257785,27.02575,3.1890767,-16.395493
android.sensor.accelerometer,1523388918957,2754915852279660,26.757599,4.2999864,-12.603078
android.sensor.accelerometer,1523388918977,2754915872270285,26.987442,5.506664,-17.908628
android.sensor.accelerometer,1523388918997,2754915892262473,27.925968,5.6982,-19.220652
android.sensor.accelerometer,1523388919017,2754915912282785,26.489449,6.1770406,-14.010868
android.sensor.accelerometer,1523388919038,2754915932274973,24.918852,5.899313,-13.713987
android.sensor.accelerometer,1523388919058,2754915952265598,24.38255,4.7405195,-14.15452
android.sensor.accelerometer,1523388919078,2754915972256223,23.137566,2.0590134,-17.085024
android.sensor.accelerometer,1523388919098,2754915992279660,23.175873,-2.8538885,-20.523096
android.sensor.accelerometer,1523388919118,2754916012270285,26.039337,-9.097966,-24.095245
android.sensor.accelerometer,1523388919138,2754916032260910,32.03442,-19.785683,-24.238897
android.sensor.accelerometer,1523388919158,2754916052282785,32.733524,-34.61058,-24.277205
android.sensor.accelerometer,1523388919178,2754916072273410,28.299463,-50.89115,-21.873426
android.sensor.accelerometer,1523388919198,2754916092265598,21.059399,-66.443886,-16.376339
