Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523388901617,2754898512264035,-0.017453292,-0.0016231562,-0.03544764
android.sensor.gyroscope,1523388901637,2754898532256223,0.0,0.0,0.0
android.sensor.gyroscope,1523388901657,2754898552278098,0.0,0.0,0.0
android.sensor.gyroscope,1523388901677,2754898572268723,0.0,0.0,0.0
android.sensor.gyroscope,1523388901697,2754898592259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388901717,2754898612281223,-0.016074482,0.034348078,0.04145157
android.sensor.gyroscope,1523388901737,2754898632273410,-0.026720991,0.032986723,0.036808994
android.sensor.gyroscope,1523388901757,2754898652264035,-0.02125811,0.032724924,0.040631264
android.sensor.gyroscope,1523388901777,2754898672254660,-0.027262043,0.020176006,0.020437805
android.sensor.gyroscope,1523388901797,2754898692276535,0.0,0.0,0.0
android.sensor.gyroscope,1523388901817,2754898712267160,0.0,0.0,0.0
android.sensor.gyroscope,1523388901837,2754898732259348,0.0,0.0,0.0
android.sensor.gyroscope,1523388901857,2754898752281223,0.0,0.0,0.0
android.sensor.gyroscope,1523388901877,2754898772271848,0.0,0.0,0.0
android.sensor.gyroscope,1523388901897,2754898792262473,0.0,0.0,0.0
android.sensor.gyroscope,1523388901917,2754898812285910,0.0,0.0,0.0
android.sensor.gyroscope,1523388901937,2754898832276535,0.0,0.0,0.0
android.sensor.gyroscope,1523388901957,2754898852267160,-0.04907866,-0.002984513,-0.027262043
android.sensor.gyroscope,1523388901977,2754898872257785,-0.053441983,-0.022078415,-0.05235988
android.sensor.gyroscope,1523388901997,2754898892279660,-0.067073,-0.029164452,-0.07417649
android.sensor.gyroscope,1523388902017,2754898912271848,-0.06899287,-0.03981096,-0.08670796
android.sensor.gyroscope,1523388902037,2754898932262473,-0.09599311,-0.06270968,-0.14316936
android.sensor.gyroscope,1523388902057,2754898952284348,-0.08698721,-0.06517059,-0.13770647
android.sensor.gyroscope,1523388902077,2754898972274973,-0.04935791,-0.033807028,-0.07497934
android.sensor.gyroscope,1523388902097,2754898992265598,-0.025900686,-0.002443461,-0.029722957
android.sensor.gyroscope,1523388902117,2754899012256223,0.0,0.0,0.0
android.sensor.gyroscope,1523388902137,2754899032279660,0.01308997,-0.036529742,-0.040631264
android.sensor.gyroscope,1523388902157,2754899052268723,-8.0285146E-4,-0.08208284,-0.12135274
android.sensor.gyroscope,1523388902177,2754899072260910,0.03981096,-0.09080948,-0.16442747
android.sensor.gyroscope,1523388902197,2754899092282785,0.10608111,-0.042533673,-0.1693493
android.sensor.gyroscope,1523388902217,2754899112274973,0.16606808,0.040893063,-0.16634732
android.sensor.gyroscope,1523388902237,2754899132264035,0.2604206,0.16224581,-0.19198622
android.sensor.gyroscope,1523388902257,2754899152256223,0.25715682,0.14453071,-0.3040538
android.sensor.gyroscope,1523388902277,2754899172278098,0.12161454,-0.049898963,-0.55794686
android.sensor.gyroscope,1523388902297,2754899192268723,-0.16524777,-0.3040538,-0.93811446
android.sensor.gyroscope,1523388902317,2754899212259348,-0.64002967,-0.69348913,-1.4232461
android.sensor.gyroscope,1523388902337,2754899232282785,-1.3458059,-1.4486233,-2.0109334
android.sensor.gyroscope,1523388902357,2754899252273410,-2.2356446,-2.608988,-2.6837056
android.sensor.gyroscope,1523388902377,2754899272264035,-3.6537247,-3.8795352,-3.4682834
android.sensor.gyroscope,1523388902397,2754899292254660,-5.1342525,-4.4808536,-3.5151978
android.sensor.gyroscope,1523388902417,2754899312278098,-5.8760176,-4.5893955,-2.906235
android.sensor.gyroscope,1523388902437,2754899332268723,-6.0347376,-4.584753,-2.2615628
android.sensor.gyroscope,1523388902457,2754899352259348,-5.920209,-4.6120324,-1.7030574
android.sensor.gyroscope,1523388902477,2754899372281223,-5.6848516,-4.6518435,-1.3027138
android.sensor.gyroscope,1523388902497,2754899392271848,-5.334965,-4.5727625,-1.0572855
android.sensor.gyroscope,1523388902517,2754899412262473,-4.8435507,-4.373673,-0.914919
android.sensor.gyroscope,1523388902537,2754899432284348,-4.271135,-4.1219616,-0.7990292
android.sensor.gyroscope,1523388902557,2754899452276535,-3.7551806,-3.9147036,-0.6975732
android.sensor.gyroscope,1523388902577,2754899472267160,-3.3622022,-3.7161725,-0.62421703
android.sensor.gyroscope,1523388902597,2754899492257785,-3.0155973,-3.4767482,-0.56531215
android.sensor.gyroscope,1523388902617,2754899512281223,-2.5967183,-3.2566621,-0.5454154
android.sensor.gyroscope,1523388902637,2754899532270285,-2.2195528,-3.0638556,-0.56505036
android.sensor.gyroscope,1523388902657,2754899552262473,-1.7229542,-2.8754299,-0.61522853
android.sensor.gyroscope,1523388902677,2754899572284348,-1.121374,-2.731702,-0.6973114
android.sensor.gyroscope,1523388902697,2754899592274973,0.02617994,-2.7846029,-0.8892976
android.sensor.gyroscope,1523388902717,2754899612265598,6.295996,-3.882258,-2.088391
android.sensor.gyroscope,1523388902737,2754899632256223,-7.4800973,-3.948528,-2.7996128
android.sensor.gyroscope,1523388902757,2754899652279660,-7.5684457,-3.5599132,-2.8116033
android.sensor.gyroscope,1523388902777,2754899672268723,-8.355763,-3.2122087,-2.639252
android.sensor.gyroscope,1523388902797,2754899692260910,8.581278,-2.937878,-2.4099157
android.sensor.gyroscope,1523388902817,2754899712282785,7.6524487,-2.741249,-2.1374698
android.sensor.gyroscope,1523388902837,2754899732274973,6.607694,-2.552806,-1.6801412
android.sensor.gyroscope,1523388902857,2754899752265598,5.451972,-2.3193681,-1.063272
android.sensor.gyroscope,1523388902877,2754899772256223,4.3199515,-2.0463986,-0.43769366
android.sensor.gyroscope,1523388902897,2754899792278098,3.3207507,-1.7995915,0.10143854
android.sensor.gyroscope,1523388902917,2754899812268723,2.4497266,-1.5784234,0.5983163
android.sensor.gyroscope,1523388902937,2754899832259348,1.702237,-1.3016317,1.1317239
android.sensor.gyroscope,1523388902957,2754899852282785,1.2650845,-0.98965406,1.596156
android.sensor.gyroscope,1523388902977,2754899872273410,1.1107275,-0.6433109,1.9937594
android.sensor.gyroscope,1523388902997,2754899892264035,1.2607211,-0.44450045,2.183564
android.sensor.gyroscope,1523388903017,2754899912254660,1.5590677,-0.37524578,2.2362032
android.sensor.gyroscope,1523388903037,2754899932278098,1.9277685,-0.3605152,2.2318397
android.sensor.gyroscope,1523388903057,2754899952268723,2.2653675,-0.29152235,2.266467
android.sensor.gyroscope,1523388903077,2754899972259348,2.5939956,-0.36269686,2.313364
android.sensor.gyroscope,1523388903097,2754899992281223,2.9831343,-0.6992138,2.3935444
android.sensor.gyroscope,1523388903118,2754900012271848,3.396847,-1.2083613,2.4148202
android.sensor.gyroscope,1523388903138,2754900032262473,3.6392732,-1.7145067,2.2923677
android.sensor.gyroscope,1523388903158,2754900052254660,3.793351,-2.1988356,2.0556662
android.sensor.gyroscope,1523388903177,2754900072276535,3.8249938,-2.57272,1.7611419
android.sensor.gyroscope,1523388903197,2754900092267160,3.6957347,-2.7674289,1.4475237
android.sensor.gyroscope,1523388903217,2754900112257785,3.4292927,-2.6997974,1.2130039
android.sensor.gyroscope,1523388903237,2754900132281223,2.8124235,-2.4104567,1.0649127
android.sensor.gyroscope,1523388903257,2754900152271848,2.2419279,-2.1374698,1.0084687
