Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523388804884,2754801772271848,2.7389667,5.2289367,7.690176
android.sensor.accelerometer,1523388804897,2754801792262473,2.7964275,5.257667,7.8625584
android.sensor.accelerometer,1523388804917,2754801812284348,3.016694,5.2768207,7.6135616
android.sensor.accelerometer,1523388804937,2754801832276535,3.1507695,5.305551,7.4603324
android.sensor.accelerometer,1523388804957,2754801852267160,2.8060043,5.3342814,7.728483
android.sensor.accelerometer,1523388804977,2754801872257785,2.6719291,5.2863975,7.8146744
android.sensor.accelerometer,1523388804997,2754801892279660,2.8538885,5.3438582,7.7189064
android.sensor.accelerometer,1523388805017,2754801912270285,2.9879637,5.3821654,7.651869
android.sensor.accelerometer,1523388805037,2754801932262473,2.8634653,5.363012,7.603985
android.sensor.accelerometer,1523388805057,2754801952284348,3.0933087,5.353435,7.747637
android.sensor.accelerometer,1523388805077,2754801972274973,2.8060043,5.3247046,8.101978
android.sensor.accelerometer,1523388805097,2754801992265598,2.6048915,5.305551,7.9966335
android.sensor.accelerometer,1523388805117,2754802012256223,2.8060043,5.2959743,7.5848308
android.sensor.accelerometer,1523388805137,2754802032279660,3.0358477,5.3247046,7.565677
android.sensor.accelerometer,1523388805157,2754802052268723,2.7868507,5.2385135,7.479486
android.sensor.accelerometer,1523388805177,2754802072260910,2.7006595,5.1523223,7.747637
android.sensor.accelerometer,1523388805197,2754802092282785,2.834735,5.056554,7.7093296
android.sensor.accelerometer,1523388805217,2754802112273410,2.9975405,4.6160207,7.345411
android.sensor.accelerometer,1523388805237,2754802132264035,3.763685,3.9935284,6.7133417
android.sensor.accelerometer,1523388805257,2754802152256223,4.453215,3.3614593,6.244078
android.sensor.accelerometer,1523388805277,2754802172278098,4.5777135,2.2409728,7.3071036
android.sensor.accelerometer,1523388805297,2754802192268723,5.0278234,1.4269443,7.431602
android.sensor.accelerometer,1523388805317,2754802212259348,5.7843914,0.81402856,5.3438582
android.sensor.accelerometer,1523388805337,2754802232282785,6.4260373,0.40222588,4.098873
android.sensor.accelerometer,1523388805357,2754802252273410,9.595961,0.5650316,1.733402
android.sensor.accelerometer,1523388805377,2754802272264035,12.220005,0.63206923,0.41180268
android.sensor.accelerometer,1523388805397,2754802292254660,12.516887,1.2354081,2.7006595
android.sensor.accelerometer,1523388805417,2754802312276535,13.43626,1.8674773,7.3645644
android.sensor.accelerometer,1523388805437,2754802332267160,14.614207,1.7717092,11.128249
android.sensor.accelerometer,1523388805457,2754802352259348,14.930242,2.681506,7.651869
android.sensor.accelerometer,1523388805477,2754802372281223,14.403518,3.2848446,1.6184803
android.sensor.accelerometer,1523388805497,2754802392271848,13.043611,4.606444,-0.79487497
android.sensor.accelerometer,1523388805517,2754802412262473,13.388376,5.4300494,-2.825158
android.sensor.accelerometer,1523388805537,2754802432284348,11.674128,5.803545,-3.0550013
android.sensor.accelerometer,1523388805557,2754802452276535,9.56723,6.0621185,0.35434186
android.sensor.accelerometer,1523388805577,2754802472267160,8.954314,6.646304,2.9592333
android.sensor.accelerometer,1523388805597,2754802492257785,7.651869,7.833828,2.777274
android.sensor.accelerometer,1523388805617,2754802512279660,6.483498,8.101978,-0.47884035
android.sensor.accelerometer,1523388805637,2754802532271848,7.067683,7.9583263,-3.2752678
android.sensor.accelerometer,1523388805657,2754802552262473,10.314221,6.933608,-2.96881
android.sensor.accelerometer,1523388805677,2754802572284348,11.540052,5.391742,3.8402996
android.sensor.accelerometer,1523388805697,2754802592274973,10.43872,4.280833,6.0142345
android.sensor.accelerometer,1523388805717,2754802612265598,9.548077,2.7485435,3.6008794
android.sensor.accelerometer,1523388805737,2754802632256223,8.829816,-0.61291564,-0.1340753
android.sensor.accelerometer,1523388805757,2754802652279660,8.935161,-6.2728086,3.0454245
android.sensor.accelerometer,1523388805777,2754802672270285,6.5218053,-10.25676,13.120225
android.sensor.accelerometer,1523388805797,2754802692260910,3.8307228,-10.103531,18.80885
android.sensor.accelerometer,1523388805817,2754802712282785,4.367024,-11.147403,12.785037
