Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523343125779,2709122669407265,-0.31603462,5.104438,8.226477
android.sensor.accelerometer,1523343125799,2709122689430702,-0.23942018,5.056554,8.446744
android.sensor.accelerometer,1523343125814,2709122709421327,-0.2777274,4.9895163,8.475474
android.sensor.accelerometer,1523343125834,2709122729411952,-0.40222588,4.9799395,8.475474
android.sensor.accelerometer,1523343125854,2709122749433827,-0.48841715,4.951209,8.494628
android.sensor.accelerometer,1523343125874,2709122769426015,-0.40222588,4.960786,8.552089
android.sensor.accelerometer,1523343125894,2709122789416640,-0.31603462,5.0182467,8.341399
android.sensor.accelerometer,1523343125914,2709122809438515,-0.2873042,5.056554,8.2169
android.sensor.accelerometer,1523343125934,2709122829429140,-0.32561144,5.0278234,8.274361
android.sensor.accelerometer,1523343125954,2709122849419765,-0.35434186,5.046977,8.599973
android.sensor.accelerometer,1523343125974,2709122869411952,-0.34476504,5.0278234,8.504205
android.sensor.accelerometer,1523343125994,2709122889433827,-0.32561144,5.046977,8.465898
android.sensor.accelerometer,1523343126014,2709122909424452,-0.39264908,5.0374002,8.513782
android.sensor.accelerometer,1523343126035,2709122929415077,-0.31603462,5.1235914,8.389283
android.sensor.accelerometer,1523343126055,2709122949436952,-0.35434186,5.056554,8.293514
android.sensor.accelerometer,1523343126075,2709122969427577,-0.59376204,5.0278234,8.350976
android.sensor.accelerometer,1523343126095,2709122989419765,-1.13964,4.865018,8.293514
android.sensor.accelerometer,1523343126115,2709123009410390,-2.183512,4.6160207,8.0445175
android.sensor.accelerometer,1523343126135,2709123029432265,-3.8307228,4.5777135,7.795521
android.sensor.accelerometer,1523343126155,2709123049422890,-5.6982,4.3478703,7.2209125
android.sensor.accelerometer,1523343126175,2709123069415077,-7.469909,4.7022123,7.144298
android.sensor.accelerometer,1523343126195,2709123089436952,-9.107543,4.9320555,8.015787
android.sensor.accelerometer,1523343126215,2709123109427577,-10.620679,5.2480903,9.078813
