Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523469038815,14726620958329,-0.51714754,5.535394,7.9104424
android.sensor.accelerometer,1523469038832,14726640981766,-0.61291564,5.506664,7.9391727
android.sensor.accelerometer,1523469038850,14726660972391,-0.82360536,5.449203,8.264784
android.sensor.accelerometer,1523469038869,14726680963016,-0.80445176,5.391742,8.303091
android.sensor.accelerometer,1523469038890,14726700953641,-0.6512229,5.4683566,8.00621
android.sensor.accelerometer,1523469038910,14726720977079,-0.47884035,5.592855,7.9391727
android.sensor.accelerometer,1523469038930,14726740967704,-0.545878,5.5258174,8.025364
android.sensor.accelerometer,1523469038950,14726760958329,-0.8619126,5.4683566,8.303091
android.sensor.accelerometer,1523469038970,14726780980204,-0.7661445,5.4204726,8.1402855
android.sensor.accelerometer,1523469038990,14726800970829,-0.7182605,5.5162406,7.872135
android.sensor.accelerometer,1523469039010,14726820961454,-0.62249243,5.497087,7.8912888
android.sensor.accelerometer,1523469039031,14726840953641,-0.641646,5.4779334,8.063671
android.sensor.accelerometer,1523469039051,14726860975516,-0.7278373,5.3725886,8.00621
android.sensor.accelerometer,1523469039071,14726880966141,-0.7661445,5.3438582,7.8529816
android.sensor.accelerometer,1523469039091,14726900956766,-0.6799533,5.3342814,7.642292
android.sensor.accelerometer,1523469039111,14726920978641,-0.4405331,5.1810527,7.144298
android.sensor.accelerometer,1523469039131,14726940969266,-0.009576807,4.8937483,6.5505357
android.sensor.accelerometer,1523469039151,14726960961454,0.78529817,4.4340615,5.899313
android.sensor.accelerometer,1523469039171,14726980952079,1.1587936,3.6966474,4.960786
android.sensor.accelerometer,1523469039191,14727000973954,2.9592333,2.9113493,3.86903
android.sensor.accelerometer,1523469039211,14727020964579,4.5681367,3.5529952,5.21936
android.sensor.accelerometer,1523469039231,14727040956766,6.540959,4.7309427,7.833828
android.sensor.accelerometer,1523469039251,14727060978641,8.820239,6.167464,10.132261
android.sensor.accelerometer,1523469039271,14727080969266,10.821792,8.149862,11.81778
android.sensor.accelerometer,1523469039291,14727100959891,11.358093,9.749189,13.187263
android.sensor.accelerometer,1523469039311,14727120952079,9.174581,11.252748,15.648502
android.sensor.accelerometer,1523469039331,14727140973954,4.6926355,12.689269,18.464083
android.sensor.accelerometer,1523469039351,14727160964579,-0.46926352,14.422671,20.484789
android.sensor.accelerometer,1523469039371,14727180955204,-4.1371803,15.696386,23.72175
android.sensor.accelerometer,1523469039391,14727200977079,-5.2863975,15.993267,27.552473
android.sensor.accelerometer,1523469039411,14727220967704,-6.167464,14.968549,31.421503
android.sensor.accelerometer,1523469039431,14727240958329,-6.1770406,13.618219,31.182083
android.sensor.accelerometer,1523469039451,14727260981766,-4.5394063,12.382812,28.174965
android.sensor.accelerometer,1523469039471,14727280972391,-5.995081,10.055647,25.321077
android.sensor.accelerometer,1523469039491,14727300963016,-12.641385,7.1826053,26.54691
android.sensor.accelerometer,1523469039511,14727320953641,-22.70661,1.0055647,24.49747
android.sensor.accelerometer,1523469039531,14727340977079,-21.547815,-1.2066777,18.186356
android.sensor.accelerometer,1523469039551,14727360967704,-15.322891,-2.183512,10.668563
android.sensor.accelerometer,1523469039571,14727380958329,-9.615114,-1.982399,8.159439
android.sensor.accelerometer,1523469039591,14727400980204,-9.481039,-2.72939,11.741165
android.sensor.accelerometer,1523469039611,14727420970829,-13.541605,-5.535394,11.664551
android.sensor.accelerometer,1523469039631,14727440963016,-16.002844,-7.7189064,8.0445175
android.sensor.accelerometer,1523469039651,14727460953641,-11.741165,-8.121132,7.1730285
android.sensor.accelerometer,1523469039670,14727480975516,-6.244078,-9.126697,6.3781533
android.sensor.accelerometer,1523469039690,14727500966141,-1.6663644,-9.615114,4.2904096
android.sensor.accelerometer,1523469039710,14727520956766,0.82360536,-10.199299,1.0821792
android.sensor.accelerometer,1523469039730,14727540980204,1.2066777,-11.15698,-1.2545617
android.sensor.accelerometer,1523469039750,14727560970829,-0.06703765,-10.477027,-1.2641385
android.sensor.accelerometer,1523469039770,14727580961454,-0.5267244,-9.730036,0.18195933
android.sensor.accelerometer,1523469039790,14727600952079,1.8195933,-9.193734,1.8100165
android.sensor.accelerometer,1523469039810,14727620975516,3.7828386,-9.184157,2.4995465
android.sensor.accelerometer,1523469039830,14727640964579,3.5625722,-7.52737,2.6527755
android.sensor.accelerometer,1523469039850,14727660956766,4.232949,-6.0525417,2.9783869
android.sensor.accelerometer,1523469039870,14727680978641,5.554548,-3.7062242,3.41892
android.sensor.accelerometer,1523469039890,14727700969266,7.4028716,-1.3311762,3.3039982
android.sensor.accelerometer,1523469039910,14727720959891,9.797073,0.81402856,2.384625
android.sensor.accelerometer,1523469039930,14727740952079,11.281479,2.6527755,2.27928
android.sensor.accelerometer,1523469039950,14727760973954,14.891934,4.0222588,5.813122
android.sensor.accelerometer,1523469039970,14727780964579,14.863204,5.085284,11.051635
android.sensor.accelerometer,1523469039990,14727800955204,12.813767,5.861006,14.317327
android.sensor.accelerometer,1523469040010,14727820977079,11.702858,6.5218053,14.719552
android.sensor.accelerometer,1523469040030,14727840969266,11.750742,8.293514,14.882358
android.sensor.accelerometer,1523469040050,14727860959891,11.262324,10.055647,16.596605
android.sensor.accelerometer,1523469040070,14727880950516,12.421119,11.999739,15.658079
android.sensor.accelerometer,1523469040090,14727900972391,16.4338,13.034034,12.018892
android.sensor.accelerometer,1523469040110,14727920963016,17.075447,10.208876,12.440272
android.sensor.accelerometer,1523469040130,14727940955204,10.342952,9.509769,17.027563
android.sensor.accelerometer,1523469040150,14727960977079,1.733402,11.501745,19.728222
android.sensor.accelerometer,1523469040170,14727980967704,-1.8483237,10.70687,17.496826
