Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523469069412,14757220963016,-0.39264908,8.350976,4.960786
android.sensor.accelerometer,1523469069430,14757240953641,-0.2873042,8.408437,4.8937483
android.sensor.accelerometer,1523469069450,14757260977079,-0.29688102,8.408437,5.0278234
android.sensor.accelerometer,1523469069470,14757280967704,-0.34476504,8.513782,5.056554
android.sensor.accelerometer,1523469069490,14757300958329,-0.34476504,8.590396,5.0374002
android.sensor.accelerometer,1523469069510,14757320980204,-0.33518824,8.628703,5.2289367
android.sensor.accelerometer,1523469069530,14757340970829,-0.11492168,8.695741,5.401319
android.sensor.accelerometer,1523469069550,14757360963016,0.17238252,8.858546,5.056554
android.sensor.accelerometer,1523469069570,14757380953641,0.12449849,8.963891,4.960786
android.sensor.accelerometer,1523469069590,14757400975516,-0.37349546,8.8777,5.142745
android.sensor.accelerometer,1523469069610,14757420967704,-0.8714894,8.628703,5.2768207
android.sensor.accelerometer,1523469069630,14757440958329,-1.1204864,8.571242,5.497087
android.sensor.accelerometer,1523469069650,14757460980204,-1.0055647,9.193734,5.410896
android.sensor.accelerometer,1523469069670,14757480970829,-0.51714754,10.371682,5.3821654
android.sensor.accelerometer,1523469069690,14757500961454,-0.16280572,12.315774,6.0716953
android.sensor.accelerometer,1523469069710,14757520952079,0.15322891,13.637373,5.8801594
android.sensor.accelerometer,1523469069730,14757540975516,1.1779473,14.911088,4.663905
android.sensor.accelerometer,1523469069750,14757560966141,2.2984335,15.44739,3.323152
android.sensor.accelerometer,1523469069770,14757580956766,1.685518,15.68681,2.9975405
android.sensor.accelerometer,1523469069790,14757600978641,0.90979666,15.71554,7.1347213
android.sensor.accelerometer,1523469069810,14757620970829,-0.49799395,15.773001,11.109096
android.sensor.accelerometer,1523469069830,14757640959891,-1.4173675,14.805743,15.303738
android.sensor.accelerometer,1523469069850,14757660952079,-2.4420857,13.9438305,13.67568
android.sensor.accelerometer,1523469069870,14757680973954,-3.5913026,12.191275,10.342952
android.sensor.accelerometer,1523469069890,14757700964579,-6.751649,10.275913,8.341399
android.sensor.accelerometer,1523469069910,14757720955204,-13.043611,6.8569937,5.66947
android.sensor.accelerometer,1523469069930,14757740977079,-14.700398,5.00867,4.7405195
android.sensor.accelerometer,1523469069950,14757760969266,-12.765883,3.620033,4.3957543
android.sensor.accelerometer,1523469069970,14757780959891,-11.473015,3.9743748,5.995081
android.sensor.accelerometer,1523469069990,14757800950516,-10.649409,-0.4213795,1.8579005
android.sensor.accelerometer,1523469070010,14757820972391,-10.170568,-1.6376339,1.685518
android.sensor.accelerometer,1523469070030,14757840963016,-11.300632,-2.9400797,0.02873042
android.sensor.accelerometer,1523469070050,14757860955204,-14.5088625,-4.271256,-1.4077905
android.sensor.accelerometer,1523469070070,14757880977079,-14.106636,-5.056554,-1.2354081
android.sensor.accelerometer,1523469070090,14757900967704,-9.126697,-5.2002063,1.6663644
android.sensor.accelerometer,1523469070110,14757920958329,-4.9416323,-4.8267107,3.6104562
android.sensor.accelerometer,1523469070130,14757940980204,-1.7238252,-4.2999864,3.016694
android.sensor.accelerometer,1523469070150,14757960972391,1.934515,-3.6870706,5.439626
android.sensor.accelerometer,1523469070170,14757980963016,5.7843914,-3.2369606,8.552089
android.sensor.accelerometer,1523469070190,14758000953641,12.53604,-3.715801,10.668563
android.sensor.accelerometer,1523469070210,14758020975516,19.709068,-2.231396,8.312668
android.sensor.accelerometer,1523469070230,14758040966141,20.590134,0.2777274,7.345411
android.sensor.accelerometer,1523469070250,14758060958329,18.339584,2.6431987,7.3549876
android.sensor.accelerometer,1523469070270,14758080980204,18.406622,3.8115692,7.326257
android.sensor.accelerometer,1523469070290,14758100970829,21.777658,5.497087,6.2345014
android.sensor.accelerometer,1523469070310,14758120961454,23.731327,7.1251445,7.335834
android.sensor.accelerometer,1523469070330,14758140952079,24.296358,8.42759,8.2169
android.sensor.accelerometer,1523469070350,14758160973954,24.823084,8.418014,7.489063
android.sensor.accelerometer,1523469070370,14758180966141,21.35628,8.580819,6.4547677
android.sensor.accelerometer,1523469070390,14758200956766,15.610195,8.532935,6.1387334
android.sensor.accelerometer,1523469070410,14758220978641,11.329363,6.981492,4.865018
android.sensor.accelerometer,1523469070430,14758240969266,8.485051,4.7979803,2.27928
android.sensor.accelerometer,1523469070450,14758260961454,5.631162,3.620033,0.48841715
android.sensor.accelerometer,1523469070470,14758280952079,1.7621324,3.8977604,3.1507695
android.sensor.accelerometer,1523469070490,14758300973954,-2.3654714,3.916914,6.9719152
android.sensor.accelerometer,1523469070510,14758320964579,-5.1235914,4.6351743,9.557653
android.sensor.accelerometer,1523469070530,14758340955204,-6.042965,3.323152,10.0748005
android.sensor.accelerometer,1523469070550,14758360978641,-5.6982,2.3175871,12.698846
android.sensor.accelerometer,1523469070570,14758380969266,-10.5919485,3.4859576,13.417107
android.sensor.accelerometer,1523469070590,14758400959891,-14.144943,4.4244847,6.0621185
android.sensor.accelerometer,1523469070610,14758420950516,-11.147403,4.1946416,4.1276035
android.sensor.accelerometer,1523469070630,14758440972391,-4.9320555,3.763685,6.3206925
android.sensor.accelerometer,1523469070650,14758460963016,-4.654328,5.2480903,12.401965
android.sensor.accelerometer,1523469070670,14758480955204,-10.773908,6.7612257,15.045163
android.sensor.accelerometer,1523469070690,14758500977079,-14.164097,8.063671,17.51598
android.sensor.accelerometer,1523469070710,14758520967704,-13.790602,9.864111,19.6133
android.sensor.accelerometer,1523469070730,14758540958329,-11.099519,11.9135475,17.420212
android.sensor.accelerometer,1523469070750,14758560980204,-6.9048777,13.321339,14.537593
android.sensor.accelerometer,1523469070770,14758580972391,-4.3382936,15.016433,14.518439
android.sensor.accelerometer,1523469070790,14758600963016,-4.6255975,16.299725,16.270994
android.sensor.accelerometer,1523469070810,14758620953641,-5.1810527,16.51999,18.856733
android.sensor.accelerometer,1523469070830,14758640975516,-5.3821654,15.485697,20.130447
android.sensor.accelerometer,1523469070850,14758660967704,-4.0797195,14.269443,20.590134
android.sensor.accelerometer,1523469070870,14758680958329,0.15322891,13.024457,19.517532
android.sensor.accelerometer,1523469070890,14758700980204,8.264784,11.645397,16.108189
android.sensor.accelerometer,1523469070910,14758720970829,11.415554,10.773908,14.901511
android.sensor.accelerometer,1523469070930,14758740961454,11.204864,10.0269165,14.365211
android.sensor.accelerometer,1523469070950,14758760953641,8.523358,9.471462,14.432248
android.sensor.accelerometer,1523469070970,14758780975516,7.5944076,8.283937,15.456966
