Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523469069412,14757220963016,0.025621433,-0.036529742,-0.051801372
android.sensor.gyroscope,1523469069430,14757240953641,0.023439772,-0.02617994,-0.043895032
android.sensor.gyroscope,1523469069450,14757260977079,0.0,0.0,0.0
android.sensor.gyroscope,1523469069470,14757280967704,0.016632987,-0.018256145,-0.031084314
android.sensor.gyroscope,1523469069490,14757300958329,0.016353736,-0.018256145,-0.031084314
android.sensor.gyroscope,1523469069510,14757320980204,0.017453292,-0.029722957,-0.044436082
android.sensor.gyroscope,1523469069530,14757340970829,0.014172073,-0.040072758,-0.053721234
android.sensor.gyroscope,1523469069550,14757360963016,8.0285146E-4,-0.037350047,-0.041992623
android.sensor.gyroscope,1523469069570,14757380953641,0.0,0.0,0.0
android.sensor.gyroscope,1523469069590,14757400975516,0.0,0.0,0.0
android.sensor.gyroscope,1523469069610,14757420967704,0.0,0.0,0.0
android.sensor.gyroscope,1523469069630,14757440958329,0.0,0.0,0.0
android.sensor.gyroscope,1523469069650,14757460980204,0.0,0.0,0.0
android.sensor.gyroscope,1523469069670,14757480970829,0.0,0.0,0.0
android.sensor.gyroscope,1523469069690,14757500961454,0.017453292,0.023719024,0.026441738
android.sensor.gyroscope,1523469069710,14757520952079,0.046896998,0.07661995,0.06544985
android.sensor.gyroscope,1523469069730,14757540975516,0.0850848,0.16144295,0.12625712
android.sensor.gyroscope,1523469069750,14757560966141,0.13744467,0.28852037,0.24570745
android.sensor.gyroscope,1523469069770,14757580956766,0.1996133,0.43359214,0.38423422
android.sensor.gyroscope,1523469069790,14757600978641,0.24514894,0.54703856,0.48651052
android.sensor.gyroscope,1523469069810,14757620970829,0.23752186,0.5413139,0.492497
android.sensor.gyroscope,1523469069830,14757640959891,0.14697418,0.43251005,0.42078143
android.sensor.gyroscope,1523469069850,14757660952079,0.023719024,0.27242845,0.29806733
android.sensor.gyroscope,1523469069870,14757680973954,-0.033807028,0.16688839,0.19334757
android.sensor.gyroscope,1523469069890,14757700964579,-0.033807028,0.12653637,0.12871803
android.sensor.gyroscope,1523469069910,14757720955204,-0.060528018,-0.10389945,-0.13852678
android.sensor.gyroscope,1523469069931,14757740977079,-0.047717303,-0.56831414,-0.7450287
android.sensor.gyroscope,1523469069950,14757760969266,-0.0021816615,-0.8347561,-1.1208155
android.sensor.gyroscope,1523469069970,14757780959891,0.022619467,-1.0474594,-1.3951639
android.sensor.gyroscope,1523469069990,14757800950516,0.06244788,-1.2468108,-1.6626879
android.sensor.gyroscope,1523469070010,14757820972391,0.15543902,-1.3689839,-1.8944851
android.sensor.gyroscope,1523469070030,14757840963016,0.2443461,-1.4977019,-2.1301045
android.sensor.gyroscope,1523469070050,14757860955204,0.36924186,-1.5844274,-2.4030914
android.sensor.gyroscope,1523469070070,14757880977079,0.5175948,-1.6163319,-2.6916118
android.sensor.gyroscope,1523469070090,14757900967704,0.6269397,-1.6195958,-2.8882406
android.sensor.gyroscope,1523469070110,14757920958329,0.67711794,-1.6681508,-3.0049508
android.sensor.gyroscope,1523469070130,14757940980204,0.71040136,-1.7079618,-3.064676
android.sensor.gyroscope,1523469070150,14757960972391,0.71830773,-1.790865,-3.1124108
android.sensor.gyroscope,1523469070170,14757980963016,0.69158673,-1.9514875,-3.1865873
android.sensor.gyroscope,1523469070190,14758000953641,0.6233967,-2.2359238,-3.325655
android.sensor.gyroscope,1523469070210,14758020975516,0.5170538,-2.6918912,-3.5168383
android.sensor.gyroscope,1523469070230,14758040966141,0.3965039,-3.1781223,-3.7180924
android.sensor.gyroscope,1523469070250,14758060958329,0.25143212,-3.6019232,-3.9537117
android.sensor.gyroscope,1523469070270,14758080980204,0.069533914,-3.8773537,-4.137512
android.sensor.gyroscope,1523469070290,14758100970829,-0.13934709,-4.212509,-4.303598
android.sensor.gyroscope,1523469070310,14758120961454,-0.38259363,-4.733385,-4.5111175
android.sensor.gyroscope,1523469070330,14758140952079,-0.70603806,-5.322434,-4.740192
android.sensor.gyroscope,1523469070350,14758160973954,-1.1925485,-5.863486,-4.917186
android.sensor.gyroscope,1523469070370,14758180966141,-1.692149,-6.1890945,-4.8580017
android.sensor.gyroscope,1523469070390,14758200956766,-2.0033064,-6.2714567,-4.5929384
android.sensor.gyroscope,1523469070410,14758220978641,-2.1598449,-6.213093,-4.244414
android.sensor.gyroscope,1523469070430,14758240969266,-2.1849253,-5.9930243,-3.8648047
android.sensor.gyroscope,1523469070450,14758260961454,-2.1456554,-5.7304044,-3.5029283
android.sensor.gyroscope,1523469070470,14758280952079,-2.0202186,-5.4036965,-3.173759
android.sensor.gyroscope,1523469070490,14758300973954,-1.7998707,-4.931096,-2.8721488
android.sensor.gyroscope,1523469070510,14758320964579,-1.4927976,-4.4014935,-2.6370704
android.sensor.gyroscope,1523469070530,14758340955204,-1.2263556,-3.8869007,-2.427631
android.sensor.gyroscope,1523469070550,14758360978641,-1.002744,-3.4091167,-2.2375646
android.sensor.gyroscope,1523469070570,14758380969266,-0.77284926,-2.8953266,-2.0706587
android.sensor.gyroscope,1523469070590,14758400959891,-0.55414206,-2.4720843,-1.9836714
android.sensor.gyroscope,1523469070610,14758420950516,-0.36077702,-2.1358466,-1.9504055
android.sensor.gyroscope,1523469070630,14758440972391,-0.20015436,-1.8339571,-1.8846763
android.sensor.gyroscope,1523469070650,14758460963016,-0.048799407,-1.5577064,-1.8088592
android.sensor.gyroscope,1523469070670,14758480955204,0.2380629,-1.1101865,-1.6891471
android.sensor.gyroscope,1523469070690,14758500977079,0.76874775,-0.36105627,-1.3905213
android.sensor.gyroscope,1523469070710,14758520967704,1.5317882,0.81620324,-0.50940925
android.sensor.gyroscope,1523469070730,14758540958329,2.2321017,2.0791235,0.83611745
android.sensor.gyroscope,1523469070750,14758560980204,2.6507187,3.143216,2.1792006
android.sensor.gyroscope,1523469070770,14758580972391,2.7194324,3.9152622,3.2013004
android.sensor.gyroscope,1523469070790,14758600963016,2.500184,4.4582167,3.809443
android.sensor.gyroscope,1523469070810,14758620953641,2.108026,4.7519207,4.016439
android.sensor.gyroscope,1523469070830,14758640975516,1.6564221,4.8402867,3.9354382
android.sensor.gyroscope,1523469070850,14758660967704,1.2389045,4.7707353,3.7229967
android.sensor.gyroscope,1523469070870,14758680958329,0.9307492,4.525307,3.4680216
android.sensor.gyroscope,1523469070891,14758700980204,0.7333001,4.181966,3.2465742
android.sensor.gyroscope,1523469070910,14758720970829,0.637307,3.766089,3.1045043
android.sensor.gyroscope,1523469070931,14758740961454,0.56967545,3.3322,2.9801497
android.sensor.gyroscope,1523469070950,14758760953641,0.512132,2.9615967,2.8898814
android.sensor.gyroscope,1523469070970,14758780975516,0.4641354,2.6308045,2.8325996
android.sensor.gyroscope,1523469070990,14758800966141,0.4314105,2.3076394,2.7941499
android.sensor.gyroscope,1523469071010,14758820956766,0.41531855,2.0106716,2.7941499
android.sensor.gyroscope,1523469071031,14758840978641,0.41859975,1.7567786,2.8388827
android.sensor.gyroscope,1523469071051,14758860969266,0.44942227,1.5860679,2.9596944
android.sensor.gyroscope,1523469071070,14758880961454,0.45350635,1.4098945,3.0586896
android.sensor.gyroscope,1523469071090,14758900952079,0.4213225,1.276272,3.1563058
android.sensor.gyroscope,1523469071111,14758920973954,0.35479054,1.2408069,3.2182126
android.sensor.gyroscope,1523469071131,14758940964579,0.29806733,1.3815328,3.3646631
android.sensor.gyroscope,1523469071150,14758960955204,0.31988394,1.7387843,3.9193463
android.sensor.gyroscope,1523469071170,14758980978641,0.36351717,2.2321017,4.796095
android.sensor.gyroscope,1523469071191,14759000969266,0.4537856,2.9539697,5.994927
android.sensor.gyroscope,1523469071211,14759020959891,0.55686474,3.585552,6.9414887
android.sensor.gyroscope,1523469071231,14759040950516,0.6201329,3.9253502,7.3824635
android.sensor.gyroscope,1523469071251,14759060972391,0.6664889,4.024066,7.432921
android.sensor.gyroscope,1523469071271,14759080964579,0.72213,4.0136986,7.3459163
android.sensor.gyroscope,1523469071291,14759100955204,0.789203,3.917985,7.182571
android.sensor.gyroscope,1523469071311,14759120977079,0.8565727,3.7292624,6.8716755
android.sensor.gyroscope,1523469071331,14759140967704,0.93046993,3.489018,6.505715
android.sensor.gyroscope,1523469071351,14759160959891,0.95719093,3.2086656,6.045925
android.sensor.gyroscope,1523469071371,14759180981766,0.87893033,2.9389598,5.492865
android.sensor.gyroscope,1523469071391,14759200972391,0.66676813,2.7030787,4.79229
android.sensor.gyroscope,1523469071411,14759220963016,0.4464203,2.4554513,4.021605
android.sensor.gyroscope,1523469071431,14759240953641,0.283616,2.1756575,3.2564003
android.sensor.gyroscope,1523469071451,14759260975516,0.20397663,1.8822154,2.5751636
android.sensor.gyroscope,1523469071471,14759280967704,0.14425147,1.5383332,1.7987713
android.sensor.gyroscope,1523469071491,14759300958329,0.08888962,1.1262784,0.8595747
android.sensor.gyroscope,1523469071511,14759320980204,0.06352998,0.6607642,-0.16088445
android.sensor.gyroscope,1523469071531,14759340970829,0.06843436,0.24925047,-1.026463
android.sensor.gyroscope,1523469071551,14759360961454,0.08126253,0.045256387,-1.3588959
android.sensor.gyroscope,1523469071571,14759380953641,0.09407324,-0.09599311,-1.577062
android.sensor.gyroscope,1523469071591,14759400975516,0.1128879,-0.19278906,-1.6705942
android.sensor.gyroscope,1523469071613,14759420966141,0.11016518,-0.25579545,-1.640051
android.sensor.gyroscope,1523469071630,14759440956766,0.10798352,-0.28579766,-1.5252433
android.sensor.gyroscope,1523469071650,14759460978641,0.106901415,-0.3013311,-1.405531
android.sensor.gyroscope,1523469071670,14759480970829,0.10798352,-0.3223274,-1.3204463
android.sensor.gyroscope,1523469071690,14759500961454,0.10826277,-0.33215362,-1.234262
android.sensor.gyroscope,1523469071710,14759520952079,0.09979793,-0.32424727,-1.124917
