Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523343143655,2709140549427577,0.50757074,8.532935,4.4819455
android.sensor.accelerometer,1523343143682,2709140569419765,0.61291564,8.552089,4.3478703
android.sensor.accelerometer,1523343143694,2709140589410390,0.59376204,8.532935,4.5202527
android.sensor.accelerometer,1523343143714,2709140609432265,0.4309563,8.513782,4.6926355
android.sensor.accelerometer,1523343143734,2709140629422890,0.49799395,8.532935,4.4819455
android.sensor.accelerometer,1523343143754,2709140649415077,0.59376204,8.619126,4.3478703
android.sensor.accelerometer,1523343143774,2709140669436952,0.62249243,8.628703,4.5202527
android.sensor.accelerometer,1523343143794,2709140689427577,0.5650316,8.599973,4.5777135
android.sensor.accelerometer,1523343143814,2709140709418202,0.641646,8.571242,4.654328
android.sensor.accelerometer,1523343143834,2709140729408827,0.7374141,8.590396,4.7309427
android.sensor.accelerometer,1523343143854,2709140749432265,0.80445176,8.599973,4.548983
android.sensor.accelerometer,1523343143874,2709140769421327,0.7757214,8.619126,4.548983
android.sensor.accelerometer,1523343143894,2709140789413515,0.7469909,8.647857,4.6255975
android.sensor.accelerometer,1523343143914,2709140809435390,0.6895301,8.6574335,4.7500963
android.sensor.accelerometer,1523343143934,2709140829427577,0.7757214,8.504205,4.5681367
android.sensor.accelerometer,1523343143954,2709140849416640,1.0055647,8.341399,4.807557
android.sensor.accelerometer,1523343143974,2709140869408827,1.3503298,8.24563,5.439626
android.sensor.accelerometer,1523343143994,2709140889430702,2.8443117,8.293514,5.899313
android.sensor.accelerometer,1523343144014,2709140909421327,4.999093,8.925584,6.3685765
android.sensor.accelerometer,1523343144034,2709140929411952,7.3549876,9.56723,7.699753
android.sensor.accelerometer,1523343144054,2709140949435390,9.576807,9.768343,7.872135
android.sensor.accelerometer,1523343144074,2709140969426015,10.457873,9.653421,8.6574335
android.sensor.accelerometer,1523343144094,2709140989416640,10.218452,9.289502,9.825804
android.sensor.accelerometer,1523343144114,2709141009438515,10.170568,8.829816,10.065224
android.sensor.accelerometer,1523343144134,2709141029429140,9.959879,7.8912888,10.0269165
android.sensor.accelerometer,1523343144154,2709141049419765,9.950302,6.4068837,10.477027
android.sensor.accelerometer,1523343144174,2709141069411952,11.051635,4.9224787,10.994174
android.sensor.accelerometer,1523343144194,2709141089433827,10.812215,3.4380736,10.534488
android.sensor.accelerometer,1523343144214,2709141109424452,9.193734,1.2737153,7.603985
android.sensor.accelerometer,1523343144234,2709141129415077,2.6144683,0.31603462,-0.6991069
android.sensor.accelerometer,1523343144254,2709141149436952,-1.541866,0.1340753,-3.3806129
android.sensor.accelerometer,1523343144274,2709141169429140,-5.3342814,-0.6607997,-1.5227122
android.sensor.accelerometer,1523343144294,2709141189419765,-11.769896,-2.4037786,2.566584
android.sensor.accelerometer,1523343144314,2709141209411952,-23.00349,-4.759673,5.3342814
android.sensor.accelerometer,1523343144334,2709141229432265,-36.037525,-5.793968,7.1251445
android.sensor.accelerometer,1523343144354,2709141249422890,-41.285614,-5.1523223,9.643845
android.sensor.accelerometer,1523343144374,2709141269415077,-35.84599,-3.4476504,14.518439
android.sensor.accelerometer,1523343144394,2709141289436952,-31.919497,-1.733402,10.726024
android.sensor.accelerometer,1523343144414,2709141309427577,-26.499025,-1.2162545,5.650316
android.sensor.accelerometer,1523343144434,2709141329418202,-19.756952,-1.8100165,5.1810527
android.sensor.accelerometer,1523343144454,2709141349408827,-14.719552,-2.5187001,7.517793
android.sensor.accelerometer,1523343144474,2709141369432265,-10.01734,-2.6240451,10.534488
android.sensor.accelerometer,1523343144494,2709141389422890,-2.9879637,-2.5091233,11.281479
android.sensor.accelerometer,1523343144514,2709141409413515,6.694188,-1.6376339,10.898406
android.sensor.accelerometer,1523343144534,2709141429435390,15.849615,-0.22984336,12.785037
android.sensor.accelerometer,1523343144554,2709141449427577,22.725763,1.1683705,14.920665
android.sensor.accelerometer,1523343144574,2709141469416640,24.181437,2.6527755,11.492168
android.sensor.accelerometer,1523343144594,2709141489408827,31.718384,4.817134,15.112201
android.sensor.accelerometer,1523343144614,2709141509430702,42.70298,8.619126,24.018631
android.sensor.accelerometer,1523343144634,2709141529421327,51.97333,7.1347213,22.515072
android.sensor.accelerometer,1523343144654,2709141549411952,42.626366,7.3166804,12.53604
android.sensor.accelerometer,1523343144674,2709141569435390,30.29144,5.2385135,5.2289367
android.sensor.accelerometer,1523343144694,2709141589426015,25.263617,3.7924154,6.703765
android.sensor.accelerometer,1523343144714,2709141609416640,24.459164,1.2449849,9.078813
android.sensor.accelerometer,1523343144734,2709141629407265,22.620419,-1.388637,6.0142345
android.sensor.accelerometer,1523343144754,2709141649429140,21.911734,-3.9552212,0.6895301
android.sensor.accelerometer,1523343144774,2709141669419765,18.416199,-6.9144545,-0.076614454
android.sensor.accelerometer,1523343144794,2709141689411952,10.726024,-9.481039,6.531382
android.sensor.accelerometer,1523343144814,2709141709433827,-3.0454245,-9.337387,15.02601
android.sensor.accelerometer,1523343144834,2709141729424452,-6.3589997,-6.081272,14.15452
android.sensor.accelerometer,1523343144854,2709141749415077,-12.076353,-0.82360536,12.401965
android.sensor.accelerometer,1523343144874,2709141769438515,-20.800825,2.2026656,22.486341
android.sensor.accelerometer,1523343144894,2709141789429140,-26.585217,4.146757,41.11323
