Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1523343159479,2709156369413515,0.0286234,0.06435029,-0.033807028
android.sensor.gyroscope,1523343159497,2709156389436952,0.034906585,0.020437805,-0.038990654
android.sensor.gyroscope,1523343159514,2709156409427577,0.027541295,0.0054454273,-0.028082348
android.sensor.gyroscope,1523343159534,2709156429418202,0.022357667,-0.012531464,-0.029984757
android.sensor.gyroscope,1523343159554,2709156449408827,0.03190462,-0.033265974,-0.050440013
android.sensor.gyroscope,1523343159574,2709156469430702,0.026720991,-0.050440013,-0.037891097
android.sensor.gyroscope,1523343159594,2709156489421327,0.020996312,-0.057526052,-0.030543262
android.sensor.gyroscope,1523343159614,2709156509413515,0.01308997,-0.05071927,-0.019896753
android.sensor.gyroscope,1523343159634,2709156529435390,0.016632987,-0.082623884,-0.023719024
android.sensor.gyroscope,1523343159654,2709156549426015,0.014172073,-0.07361799,-0.02125811
android.sensor.gyroscope,1523343159674,2709156569416640,0.014172073,-0.050178215,-0.02125811
android.sensor.gyroscope,1523343159694,2709156589407265,0.01308997,-0.062168628,-0.025621433
android.sensor.gyroscope,1523343159714,2709156609430702,0.010349803,-0.06270968,-0.025359634
android.sensor.gyroscope,1523343159734,2709156629421327,0.0,0.0,0.0
android.sensor.gyroscope,1523343159754,2709156649411952,0.0,0.0,0.0
android.sensor.gyroscope,1523343159774,2709156669433827,0.0,0.0,0.0
android.sensor.gyroscope,1523343159794,2709156689424452,0.0,0.0,0.0
android.sensor.gyroscope,1523343159814,2709156709415077,0.006265732,0.029443704,-0.025621433
android.sensor.gyroscope,1523343159835,2709156729438515,-0.006265732,0.028902652,-0.02617994
android.sensor.gyroscope,1523343159854,2709156749429140,-0.029984757,0.018256145,-0.018256145
android.sensor.gyroscope,1523343159874,2709156769419765,0.0,0.0,0.0
android.sensor.gyroscope,1523343159894,2709156789410390,-0.09243264,-0.35096827,0.07171558
android.sensor.gyroscope,1523343159914,2709156809433827,-0.22197098,-0.67767644,0.20425588
android.sensor.gyroscope,1523343159934,2709156829424452,-0.32724923,-0.7540346,0.29996973
android.sensor.gyroscope,1523343159954,2709156849415077,-0.41805872,-0.7720289,0.3815115
android.sensor.gyroscope,1523343159974,2709156869436952,-0.5429545,-0.76820666,0.49768063
android.sensor.gyroscope,1523343159994,2709156889427577,-0.6626666,-0.7300363,0.5958554
android.sensor.gyroscope,1523343160014,2709156909418202,-0.74639004,-0.71040136,0.6743952
android.sensor.gyroscope,1523343160034,2709156929410390,-0.7982089,-0.6773972,0.7240324
android.sensor.gyroscope,1523343160054,2709156949432265,-0.8012108,-0.62121505,0.73221797
android.sensor.gyroscope,1523343160074,2709156969422890,-0.7714879,-0.5863085,0.70984286
android.sensor.gyroscope,1523343160094,2709156989413515,-0.7425678,-0.5778611,0.6834011
android.sensor.gyroscope,1523343160114,2709157009435390,-0.74885094,-0.60240036,0.6975732
android.sensor.gyroscope,1523343160134,2709157029426015,-0.7259348,-0.59695494,0.6872234
android.sensor.gyroscope,1523343160154,2709157049418202,-0.6269397,-0.44123667,0.5890486
android.sensor.gyroscope,1523343160174,2709157069408827,-0.54213417,-0.09080948,0.4565083
android.sensor.gyroscope,1523343160194,2709157089430702,-0.48214722,0.44505897,0.2830575
android.sensor.gyroscope,1523343160214,2709157109421327,-0.4605924,1.1761774,0.103340946
android.sensor.gyroscope,1523343160234,2709157129413515,-0.5058662,2.0834868,-0.05534439
android.sensor.gyroscope,1523343160254,2709157149435390,-0.7112217,2.9828725,-0.13144074
android.sensor.gyroscope,1523343160274,2709157169426015,-1.0379124,3.653463,-0.16798794
android.sensor.gyroscope,1523343160294,2709157189416640,-1.3430833,4.052428,-0.22579324
android.sensor.gyroscope,1523343160314,2709157209408827,-1.5222412,4.208425,-0.29234266
