Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1523469124174,14811980953641,-0.29688102,5.410896,8.552089
android.sensor.accelerometer,1523469124190,14812000977079,-0.33518824,5.4683566,8.207323
android.sensor.accelerometer,1523469124210,14812020967704,-0.06703765,5.449203,7.8050976
android.sensor.accelerometer,1523469124230,14812040958329,-0.076614454,5.5162406,8.2169
android.sensor.accelerometer,1523469124250,14812060980204,-0.2681506,5.4779334,8.264784
android.sensor.accelerometer,1523469124270,14812080970829,-0.30645782,5.4683566,8.1881695
android.sensor.accelerometer,1523469124290,14812100963016,-0.18195933,5.449203,8.485051
android.sensor.accelerometer,1523469124310,14812120953641,-0.18195933,5.4300494,8.303091
android.sensor.accelerometer,1523469124330,14812140975516,-0.22026655,5.497087,7.824251
android.sensor.accelerometer,1523469124350,14812160966141,-0.11492168,5.45878,7.967903
android.sensor.accelerometer,1523469124370,14812180956766,-0.10534488,5.544971,8.1881695
android.sensor.accelerometer,1523469124390,14812200980204,-0.4309563,5.746084,8.418014
android.sensor.accelerometer,1523469124410,14812220970829,-1.1587936,6.8186865,8.820239
android.sensor.accelerometer,1523469124430,14812240961454,-0.19153613,8.916007,11.836933
android.sensor.accelerometer,1523469124450,14812260952079,0.9959879,11.903971,21.538239
android.sensor.accelerometer,1523469124470,14812280973954,16.64449,15.50485,29.467834
android.sensor.accelerometer,1523469124490,14812300964579,29.132647,11.386824,17.420212
android.sensor.accelerometer,1523469124510,14812320956766,12.239159,3.9264908,-1.8291701
android.sensor.accelerometer,1523469124530,14812340978641,-20.312407,-4.654328,-15.131354
android.sensor.accelerometer,1523469124550,14812360969266,-34.955345,-8.734048,-9.394848
android.sensor.accelerometer,1523469124570,14812380959891,-31.038431,-10.553641,-5.8322754
android.sensor.accelerometer,1523469124590,14812400952079,-19.929335,-8.839393,-10.400413
android.sensor.accelerometer,1523469124610,14812420973954,10.055647,0.16280572,3.4284968
android.sensor.accelerometer,1523469124630,14812440964579,41.343075,12.880805,26.393679
android.sensor.accelerometer,1523469124650,14812460955204,45.307873,19.843143,34.294544
android.sensor.accelerometer,1523469124670,14812480977079,35.56826,17.017986,20.532673
android.sensor.accelerometer,1523469124690,14812500967704,19.651608,8.130709,-2.231396
android.sensor.accelerometer,1523469124710,14812520959891,-4.5681367,-1.3982137,-12.53604
android.sensor.accelerometer,1523469124730,14812540950516,-23.587675,-10.314221,-16.49126
android.sensor.accelerometer,1523469124750,14812560972391,-41.649532,-12.823344,-8.820239
android.sensor.accelerometer,1523469124770,14812580963016,-42.482716,-12.832921,2.2888567
android.sensor.accelerometer,1523469124790,14812600953641,-16.663643,-9.165004,-1.043872
android.sensor.accelerometer,1523469124810,14812620977079,25.723303,10.601525,4.405331
android.sensor.accelerometer,1523469124830,14812640967704,47.520115,22.16073,15.150508
android.sensor.accelerometer,1523469124850,14812660958329,47.204082,24.650702,22.476765
android.sensor.accelerometer,1523469124870,14812680980204,27.437551,17.420212,12.727576
android.sensor.accelerometer,1523469124890,14812700970829,9.5385,7.086837,-6.196194
android.sensor.accelerometer,1523469124910,14812720963016,-9.720459,-3.6391866,-15.045163
android.sensor.accelerometer,1523469124930,14812740953641,-31.48854,-10.907983,-9.739613
android.sensor.accelerometer,1523469124950,14812760975516,-44.74284,-12.679692,5.0374002
android.sensor.accelerometer,1523469124970,14812780966141,-29.917944,-11.865664,4.1276035
android.sensor.accelerometer,1523469124990,14812800956766,2.7868507,-4.223372,-4.6926355
android.sensor.accelerometer,1523469125010,14812820978641,25.70415,10.94629,1.9057846
android.sensor.accelerometer,1523469125030,14812840970829,45.02057,21.844696,13.263878
android.sensor.accelerometer,1523469125050,14812860961454,44.95353,24.22932,20.09214
android.sensor.accelerometer,1523469125070,14812880952079,28.67296,17.583017,10.43872
android.sensor.accelerometer,1523469125090,14812900975516,14.384364,7.6614456,-3.8307228
android.sensor.accelerometer,1523469125110,14812920964579,-1.0534488,-3.0071173,-5.0757074
android.sensor.accelerometer,1523469125130,14812940956766,-27.50459,-12.038046,-0.32561144
android.sensor.accelerometer,1523469125150,14812960978641,-31.364042,-11.980585,4.050989
android.sensor.accelerometer,1523469125170,14812980969266,-21.097706,-9.749189,2.9783869
android.sensor.accelerometer,1523469125190,14813000959891,-8.293514,-5.717354,3.4763808
android.sensor.accelerometer,1523469125210,14813020950516,4.76925,0.33518824,5.6790466
android.sensor.accelerometer,1523469125230,14813040973954,25.321077,12.6222315,11.137826
android.sensor.accelerometer,1523469125250,14813060964579,44.33104,25.905262,7.8529816
android.sensor.accelerometer,1523469125270,14813080955204,38.29765,29.60191,6.5505357
android.sensor.accelerometer,1523469125290,14813100977079,24.056938,23.999477,9.615114
android.sensor.accelerometer,1523469125310,14813120969266,9.931149,13.819332,6.435614
android.sensor.accelerometer,1523469125330,14813140959891,-6.9048777,5.046977,-0.7565677
android.sensor.accelerometer,1523469125350,14813160950516,-24.133553,-0.23942018,1.7429788
android.sensor.accelerometer,1523469125370,14813180972391,-36.832397,-1.8195933,8.695741
android.sensor.accelerometer,1523469125390,14813200963016,-32.24511,-1.3120226,8.695741
android.sensor.accelerometer,1523469125410,14813220953641,-10.773908,4.453215,6.742072
android.sensor.accelerometer,1523469125430,14813240977079,10.04607,16.97968,16.950949
android.sensor.accelerometer,1523469125450,14813260967704,50.02924,20.101717,21.528662
android.sensor.accelerometer,1523469125470,14813280958329,39.312794,12.53604,14.480132
android.sensor.accelerometer,1523469125490,14813300980204,10.419566,1.5131354,-2.0015526
android.sensor.accelerometer,1523469125510,14813320972391,-6.83784,-7.747637,-17.669209
android.sensor.accelerometer,1523469125530,14813340963016,-22.55338,-13.905523,-23.807941
android.sensor.accelerometer,1523469125550,14813360953641,-38.498764,-17.00841,-17.640478
android.sensor.accelerometer,1523469125570,14813380975516,-35.913025,-18.05228,-14.077906
android.sensor.accelerometer,1523469125590,14813400966141,-9.643845,-15.964537,-6.349423
